image,005,000,003,007,001,006,002,004,009,010,008
A0000,15,쏘나타,2025,✔,81다 8901,위나호,10-40-1234-41,01,␣,␣,∅
A0001,22,K5,2025,✔,82가2345,천영시,11-41-5678,3,␣,␣,∅
A0002,8,그랜저,2025,✔,83라 6789,제갈초시,12-42-9012-43,5,␣,␣,∅
A0003,11,K8,2025,✔,84마 0123,길태은은,13-43-3456-44,7,␣,␣,∅
A0004,03,아반떼,2025,✔,85 마 4567,이서현,14-44-7890-45,09,␣,␣,∅
A0005,29,쏘울,2025,✔,86 가 8901,양민,00-45-1234-46,11,␣,␣,∅
A0006,04,코나,2025,✔,87바 2345,선우아진,01-46-5678-47,02,␣,␣,∅
A0007,18,니로,2025,✔,88마 6789,마영슬,02-47-9012-48,04,␣,␣,∅
A0008,25,팰리세이드,2025,✔,89사 0123,이진현,03-48-3456-49,06,␣,␣,∅
A0009,12,스포티지,2025,✔,90 가 4567,하수은재,04-49-7890-50,08,␣,␣,∅
A0010,07,쏘나타,2025,✔,91 아 8901,곽현,05-50-1234-51,10,␣,␣,∅
A0011,31,K5,2025,✔,92마 2345,차하나준,06-51-5678-52,12,␣,␣,∅
A0012,9,그랜져,2025,✔,93자6789,최진초,07-52-9012-53,1,␣,␣,∅
A0013,16,K8,2025,✔,94가 0123,차채연빛우,08-53-3456-54,03,␣,␣,∅
A0014,23,아반떼,2025,✔,95차 4567,육수하나,09-54-7890-55,05,␣,␣,∅
A0015,05,쏘울,2025,✔,96 마 8901,맹재빛,10-55-1234-56,07,␣,␣,∅
A0016,19,코나,2025,✔,111바 8901,류슬준,11-56-5678-57,09,␣,␣,∅
A0017,14,니로,2025,✔,112마 2345,하라영라,12-57-9012-58,11,␣,␣,∅
A0018,28,팰리세이드,2025,✔,113사 6789,성하나예,13-58-3456-59,02,␣,␣,∅
A0019,01,스포티지,2025,✔,114가 0123,마윤나래,14-59-7890-60,04,␣,␣,∅
A0020,17,트랙스,2025,✔,115 아 4567,손우,00-60-1234-61,06,␣,␣,∅
A0021,24,A 클래스,2025,✔,116 마 8901,염태연나래,01-61-5678-62,08,␣,␣,∅
A0022,10,1시리즈,2025,✔,117자 2345,구하나,02-62-9012-63,10,␣,␣,∅
A0023,08,A3,2025,✔,118 가 6789,원아태,03-63-3456-64,12,␣,␣,∅
A0024,21,쏘나타,2025,✔,119자0123,황보유서,04-64-7890-65,01,␣,␣,∅
A0025,30,K5,2025,✔,120마 4567,방도나,05-65-1234-66,03,␣,␣,∅
A0026,10,그랜저,2025,✔,121카 8901,전도준,06-66-5678-67,5,␣,␣,∅
A0027,26,K8,2025,✔,122 가 2345,길나래예,07.67.9012.68,07,␣,␣,∅
A0028,06,아반떼,2025,✔,123타 6789,소나래별,08-68-3456-69,09,␣,␣,∅
A0029,20,스포티지,2025,✔,124마 0123,지나래나,09-69-7890-70,11,␣,␣,∅
D0000,16,투싼 S 클래스,2029,✔,467로 9956,류귀나,13-04-537782-55,1,1876489541,ZXP6K2W,∅
D0001,␣,␣,2018,✔,146마 0625,␣,␣,7,1298239730,␣,∅
D0002,17,포르쉐 코롤라,␣,✘,171보 0670,장호웅,41-89-807971-54,12,1887530751,ZX5H2MA,∅
D0003,␣,쏘나타 콜로라도,2004,✘,36조 7719,엄재우,␣,␣,␣,ZSOQ561,∅
D0004,␣,␣,␣,✔,33머 5233,신두이,39-13-655805-14,␣,9713298990,ZOI4Q90,∅
D0005,21,␣,2036,✘,368부 7415,변인승,44-83-923331-00,1,9659051160,ZYIL50K,∅
D0006,␣,SM6 아베오,␣,✔,348나 7516,␣,38-29-914511-04,␣,9165714336,␣,∅
D0007,18,␣,␣,✔,␣,염야나,84-02-107850-14,12,␣,ZY1I93P,∅
D0008,4,␣,␣,✘,␣,어덕순,␣,␣,9212147605,Z1GRWHU,∅
D0009,␣,Q5 SM5,␣,✔,␣,␣,77-17-678043-89,5,1015613018,␣,∅
D0010,2,캐스퍼 X1,2038,✔,␣,윤마리사,␣,␣,1835701178,Z80V368,∅
D0011,␣,iX 크루즈,2039,✔,569무 2775,기홍석,␣,2,9962859753,ZFPXCK3,∅
D0012,5,어코드 팰리세이드,2040,✘,294구 3916,␣,43-85-279506-43,12,␣,ZZ8ZG2B,∅
D0013,␣,A8 캐스퍼,␣,✘,␣,␣,81-86-916205-15,10,␣,ZJLY3GK,∅
D0014,18,7 시리즈 CR-V,␣,✘,324조 1511,␣,␣,3,1422399692,ZZT9HNA,∅
D0015,14,렉스턴 르노,␣,✔,332주 5073,박건동,55-35-760284-33,3,1384638294,ZGGWWWD,∅
E0000,23,넥쏘 벨로스터,2006,✘,89나 1832,간장헌,␣,2,␣,TZY0XZ9,∅
E0001,10,그랜저 Q5,2017,✘,76고 8921,양새영,12-78-187836-66,3,␣,TF87TP8,∅
E0002,2,A8 넥쏘,␣,✔,950다 7524,남도선,71-97-846610-00,␣,9374529934,TADCUTF,∅
F0000,2,랜드크루저 GLC,2027,✘,181도 1807,온엘리사,94-74-787465-62,6,1859324110,␣,∅
