image,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,011,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,036,043,059,016,013,055,023,038,039,018,021,044,037,035,057,034,053,054,030,046,005,000,031,048,066,004,012,027
C0000,✔,✘,␣,✘,✔,✘,✘,✘,✔,✔,041-5025-4130,✔,✘,✘,목청우,␣,✘,✘,✘,✘,7,∅,✔,✔,✘,UQC48R,␣,✘,센 느낌을,✘,✘,✘,✘,1083421280,✔,✔,✘,✘,␣,␣,✘,✘,✘,✘,남편이,9780988328,✘,✘,✘,✔,✔,38.3,␣,␣,둘레. 반듯하게,✘,✘,81560000,✘,✘,␣,␣,✘,E9YT5WQ,✘,✔,36개월
C0001,✔,✔,맹새날,✘,✘,✔,✔,✘,✔,✔,053-3147-6690,✘,✘,✘,␣,␣,✔,✘,✘,✘,6,∅,✔,✘,✘,␣,␣,✘,속한다.,✘,✔,✘,✔,1030180822,✔,✘,✘,✘,코스,␣,✔,✔,✔,✘,대출금의,1267914127,✘,✘,✘,✘,✘,55.7,"8,910,000",041-2177-1780,␣,✘,✔,"87,830,000",✘,✔,최마커스,␣,✘,EX1G8SH,✘,✘,3개월
C0002,✔,✘,␣,✔,✔,✔,✔,✘,✘,✔,051-8051-6797,✘,✘,✔,여찬오,명제.,✘,✔,✘,✘,8,∅,✔,✔,✘,␣,민재신,✘,원망하였다. 천주학,✘,✔,✔,✔,1211164462,✘,✘,✘,✘,한,24.7,✘,✔,✘,✘,웃다.,1544246424,✘,✘,✘,✔,✘,23.8,78990000,052-7633-4208,어버이의,✘,✔,78160000,✔,✔,염태오,"5,740,000",✘,EZ0K9IC,✔,✘,18개월
C0003,✘,✘,인기탁,✔,✘,✘,✔,✘,✘,✔,062-1042-9745,✔,✘,✘,␣,␣,✘,✘,✘,✘,␣,∅,✘,✘,✔,VNVHS4,표도전,✔,␣,✔,✘,✘,✔,1139314805,✘,✔,✘,✘,단차,47.3,✔,✘,✘,✔,토양이,1391081388,✔,✔,✔,✘,✔,45.5,59810000,041-2282-5234,맑고,✘,✔,"9,190,000",✔,✘,␣,"9,750,000",✘,E8Y66JW,✘,✘,␣
C0004,✘,✘,손류신,✔,✘,✔,✘,✘,✘,✔,053-5138-4008,✔,✔,✘,천교찬,치레미술,✘,✔,✔,✘,␣,∅,✘,✔,✘,␣,가미수,✘,줄로,✘,✔,✘,✔,9172682585,✘,✘,✘,✘,␣,␣,✘,✘,✔,✘,저,9849259534,✘,✔,✘,✘,✔,␣,"7,710,000",032-9001-2423,잡종 제1대에서는,✘,✔,5480000,✘,✔,엄주란,2770000,✔,EXLVR3B,✘,✘,33개월
C0005,✘,✘,␣,✘,✔,✘,✘,✘,✘,✔,␣,✘,✘,✘,시경산,집.,✘,✘,✔,✔,2,∅,✘,✘,✘,␣,연이한,✘,쌍홈대 두,✘,✘,✘,✔,9968165068,✘,✔,✘,✘,타의02,67.0,✘,✔,✘,✘,사용한,9320482872,✔,✔,✔,✘,✘,54.9,"56,970,000",053-7785-8445,양,✘,✘,"34,210,000",✘,✘,허금화,"9,840,000",✘,EIY3VQ7,✔,✔,19개월
C0006,✘,✘,추하종,✘,✘,✔,✘,✔,✘,✘,062-2343-2249,✔,✔,✘,두이린,전만고에,✔,✔,✘,✘,␣,∅,✘,✔,✘,WQO6A9,노교린,✘,빛나는,✘,✘,✔,✘,9450614638,✘,✘,✘,✘,있다.,␣,✘,✔,✘,✘,지르코늄을,9408767596,✘,✘,✘,✘,✘,76.6,"3,980,000",063-6164-2681,값.,✔,✘,61950000,✘,✘,송치연,␣,✘,EGA3WAI,✘,✘,28개월
C0007,✔,✔,허해서,✔,✔,✘,✘,✔,✘,✘,063-942-6765,✘,✘,✘,용제프리,␣,✘,✘,✘,✘,␣,∅,✔,✔,✔,WW2CII,추호민,✔,소리,✔,✔,✘,✘,9266661642,✘,✘,✘,✘,␣,96.7,✘,✔,✔,✘,깜다.,1414052774,✘,✔,✔,✘,✔,16.4,␣,042-2720-8796,␣,✔,✔,␣,✘,✘,간해양,␣,✔,EFI4M2Q,✘,✘,33개월
C0008,✘,✘,␣,✘,✔,✘,✘,✘,✘,✘,␣,✘,✔,✘,␣,␣,✘,✘,✘,✘,1,∅,✘,✔,✘,4744OD,부민태,✔,본디 사습으로,✔,✔,✔,✔,9349525594,✘,✘,✘,✔,군.,26.4,✘,✘,✔,✘,또는,9319063152,✘,✘,✔,✘,✘,␣,6110000,055-9800-4547,␣,✘,✘,"2,590,000",✘,✘,권청미,"6,710,000",✘,ECM847J,✘,✘,␣
C0009,✘,✘,팽연의,✔,✘,✘,✘,✔,✘,✘,␣,✘,✘,✔,␣,␣,✔,✘,✔,✘,9,∅,✘,✘,✔,3DELUU,인성원,✘,그린란드에서만 볼,✔,✔,✘,✘,1074378378,✔,✘,✘,✔,␣,␣,✘,✘,✘,✔,매기는,1700926620,✘,✘,✘,✘,✘,24.3,51870000,061-197-8868,줍는,✘,✘,"14,180,000",✘,✘,사공찬을,"87,680,000",✔,E4W7F8X,✔,✘,29개월
