image,017,033,002,032,008,016,013,006,023,500,400,401,402,403,404,405,406,407,408,409,501,410,302,018,009,021,300,035,301,034,200,030,029,011,005,000,003,007,001,031,201,004,012,202,010
C0000,"64,650,000",9,␣,8,허규우,␣,연석하다02,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"96,360,000",␣,✔,"48,980,000",48.0,✘,␣,이기문,∅,✘,✘,11,✘,피여희,기타 개인 및 가정용품 임대업,중국은행,1977.03.29,␣,1947738240,경기도 평택시 통복동 77-47,24,ZBNW076,713-990469-63189
C0001,"7,550,000",15,031-5050-4766,12,노오은,마칸 어코드,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,✔,"74,750,000",␣,✔,␣,␣,∅,✘,✘,7,✘,␣,자동차 엔진용 신품 부품 제조업,한국수출입은행,1911-01-28,19,9608874865,전북특별자치도 고창군 흥덕면 제하리 261-3,␣,ZTLMYFQ,769-444-064153
C0002,"32,620,000",␣,031-3369-5946,12,단휘훈,BMW Q8,직업으로,✘,"38,650,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,34,✘,␣,91.3,✘,␣,반여령,∅,✘,✘,8,✘,정예엘,사회보장 행정,␣,1943.7.22,␣,1620424874,강원특별자치도 영월군 남면 국지골길 126 (조전리),20,Z3QXAZY,911-479073-451
C0003,"2,770,000",19,064-2088-5525,2,␣,타이칸 도요타,지지가,✘,"2,670,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"18,790,000",13,✔,␣,␣,✘,"54,740,000",한항,∅,✘,✘,␣,✘,␣,자동차용 기타 신품 부품 제조업,␣,1951/5/28,23,1338804221,"전라남도 순천시 백연길 46 (조례동, 남도의음식풍경)",10,ZDLIRG1,␣
C0004,95530000,30,032-6792-1270,6,␣,넥쏘 BMW,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,86370000,30,✔,"19,580,000",47.1,✘,"4,750,000",하회미,∅,✘,✘,6,✔,석기범,시계 및 귀금속 소매업,␣,␣,19,9525110225,경기도 안산시 상록구 만수동천길 16-5 (부곡동),16,ZUB17VZ,␣
C0005,"8,650,000",␣,054-868-2722,11,박하실,타이칸 GLA,퍼뜨리고,✔,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"68,650,000",36,✔,"32,920,000",80.1,✘,"7,290,000",어병록,∅,✘,✘,␣,✘,␣,천일염 생산 및 암염 채취업,ANZ은행,␣,30,1230258003,␣,22,ZR9YPKK,␣
C0006,"1,860,000",␣,055-7667-1399,7,추려온,␣,올리는,✔,"36,760,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,2950000,␣,✘,␣,89.5,✘,"75,260,000",선세이지,∅,✘,✘,␣,✘,온자림,설탕 제조업,신한은행,2033년 6월 19일,22,9237118619,전라남도 신안군 비금면 구림리 126-5,6,ZFKT7W9,309-939506-448
C0007,45350000,15,␣,2,␣,Q8 E 클래스,파르댕댕하여,✔,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,10,✘,␣,90.5,✘,"4,590,000",남정희,∅,✘,✘,␣,✘,␣,␣,␣,␣,16,1640661533,␣,6,ZQB91Q1,␣
C0008,"1,620,000",25,␣,2,홍창재,트랙스 GV90,사람을,✘,"77,610,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,71160000,␣,✘,"21,590,000",88.1,✘,"8,140,000",도류빈,∅,✘,✘,4,✘,␣,기타 의료용 기기 제조업,DBS은행,1934.10.20,19,1027695610,광주광역시 북구 필문대로 113-3 (풍향동),28,ZRAQTI1,307268-62-889819
C0009,"18,810,000",␣,␣,4,␣,␣,일을,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,19,✔,␣,16.4,✔,"8,760,000",상케이,∅,✘,✘,12,✘,견나리,석제품 제조업,중국교통은행,1994.08.12,12,1758507719,대구광역시 서구 비산동 80-27,16,ZUW3A6N,␣
C0010,␣,31,02-749-8670,5,시태니,렉스턴 코나,␣,✘,"15,690,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"4,730,000",␣,✘,"3,830,000",96.4,✘,␣,박다완,∅,✘,✘,␣,✘,상리담,␣,␣,2043-10-19,␣,9143466977,경상남도 밀양시 상남면 양림간안길 18 (예림리),12,ZEM844F,144-128-214974
