image,015,017,002,014,008,011,016,005,000,003,007,001,013,006,004,009,012,010
A0000,∅,␣,✔,✔,✔,5,␣,✘,✔,✘,✘,✘,김민준,✔,✔,✔,15,2025
A0001,∅,␣,✔,✔,✔,02,␣,✘,✔,✘,✘,✘,이서연,✔,✔,✔,10,2025
A0002,∅,␣,✔,✘,✔,01,␣,✘,✔,✘,✘,✘,박도현,✔,✔,✔,15,2025
A0003,∅,␣,✔,✔,✔,09,␣,✘,✔,✘,✘,✘,최지우,✔,✔,✔,01,2025
A0004,∅,␣,✔,✔,✔,11,␣,✘,✔,✘,✘,✘,정현우,✔,✔,✔,15,2025
A0005,∅,␣,✔,✔,✔,4,␣,✘,✔,✘,✘,✘,윤수아,✔,✔,✔,5,2025
A0006,∅,␣,✔,✔,✔,3,␣,✘,✔,✘,✘,✘,장우진,✔,✔,✔,1,2025
A0007,∅,␣,✔,✔,✔,10,␣,✘,✔,✘,✘,✘,송하윤,✔,✔,✔,20,2025
A0008,∅,␣,✘,✔,✔,␣,␣,✘,✔,✔,✔,✘,강지훈,✘,✔,✔,␣,␣
A0009,∅,␣,✘,✔,✔,01,␣,✘,✔,✔,✔,✘,한서준,✘,✔,✔,12,2025
A0010,∅,␣,✘,✔,✔,5,␣,✘,✔,✔,✔,✘,임준서,✘,✔,✔,10,2025
A0011,∅,␣,✔,✔,✔,02,␣,✘,✔,✘,✘,✘,서예진,✔,✔,✔,25,2025
A0012,∅,␣,✔,✔,✔,8,␣,✘,✔,✘,✘,✘,신동욱,✔,✔,✔,18,2025
A0013,∅,␣,✔,✔,✔,12,␣,✘,✔,✘,✘,✘,권보람,✔,✔,✔,3,2025
A0014,∅,␣,✔,✔,✔,06,␣,✘,✔,✘,✘,✘,조현우,✔,✔,✔,15,2025
A0015,∅,␣,✔,✔,✔,8,␣,✘,✔,✘,✘,✘,(주)미래솔루션,✔,✔,✔,20,2025
A0016,∅,␣,✔,✔,✔,11,␣,✘,✔,✘,✘,✘,한빛개발,✔,✔,✔,05,2025
A0017,∅,␣,✔,✔,✔,06,␣,✘,✔,✘,✘,✘,(주)새롬테크,✔,✔,✔,20,2025
A0018,∅,␣,✔,✔,✔,10,␣,✘,✔,✘,✘,✘,(주)영진물산,✔,✔,✔,20,2025
A0019,∅,␣,✔,✔,✔,12,␣,✘,✔,✘,✘,✘,(주)금강산업,✔,✔,✔,03,2025
A0020,∅,␣,✔,✔,✔,7,␣,✘,✔,✘,✘,✘,(주)대우무역,✔,✔,✔,8,2025
A0021,∅,␣,✔,✔,✔,01,␣,✘,✔,✘,✘,✘,에너지포스,✔,✔,✔,12,2025
A0022,∅,␣,✔,✔,✔,2,␣,✘,✔,✘,✘,✘,에어로스페이스,✔,✔,✔,25,2025
A0023,∅,␣,✔,✔,✔,8,␣,✘,✔,✘,✘,✘,매직제일물산,✔,✔,✔,18,2025
A0024,∅,␣,✔,✔,✔,12,␣,✘,✔,✘,✘,✘,전자디스플레이,✔,✔,✔,3,2025
A0025,∅,␣,✔,✔,✔,6,␣,✘,✔,✘,✘,✘,삼성수산,✔,✔,✔,15,2025
A0026,∅,␣,✘,✔,✔,10,␣,✘,✔,✔,✔,✘,현대모직,✘,✔,✔,20,2025
A0027,∅,␣,✔,✔,✔,4,␣,✘,✔,✘,✘,✘,제일수산,✔,✔,✔,5,2025
A0028,∅,␣,✔,✔,✔,03,␣,✘,✔,✘,✘,✘,제일주류,✔,✔,✔,01,2025
A0029,∅,␣,✔,✔,✔,5,␣,✘,✔,✘,✘,✘,제일통신,✔,✔,✔,15,2025
D0000,∅,UZKGG1A,✘,✔,✘,␣,1650477312,✘,✔,✘,✘,✘,최현빈,✘,✘,✘,18,2007
D0001,∅,UOPO1TR,✔,✘,✔,12,9453974553,✘,✔,✘,✘,✔,지찬,✘,✘,✘,18,2032
D0002,∅,UXGDPCK,✔,✘,✘,6,␣,✘,✘,✘,✘,✘,전보담,✔,✘,✘,12,2015
F0000,∅,URYCW93,✔,✔,✘,␣,1647930368,✔,✘,✘,✔,✔,사공경석,✘,✘,✘,␣,2021
