image,015,017,022,033,051,002,041,032,040,050,036,043,019,008,052,016,026,027,006,023,038,039,018,042,009,021,024,045,044,101,037,035,049,034,053,054,030,020,029,028,046,011,005,003,007,001,025,031,047,048,004,100,010
C0000,✘,␣,␣,7,✘,U GYUNMIN,␣,✘,␣,✔,✘,✘,✘,␣,AULN15,✘,✘,✘,␣,✘,또또,201515,␣,054-5376-1313,경상북도 경주시 산내면 상지길 31-39 (외칠리),ujzs8s3qe2wvj,␣,␣,✔,✘,✘,✘,✘,✔,1180247819,SJK8UE8,✘,✔,✘,✘,✘,010-6888-9142,␣,2029 4 18,␣,오엘리엇,광주은행,✘,✘,✘,남자,✘,제주특별자치도 제주시 연북로 599 (이도이동)
C0001,✘,hirqkva,narasarang.or.kr,4,✘,␣,증류주 및 합성주 제조업,✘,912-25-51178,✘,✔,✘,✘,␣,AULN15,✘,✘,✔,␣,✘,그라운드시소 서촌,. .24,freenet.de,␣,경기도 화성시 남양읍 안석리 503-1,␣,␣,␣,✘,✘,✔,✘,✔,✔,1670744591,S43TFT6,✘,✔,✘,✘,✘,␣,␣,2027. . 31,␣,시보을,␣,✘,✘,✘,남자,✘,서울특별시 용산구 효창원로104다길 30-5 (서계동)
C0002,✘,cu1dzre1uas,cbu.ac.kr,30,✘,SEON SANG-WAN,구조용 금속제품 제조업,✘,␣,✘,✘,✘,✔,␣,AULN15,✔,✘,✘,␣,✘,BHC 사당점,2023.1.,pitt.edu,042-2219-4179,␣,␣,␣,경기도 양평군 용문면 용문로 869-13 (광탄리),✘,✘,✘,✘,✘,✘,9833804103,SICU1GF,✘,✔,✔,✘,✘,␣,␣,2016. . 10,␣,␣,중국은행,✘,✔,✔,여자,✘,부산광역시 금정구 범어천로28번길 17-4 (남산동)
C0003,✔,␣,lycos.co.kr,1,✘,MAENG GAMI,기타 축산업,✘,740-77-91122,✘,✘,✘,✔,␣,AULN15,✘,✘,✔,␣,✘,할머니칼국수,2014 13,pm.me,031-0664-3164,충청남도 예산군 예산읍 산성리 343-3,chke08odz.bmd,313-069997-790,␣,✘,✘,✘,✘,✔,✘,9682478546,S0UZ20Y,✘,✔,✔,✔,✘,010-9591-2840,␣,2025,␣,육희윤,한국씨티은행,✘,✘,✘,여자,✘,␣
C0004,✘,ed9j6pz1s7_,gawab.com,14,✘,WON UNJEONG,"연료, 연료용 광물 및 관련제품 도매업",✘,␣,✘,✘,✘,✘,␣,AULN15,✔,✘,✘,␣,✘,혜성미용실,2029 8,exe.com,␣,충청남도 천안시 서북구 입장면 쑥골길 19-7 (유리),v6f4k8qjx5n,␣,서울특별시 서대문구 북아현로4나길 12 (북아현동),✘,✘,✔,✘,✘,✘,1712881749,SY4D8TS,✘,✘,✔,✔,✘,010-4274-5228,␣,8,␣,정엘시,중소기업은행,✔,✘,✔,여자,✘,␣
C0005,✔,htallyqv67irx,citizen.seoul.kr,␣,✔,YEOM GEUMSEONG,도시 정기 육상 여객 운송업,✘,629-67-80531,✔,✘,✘,✘,␣,AULN15,✘,✘,✘,␣,✘,충무상회,201543,juniv.edu,032-9758-9536,␣,rsn8pyf,275-813581-45,␣,✔,✘,✔,✘,✘,✔,9941386054,S9WPIP7,✔,✘,✘,✔,✘,010-6131-1812,␣,202110,␣,좌현영,토스뱅크,✔,✔,✔,␣,✘,"전북특별자치도 익산시 황등면 황등3길 4 (황등리, 황등대영아파트)"
C0006,✔,boizi1i,␣,23,✔,␣,철도 운송업,✘,367-89-22740,✘,✘,✘,✘,␣,AULN15,✔,✘,✘,␣,✔,␣,2028 1 3,␣,055-1826-4912,경상북도 경산시 중방동 413-15,ivf4-5yy4x,263794-00-546969,인천광역시 미추홀구 숭의동 173-37,✘,✘,✔,✔,✘,✘,1382656684,SK089UH,✔,✘,✘,✘,✔,010-4174-1510,␣,2012 9 1,␣,␣,중국교통은행,✘,✘,✔,여자,✘,경상남도 밀양시 초동면 오방리 325
C0007,✔,␣,gachon.ac.kr,␣,✘,␣,"철물, 공구, 창호 및 건설자재 소매업",✘,451-24-49864,✘,✔,✔,✘,␣,AULN15,✘,✘,✘,␣,✘,한우만,2,␣,031-8957-0598,충청북도 청주시 흥덕구 봉명동 2934 (청주SKVIEW자이),hgt9eed62v6,954224-53-675024,광주광역시 광산구 송정동 936-6,✘,✘,✔,✘,✔,✘,1620348286,SNJES2W,✔,✘,✔,✘,✘,010-1346-7902,␣,2030 12,␣,하샘율,␣,✔,✘,✘,␣,✘,경상북도 봉화군 명호면 청량로 468-1 (북곡리)
C0008,✔,uv5ondh9,fun.com,27,✘,␣,␣,✘,696-91-41088,✘,✔,✘,✔,␣,AULN15,✘,✘,✘,␣,✘,세빛섬 튜브스터,313,love.com,031-4628-0562,"부산광역시 동래구 반송로 281 (명장동, 도시철도명장역)",cgdmj46pr,␣,서울특별시 강동구 진황도로31길 51 (천호동),✔,✘,✘,✘,✘,✘,9779434870,SS41S00,✘,✘,✘,✘,✘,␣,␣,20291,␣,마동효,전북은행,✘,✘,✘,남자,✘,경상북도 울진군 죽변면 죽변리 433-3
C0009,✘,y-47uhltm,␣,25,✘,␣,플라스틱 발포 성형제품 제조업,✘,␣,✘,✘,✘,✘,␣,AULN15,✔,✘,✔,␣,✔,␣,2010,␣,052-1144-1666,경상북도 청도군 운문면 마일리 1466,fc6-citekxi1_,889-85950447-33,충청남도 아산시 순천향로 978 (좌부동),✘,✘,✔,✔,✘,✘,9912832518,SVB3OFE,✘,✘,✘,✘,✘,010-9261-2409,␣,2,␣,␣,대구은행,✘,✘,✘,남자,✘,경상북도 포항시 남구 해도동 414-25
