image,011,005,000,003,007,001,006,002,004,009,010,008
A0000,␣,5,✘,✔,별빛엔터테이먼트,✔,15,✘,2025,∅,␣,✔
A0001,␣,03,✘,✔,무지개건설,✔,22,✘,2025,∅,␣,✔
A0002,␣,05,✘,✔,해피라인,✔,08,✘,2025,∅,␣,✔
A0003,␣,07,✘,✔,스마일모터스,✔,11,✘,2025,∅,␣,✔
A0004,␣,09,✘,✔,드림기획,✔,03,✘,2025,∅,␣,✔
A0005,␣,11,✘,✔,썬샤인푸드,✔,29,✘,2025,∅,␣,✔
A0006,␣,2,✘,✔,골든텍,✔,4,✘,2025,∅,␣,✔
A0007,␣,4,✘,✔,실버라인,✔,18,✘,2025,∅,␣,✔
A0008,␣,␣,✘,✔,블루힐,✔,␣,✘,␣,∅,␣,✔
A0009,␣,8,✘,✔,그린플러스,✔,12,✘,2025,∅,␣,✔
A0010,␣,10,✘,✔,윈드밀,✔,7,✘,2025,∅,␣,✔
A0011,␣,12,✘,✔,레인보우,✔,31,✘,2025,∅,␣,✔
A0012,␣,1,✘,✔,스타라이트,✔,9,✘,2025,∅,␣,✔
A0013,␣,3,✘,✔,썬더볼트,✔,16,✘,2025,∅,␣,✔
A0014,␣,5,✘,✔,퓨처텍,✔,23,✘,2025,∅,␣,✔
A0015,␣,7,✘,✔,에버그린,✔,5,✘,2025,∅,␣,✔
A0016,␣,09,✘,✔,럭키데이,✔,19,✘,2025,∅,␣,✔
A0017,␣,11,✘,✔,해피 랜드,✔,14,✘,2025,∅,␣,✔
A0018,␣,2,✘,✔,스위트홈,✔,28,✘,2025,∅,␣,✔
A0019,␣,04,✘,✔,뷰티플,✔,01,✘,2025,∅,␣,✔
A0020,␣,6,✘,✔,헬로키티,✔,17,✘,2025,∅,␣,✔
A0021,␣,08,✘,✔,캔디랜드,✔,24,✘,2025,∅,␣,✔
A0022,␣,10,✘,✔,파라다이스,✔,10,✘,2025,∅,␣,✔
A0023,␣,12,✘,✔,썬샤인,✔,8,✘,2025,∅,␣,✔
A0024,␣,01,✘,✔,드림월드,✔,21,✘,2025,∅,␣,✔
A0025,␣,3,✘,✔,해피데이,✔,30,✘,2025,∅,␣,✔
A0026,␣,5,✘,✔,스마일,✔,10,✘,2025,∅,␣,✔
A0027,␣,7,✘,✔,럭키스타,✔,26,✘,2025,∅,␣,✔
A0028,␣,09,✘,✔,뷰티플라이프,✔,06,✘,2025,∅,␣,✔
A0029,␣,11,✘,✔,원드밀컴퍼니,✔,20,✘,2025,∅,␣,✔
