image,015,034,030,036,029,028,011,013,025,026,031,027,023,038,012,024,014,010,037,035
A0000,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,15,이지혜,✘,✔,2025,␣,✘,5,✘,✘,␣,✘
A0001,✔,␣,␣,SP00OAA025,✘,␣,✔,✔,10,이서연,✘,✔,2025,␣,✘,02,✘,✘,␣,✘
A0002,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,23,김민지,✘,✔,2025,␣,✘,06,✘,✘,␣,✘
A0003,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,13,최현우,✘,✔,2025,␣,✘,07,✘,✘,␣,✘
A0004,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,27,정수아,✘,✔,2025,␣,✘,07,✘,✘,␣,✘
A0005,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,9,강지훈,✘,✔,2025,␣,✘,8,✘,✘,␣,✘
A0006,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,23,윤서연,✘,✔,2025,␣,✘,8,✘,✘,␣,✘
A0007,✔,␣,␣,SP00OAA025,✘,␣,✔,✔,05,장동건,✘,✔,2025,␣,✘,09,✘,✘,␣,✘
A0008,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,19,송하늘,✘,✔,2025,␣,✘,09,✘,✘,␣,✘
A0009,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,8,한지민,✘,✔,2025,␣,✘,10,✘,✘,␣,✘
A0010,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,22,임준서,✘,✔,2025,␣,✘,10,✘,✘,␣,✘
A0011,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,5,서예진,✘,✔,2025,␣,✘,11,✘,✘,␣,✘
A0012,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,19,신동욱,✘,✔,2025,␣,✘,11,✘,✘,␣,✘
A0013,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,8,권보람,✘,✔,2025,␣,✘,12,✘,✘,␣,✘
A0014,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,22,조현우,✘,✔,2025,␣,✘,12,✘,✘,␣,✘
A0015,✘,␣,␣,SP00OAA025,✔,강민준,✔,✔,02,미래기획,✘,✔,2025,␣,✘,01,✘,✘,␣,✘
A0016,✘,␣,␣,SP00OAA025,✔,김서연,✔,✔,16,한빛개발건설,✘,✔,2025,␣,✘,01,✘,✘,␣,✘
A0017,✔,␣,␣,SP00OAA025,✔,박지훈,✔,✔,02,새롬정보통신,✘,✔,2025,␣,✘,02,✘,✘,␣,✘
A0018,✘,␣,␣,SP00OAA025,✔,이하윤,✔,✔,16,영진무역상사,✘,✔,2025,␣,✘,2,✘,✘,␣,✘
A0019,✘,␣,␣,SP00OAA025,✔,최현우,✔,✔,10,금강철물,✘,✔,2025,␣,✘,03,✘,✘,␣,✘
A0020,✘,␣,␣,SP00OAA025,✔,정수아,✔,✔,24,신한에너지솔루션,✘,✔,2025,␣,✘,3,✘,✘,␣,✘
A0021,✘,␣,␣,SP00OAA025,✔,윤도현,✔,✔,03,한화물류,✘,✔,2025,␣,✘,04,✘,✘,␣,✘
A0022,✘,␣,␣,SP00OAA025,✔,장예진,✔,✔,17,아성전자,✘,✔,2025,␣,✘,4,✘,✘,␣,✘
A0023,✘,␣,␣,SP00OAA025,✔,임준서,✔,✔,10,동양정밀,✘,✔,2025,␣,✘,05,✘,✘,␣,✘
A0024,✘,␣,␣,SP00OAA025,✔,한지우,✔,✔,24,우진산업,✘,✔,2025,␣,✘,05,✘,✘,␣,✘
A0025,✘,␣,␣,SP00OAA025,✔,조예나,✔,✔,7,성광기계,✘,✔,2025,␣,✘,6,✘,✘,␣,✘
A0026,✘,␣,␣,SP00OAA025,✔,송민석,✔,✔,21,진성테크,✘,✔,2025,␣,✘,6,✔,✘,␣,✘
A0027,✘,␣,␣,SP00OAA025,✔,신수진,✔,✔,10,대성무역,✘,✔,2025,␣,✘,7,✘,✘,␣,✘
A0028,✘,␣,␣,SP00OAA025,✔,권도윤,✔,✔,24,보람산업,✘,✔,2025,␣,✘,07,✘,✘,␣,✘
D0000,✘,엄현근,시우섭,SP00OAA025,✘,␣,✘,✘,15,안푸름,✔,✘,␣,␣,✘,8,✘,✘,␣,✘
D0001,✘,경제원,팽홍희,SP00OAA025,✔,호연울,✘,✘,␣,복랑아,✔,✔,2012,HXY1X7L,✘,1,✘,✘,1131505208,✔
D0002,✘,하빛나리,오희곤,SP00OAA025,✘,안아이,✘,✔,7,␣,✔,✔,2026,␣,✔,␣,✘,✘,9578780499,✘
D0003,✘,␣,용연환,SP00OAA025,✔,윤혁수,✘,✘,13,␣,✘,✔,2004,H49W4MD,✔,␣,✘,✔,1456366853,✔
E0000,✘,형강건,␣,SP00OAA025,✔,␣,✘,✘,␣,␣,✔,✔,2010,␣,✘,10,✘,✘,1351455910,✔
