image,015,017,022,033,051,002,041,032,040,050,036,043,019,008,052,016,013,026,027,006,023,038,039,018,100,042,009,021,024,045,102,044,101,037,035,049,034,053,054,030,020,029,028,046,011,005,000,025,007,001,031,047,048,004,012,014,010
C0000,✘,␣,yahoo.com,␣,✘,MIN BONGJUN,인력 공급업,✘,␣,✘,✘,✘,✘,␣,AULM37,✔,␣,✘,✘,␣,✘,부산양곱창,2019. .,kw.ac.kr,2026,031-6187-3412,␣,qbi1vzf64y,␣,전북특별자치도 고창군 공음면 참나무정1길 29-17 (칠암리),10,✘,6,✔,✔,✔,✘,9421535093,SI2UWAZ,✘,✘,✔,✘,✘,010-7213-8377,␣,1076559531,중소기업은행,␣,호록담,✔,✘,✘,남자,053-4298-3722,exe.com,전라남도 영암군 시종면 고분로 261 (금지리)
C0001,✘,xydeqhu,lavabit.com,␣,✘,GANG MUSEUNG,␣,✘,562-50-74631,✔,✔,✘,✘,␣,AULM37,✘,␣,✘,✘,␣,✘,서울혁신파크,. .8,␣,2021,063-5177-7134,광주광역시 북구 신안동 145-16,␣,994-056756-958,경상남도 밀양시 상동면 안인리 130-3,13,✔,12,✘,✔,✘,✔,1717423665,SZ1PSXZ,✘,✘,✔,✔,✘,010-8392-4769,␣,1146673127,␣,␣,견지순,✘,✘,✘,여자,␣,xd3kjhd1kq9,전라남도 담양군 창평면 수곡길 84-4 (용수리)
C0002,✘,eg0bacd8,␣,9,✔,HAM BEOMSOL,건물설비 설치 공사업,✘,698-06-66654,✘,✘,✘,✘,␣,AULM37,✔,ps9v3kpyj,✘,✘,␣,✘,␣,2018619,␣,␣,␣,␣,␣,707-573513-430,경기도 남양주시 진접읍 내각리 288-11,␣,✘,␣,✘,✘,✘,✘,1359290474,SOAH3NK,✘,✘,✘,✘,✔,␣,␣,1155882427,␣,␣,허형중,✘,✔,✘,␣,063-1512-2386,ewha.ac.kr,대구광역시 북구 동변로24길 14-7 (동변동)
C0003,✘,␣,iemail.com,10,✘,MIN CHAEHEUN,항공 여객 운송업,✘,␣,✘,✘,✘,✔,␣,AULM37,✘,yymauq39xv,✘,✘,␣,✘,자비시주얼리,2016 11 11,␣,2012,02-138-5446,␣,␣,␣,␣,31,✘,3,✘,✘,✘,✘,9156524565,SZRPKNI,✘,✔,✘,✘,✘,010-5125-9852,␣,9784235147,한국씨티은행,␣,간형일,✔,✘,✘,␣,␣,␣,인천광역시 부평구 주부토로 41 (부평동)
C0004,✘,z70ztiwz2gq6,mailinator.com,12,✔,MO YEOB,사회서비스 관리 행정,✔,␣,✔,✔,✘,✘,␣,AULM37,✔,␣,✘,✘,␣,✘,␣,2015. 10.18,␣,2027,062-5189-9736,충청남도 천안시 동남구 병천면 아우내장터1길 37-1 (병천리),nwz.jwavc,609-191-326142,전북특별자치도 익산시 삼기면 기산리 371-3,␣,✘,␣,✔,✔,✔,✘,1475483187,SQD9OUI,✘,✘,✘,✘,✔,010-3295-4010,␣,1954268499,␣,␣,김해승,✘,✔,✘,여자,032-7866-0119,␣,강원특별자치도 홍천군 서석면 생곡리 179-4
C0005,✘,gskc_.5,hawaii.edu,23,✘,GO YE-EON,␣,✘,826-53-84164,✘,✘,✘,✔,␣,AULM37,✘,chw7n2g,✘,✘,␣,✔,해주냉면,␣,ole.com,2021,031-1415-0076,␣,␣,698-293770-19,서울특별시 강서구 화곡동 105-15 (영진빌라),2,✘,␣,✘,✘,✔,✘,1814898031,SO05YDG,✘,✔,✔,✘,✘,010-1340-2245,␣,1754357334,␣,␣,정근희,✘,✘,✘,여자,033-3817-6279,␣,경기도 광주시 남종면 태허정로 437-14 (삼성리)
C0006,✔,v_62s4xw1h,␣,29,✔,␣,␣,✘,713-69-42978,✘,✘,✘,✘,␣,AULM37,✘,mou1pr81,✘,✘,␣,✔,히말라야 종각점,2012 1 31,␣,␣,␣,경기도 고양시 덕양구 행주내동 76-4,jrhn.tfu,966-38335301-46,␣,␣,✔,␣,✘,✘,✘,✘,9249631115,SS6M9B0,✘,✘,✘,✘,✔,␣,␣,1080469413,␣,␣,정리한,✘,✘,✘,여자,043-1608-7576,␣,␣
C0007,✔,rdod0n6q,ole.com,4,✔,SA SONG-A,신선 식품 및 단순 가공 식품 도매업,✔,435-84-90644,✘,✘,✘,✘,␣,AULM37,✔,mkkic_yf0-,✘,✔,␣,✔,이촌 한강공원,2025,hunter.cuny.edu,2022,␣,충청북도 옥천군 청산면 만월로1길 34-11 (만월리),tut.01oxhg6,727-454296-42029,␣,19,✘,␣,✘,✔,✘,✘,9758677342,S178AVC,✘,✔,✘,✔,✔,010-6827-5260,␣,1311620783,␣,␣,␣,✘,✘,✔,␣,044-7692-0359,foxmail.com,"서울특별시 동대문구 천호대로 57 (용두동, (주)경도기업)"
C0008,✘,␣,␣,␣,✘,MIN GYEONGGUG,토목 시설물 건설업,✘,599-86-66022,✘,✔,✘,✘,␣,AULM37,✘,␣,✘,✔,␣,✘,교보문고 광화문점,11 15,␣,2017,052-9558-7022,강원특별자치도 횡성군 둔내면 현천리 149,utp_2if52id,␣,대구광역시 수성구 청수로25길 66-14 (황금동),8,✔,10,✘,✘,✘,✘,1665038673,SL28KE9,✘,✘,✘,✘,✔,010-2436-4302,␣,1435940445,JP모건체이스,␣,␣,✔,✘,✔,␣,064-7806-5525,citizen.seoul.kr,전라남도 여수시 돌산읍 서외길 12 (군내리)
C0009,✘,wg.373_35k,␣,␣,✘,YEOM GABYEOL,전기 공사업,✔,754-82-99196,✘,✔,✔,✘,␣,AULM37,✔,␣,✘,✘,␣,✘,마포옥,2014 7 15,husky.neu.edu,2024,051-6304-4780,경기도 김포시 풍무동 115-11,x86kripq9bh4,8142-32-792803,␣,␣,✔,␣,✘,✘,✔,✘,1231471523,SRZDUEF,✘,✘,✘,✘,✘,010-9570-1518,␣,9708211848,BNP파리바,␣,좌현서,✔,✘,✘,남자,␣,mail.ru,강원특별자치도 삼척시 근덕면 궁촌길 939-42 (매원리)
