image,015,017,022,033,002,032,040,036,019,008,016,013,026,027,006,023,038,039,018,009,021,024,037,035,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
A0000,␣,서울특별시 강남구 테헤란로 123,25.7.15 PM 2:30,✔,지문혜,✘,␣,최성훈,1201110682808,흰색,␣,␣,✘,✔,2021,주식회사 케이자동차,∅,␣,␣,␣,매매상사,영업용,✔,✔,✔,✘,␣,✘,✔,␣,디 올뉴 그랜저,␣,강서연,12가1234,민김준,"고객대면확인, 상사운영확인, 실사사진첨부",✔,U1GURZY,␣,010 1234 5678,␣
A0001,␣,경기도 성남시 분당구 정자동 456,25.8.2 PM 4시,✘,구태강,✔,␣,배수진,1348110418930,흰색,␣,␣,✘,✔,2020,주식회사 미소자동차,∅,␣,␣,␣,매매상사,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,G803,␣,곽광도,101가5678,이서연,고객대면확인 / 상사운영확인 / 실사사진첨부,✔,U1KDMX9,␣,010 9876 5432,␣
A0002,␣,부산광역시 해운대구 마린시티 1로 789,25.9.10 AM 10시,✔,예송나,✘,␣,이현우,1358110326017,유색,␣,␣,✘,✔,2020,㈜ 더드림카,∅,␣,␣,␣,매매상사,영업용,✔,✔,✔,✘,␣,✘,✔,␣,그랜져HG,␣,김윤경,112나9012,박도현,고객대면확인 / 상사운영확인 / 실사사진첨부,✔,U1M3OGA,␣,010 2468 1357,␣
A0003,␣,대전광역시 서구 둔산로 1011,25.10.5 PM 1:45,✔,진정우,✘,␣,한지민,1501110221759,검정,␣,␣,✘,✔,2017,(주)한누리모터스,∅,␣,␣,␣,매매상사,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,GV70,␣,김하경,200다 3456,최지우,"고객대면확인, 상사운영확인, 실사사진첨부",✔,U1JO8TG,␣,010 8642 0975,␣
A0004,␣,인천광역시 부평구 부평대로 234,2025.11.20 AM 9:30,✔,지이은,✘,␣,박준영,1801111155084,유색,␣,␣,✘,✔,2014,주식회사 더카프라자,∅,␣,␣,␣,매매상사,영업용,✔,✔,✔,✘,␣,✘,✔,␣,LANDROVER 4.4 SDV8,␣,강민우,107라 7890,정현우,고객대면확인 / 상사운영확인 / 실사사진첨부,✔,U1GSOPS,␣,010 3579 1246,␣
A0005,␣,광주광역시 북구 용봉동 345,2025.12.12 PM 3:00,✔,현최우,✘,␣,김민지,1344140002842,흰색,␣,␣,✘,✔,2020,주식회사 바른손,∅,␣,␣,␣,매매상사,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,GV70,␣,류홍승,111마 1235,윤수아,고객대면확인 상사운영확인 실사사진첨부,✔,U1K5IRD,␣,010 7531 9864,␣
A0006,␣,울산광역시 남구 삼산로 678,2025.1.5 AM 11:15,✔,수김현,✘,␣,서예진,␣,흰색,␣,␣,✘,✔,2016,신화,∅,␣,␣,␣,매매상사,영업용,✔,✔,✔,✘,␣,✘,✔,␣,JEEP 2.4,␣,최정희,108바5679,장우진,고객대면확인 / 상사운영확인 / 실사사진첨부,✔,ULIUWIV,␣,010 1122 3344,␣
A0007,␣,강원도 춘천시 퇴계로 901,2025.2.18 PM 2:45,✔,연박서,✘,␣,유재석,␣,흰색,␣,␣,✘,✔,2016,더마니카,∅,␣,␣,␣,매매상사,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,TOYOTA 프리우스,␣,박건영,100사 9013,송하윤,고객대면확인 / 상사운영확인 / 실사사진첨부,✔,U1KWBID,␣,010 5566 7788,␣
A0008,␣,경기도 안산시 단원구 고잔동 1213,2025.3.3 AM 8:00,✔,지윤훈,✘,␣,고현정,␣,검정,␣,␣,✘,✔,2018,해피카,∅,␣,␣,␣,매매상사,영업용,✔,✔,✔,✘,␣,✘,✔,␣,K8,␣,김인원,111아3457,강지훈,고객대면확인 / 상사운영확인 / 실사사진첨부,✔,U1LZVUM,␣,010 9900 1122,␣
A0009,␣,경기도 김포시 통진읍 1415,2025.4.22 PM 4:30,✔,미장나,✘,␣,정우성,1349110140838,유색,␣,␣,✘,✔,2016,성곡점 기아오토큐(주),∅,␣,␣,␣,매매상사,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,디 올뉴그랜져,␣,안광희,102자 7891,한서연,고객대면확인 / 상사운영확인 / 실사사진첨부,✔,U1HPGS1,␣,010 4455 6677,␣
