image,021,010,015,017,022,002,014,020,029,028,019,008,011,016,005,000,013,003,026,007,001,006,025,023,018,004,009,027,024,012
A0000,✔,✘,(주)에스앤피커뮤니케이션,2025,␣,✘,15,천초아,␣,␣,15,✘,✘,✔,✘,✘,1,✔,✘,✔,✔,✘,␣,␣,1,✘,✔,SP00NAB026,␣,2025
A0001,✔,✘,티에이치산업개발,2025,␣,✘,22,추채유,␣,␣,22,✘,✘,✔,✘,✘,3,✔,✘,✔,✔,✘,␣,␣,3,✘,✔,SP00NAB026,␣,2025
A0002,✔,✘,서현기계(주),2025,␣,✘,8,임서하나,␣,␣,8,✘,✘,✔,✘,✘,5,✔,✘,✔,✔,✘,␣,␣,5,✘,✔,SP00NAB026,␣,2025
A0003,✔,✘,대한예수교장로회중원햇빛교회,2025,␣,✘,11,허연나래,␣,␣,11,✘,✘,✔,✘,✘,7,✔,✘,✔,✔,✘,␣,␣,7,✘,✔,SP00NAB026,␣,2025
A0004,✔,✘,광전운수,2025,␣,✘,3,염호태,␣,␣,3,✘,✘,✔,✘,✘,9,✔,✘,✔,✔,✘,␣,␣,9,✘,✔,SP00NAB026,␣,2025
A0005,✔,✘,올리브떡볶이,2025,␣,✘,29,안슬,␣,␣,29,✘,✘,✔,✘,✘,11,✔,✘,✔,✔,✘,␣,␣,11,✘,✔,SP00NAB026,␣,2025
A0006,✔,✘,파리바게트 ( 북수점 ),2025,␣,✘,4,장태초,␣,␣,4,✘,✘,✔,✘,✘,2,✔,✘,✔,✔,✘,␣,␣,2,✘,✔,SP00NAB026,␣,2025
A0007,✔,✘,기독교한국침례회생명의빛교회,2025,␣,✘,18,구본예재나래도,␣,␣,18,✘,✘,✔,✘,✘,4,✔,✘,✔,✔,✘,␣,␣,4,✘,✔,SP00NAB026,␣,2025
A0008,✔,✘,멕시카나미룡대명점,2025,␣,✘,25,우하현,␣,␣,25,✘,✘,✔,✘,✘,6,✔,✘,✔,✔,✘,␣,␣,6,✘,✔,SP00NAB026,␣,2025
A0009,✔,✘,(주)이포에프,2025,␣,✘,12,마나별,␣,␣,12,✘,✘,✔,✘,✘,8,✔,✘,✔,✔,✘,␣,␣,8,✘,✔,SP00NAB026,␣,2025
A0010,✔,✘,공장개발종합건설,2025,␣,✘,7,우나서,␣,␣,7,✘,✘,✔,✘,✘,10,✔,✘,✔,✔,✘,␣,␣,10,✘,✔,SP00NAB026,␣,2025
A0011,✔,✘,(주)한일통운,2025,␣,✘,31,황호서재,␣,␣,31,✘,✘,✔,✘,✘,12,✔,✘,✔,✔,✘,␣,␣,12,✘,✔,SP00NAB026,␣,2025
A0012,✔,✘,주식회사 남경전기,2025,␣,✘,9,차빛윤,␣,␣,9,✘,✘,✔,✘,✘,1,✔,✘,✔,✔,✘,␣,␣,1,✘,✔,SP00NAB026,␣,2025
A0013,✔,✘,석재용달화물,2025,␣,✘,16,신하나초,␣,␣,16,✘,✘,✔,✘,✘,3,✔,✘,✔,✔,✘,␣,␣,3,✘,✔,SP00NAB026,␣,2025
A0014,✔,✘,대한예수교장로회예심교회,2025,␣,✘,23,백아도,␣,␣,23,✘,✘,✔,✘,✘,5,✔,✘,✔,✔,✘,␣,␣,5,✘,✔,SP00NAB026,␣,2025
A0015,✔,✘,어상식품영농조합법인,2025,␣,✘,5,금별성호,␣,␣,5,✘,✘,✔,✘,✘,7,✔,✘,✔,✔,✘,␣,␣,7,✘,✔,SP00NAB026,␣,2025
A0016,✔,✘,화원산업개발㈜,2025,␣,✘,19,설수민,␣,␣,19,✘,✘,✔,✘,✘,9,✔,✘,✔,✔,✘,␣,␣,9,✘,✔,SP00NAB026,␣,2025
A0017,✔,✘,사단법인사회적기업청람,2025,␣,✘,14,나나래라,␣,␣,14,✘,✘,✔,✘,✘,11,✔,✘,✔,✔,✘,␣,␣,11,✘,✔,SP00NAB026,␣,2025
A0018,✔,✘,대륙엔지니어링,2025,␣,✘,28,임준예,␣,␣,28,✘,✘,✔,✘,✘,2,✔,✘,✔,✔,✘,␣,␣,2,✘,✔,SP00NAB026,␣,2025
A0019,✔,✘,부전수산,2025,␣,✘,01,육별현,␣,␣,01,✘,✘,✔,✘,✘,04,✔,✘,✔,✔,✘,␣,␣,04,✘,✔,SP00NAB026,␣,2025
A0020,✔,✘,연천상운,2025,␣,✘,17,황정솔현,␣,␣,17,✘,✘,✔,✘,✘,6,✔,✘,✔,✔,✘,␣,␣,6,✘,✔,SP00NAB026,␣,2025
A0021,✔,✘,대구컴퓨터학원,2025,␣,✘,24,황보서하,␣,␣,24,✘,✘,✔,✘,✘,8,✔,✘,✔,✔,✘,␣,␣,8,✘,✔,SP00NAB026,␣,2025
A0022,✘,✘,(주)수호전자,2025,␣,✘,10,한은라,␣,␣,10,✘,✘,✔,✘,✘,10,✔,✘,✔,✔,✘,␣,␣,10,✘,✔,SP00NAB026,␣,2025
A0023,✔,✘,(주)아주산업,2025,␣,✘,08,주나래성하윤,␣,␣,08,✘,✘,✔,✘,✘,12,✔,✘,✔,✔,✘,␣,␣,12,✘,✔,SP00NAB026,␣,2025
A0024,✔,✘,(주)세미레외장,2025,␣,✘,21,모준은,␣,␣,21,✘,✘,✔,✘,✘,01,✔,✘,✔,✔,✘,␣,␣,01,✘,✔,SP00NAB026,␣,2025
A0025,✔,✘,태백약초영농조합,2025,␣,✘,30,강아슬,␣,␣,30,✘,✘,✔,✘,✘,3,✔,✘,✔,✔,✘,␣,␣,3,✘,✔,SP00NAB026,␣,2025
A0026,✔,✘,(주)미래ENG,2025,␣,✘,13,육은예,␣,␣,13,✘,✘,✔,✘,✘,5,✔,✘,✔,✔,✘,␣,␣,5,✘,✔,SP00NAB026,␣,2025
A0027,✔,✘,(주)대상,2025,␣,✘,27,석준시,␣,␣,27,✘,✘,✔,✘,✘,7,✔,✘,✔,✔,✘,␣,␣,7,✘,✔,SP00NAB026,␣,2025
A0028,✔,✘,(주)뉴컴퍼니,2025,␣,✘,6,유예서,␣,␣,6,✘,✘,✔,✘,✘,9,✔,✘,✔,✔,✘,␣,␣,9,✘,✔,SP00NAB026,␣,2025
A0029,✔,✘,(주)광명도장산업,2025,␣,✘,20,허도호,␣,␣,20,✘,✘,✔,✘,✘,11,✔,✘,✔,✔,✘,␣,␣,11,✘,✔,SP00NAB026,␣,2025
D0000,✘,✘,추우나,␣,2015,✘,␣,␣,␣,9063058746,25,✘,✔,✔,✘,✔,␣,✘,✔,✘,✔,✔,손화나,3,1,✘,✘,SP00NAB026,1,2016
D0001,✔,✔,␣,2008,2018,✘,6,좌향지,PRV0HPS,1208547746,3,✔,✘,✘,✔,✘,␣,✘,✘,✘,✘,✘,지승선,7,3,✘,✘,SP00NAB026,␣,2038
D0002,✔,✘,하영도,2032,2035,✔,4,맹민우,␣,␣,24,✔,✘,✔,✘,✘,␣,✔,✔,✘,✔,✔,설하원,6,␣,✘,✘,SP00NAB026,22,␣
E0000,✔,✘,남궁태안,␣,2007,✘,10,서조히,SNVCVTO,9410362362,␣,✔,✘,✘,✔,✘,11,✘,✔,✘,✔,✘,␣,8,␣,✘,✘,SP00NAB026,␣,2008
