image,015,017,022,033,051,002,041,056,040,050,036,043,019,008,052,016,013,026,027,055,006,023,038,039,018,042,009,024,037,035,049,034,053,054,030,020,029,028,005,000,003,007,001,025,031,047,048,004,012,014,010
C0000,✘,✔,신한은행,✘,✘,SI HA-YE,2032/10/27,Z4QMJ2R,대만에,✘,✘,기타 유사 여가관련 서비스업,␣,남자,✘,✘,xl90xrdg,✘,✘,9626234744,1944.03.19,␣,✔,␣,k8.xj793rfbw,831-75-14411,부산광역시 사하구 감천동 72-2,✔,✘,✘,✘,✘,✘,ANCA01,✘,✘,✔,✔,␣,1795413890,2014년 1월 20일,헝가리,진주이,✔,␣,경기도 용인시 처인구 백암면 가좌리 342-4,✘,60-65-935940-15,✔,␣,010-7788-0069
C0001,✘,✔,뱅크오브아메리카,✔,✔,␣,1914/1/20,Z9DGWZL,␣,✔,✔,송전 및 배전업,␣,여자,✘,✘,en80vmm0,✔,✘,1098234168,␣,7969-88-206594,✘,풍속,␣,␣,대구광역시 군위군 우보면 두북리 791 (시온의영광교회),✘,✘,✘,✘,✘,✘,ANCA01,✘,✘,✘,✘,"작으며,",9168203808,␣,루마니아,인채강,✔,␣,경기도 안성시 공도읍 승두4길 4-4 (승두리),✘,␣,✔,␣,010-9737-4691
C0002,✔,✔,BNP파리바,✘,✘,DANG DA-EUN,1969-07-08,Z20IUXI,뚜렷한,✘,✘,무선 및 위성 통신업,␣,남자,✘,✘,yfbt_4nt,✘,✔,9756270792,1983.09.27,781-735396-543,✔,어근.,␣,366-07-32460,경기도 성남시 수정구 남문로113번길 22-1 (태평동),✔,✔,✘,✘,✘,✘,ANCA01,✘,✔,✘,✘,있고,1817503186,2034-10-30,이탈리아,빈길우,✘,␣,␣,✔,␣,✘,chollian.net,010-2898-0996
C0003,✔,✘,␣,✘,✘,␣,1953.10.31,ZPC0Y20,␣,✘,✘,플라스틱 발포 성형제품 제조업,service.io,남자,✔,✘,␣,✘,✔,1149413545,2013.9.7,899-441515-284,✔,장소.,a2sn-ewtopxn,876-88-93664,␣,✘,✘,✔,✘,✘,✘,ANCA01,✘,✘,✘,✔,가지고,9369432582,1943.12.24,몽골,␣,✔,19,전라남도 여수시 봉계1길 45-12 (봉계동),✘,␣,✘,hanmail.net,010-1630-0252
C0004,✔,✔,토스뱅크,✘,✔,SONG AGANG,2011-12-17,ZT4G14J,전,✔,✘,␣,fun.com,여자,✘,✔,sw8y5pwj,✘,✘,9652187068,1991.03.29,␣,✘,얽매여,␣,␣,경기도 수원시 권선구 탑동 782-17,✔,✘,✔,✘,✘,✘,ANCA01,✘,✘,✘,✘,␣,9830553997,1948.03.14,캐나다,곽정범,✘,23,␣,✘,72-42-926475-14,✘,␣,␣
C0005,✘,✘,제주은행,✔,✘,SEO HYESEONG,␣,Z6RG69O,␣,✘,✘,␣,␣,여자,✘,✘,qcfa81mhb,✘,✔,9418918704,1943/12/17,428-420909-08968,✔,임금이,dwozix.9p,067-13-69263,서울특별시 강남구 테헤란로19길 34-11 (역삼동),✘,✔,✘,✘,✔,✘,ANCA01,✘,✘,✘,✔,내부.,1737231931,␣,아이슬란드,␣,✘,␣,경기도 양주시 삼숭동 232,✔,45-92-699585-38,✘,␣,␣
C0006,✘,✘,␣,✘,✔,WON YONGGYUN,1917년 7월 4일,ZDLJCND,529024,✔,✘,지반조성 건설업,fmail.ru,␣,✘,✔,␣,✔,✘,1518156488,1908.7.4,910-610-152226,✘,그들은...,oi_5lmo08dj,365-81-22665,전라남도 목포시 용해동 374-13,✔,✘,✘,✔,✔,✘,ANCA01,✘,✘,✔,✘,시작하여,1835115981,␣,이스라엘,염유열,✔,6,␣,✔,␣,✘,kaist.ac.kr,010-0208-0498
C0007,✔,✘,한국수출입은행,✘,✘,␣,1919.10.19,Z8UJBZQ,␣,✘,✘,␣,bk.ru,여자,✘,✘,␣,✘,✘,9142286667,␣,␣,✘,␣,u5982f5w9.9r1,␣,경기도 화성시 팔탄면 노하리 496-1,✘,✘,✘,✘,✘,✘,ANCA01,✘,✘,✘,✘,않고,1439448349,␣,␣,권빛가온,✘,␣,␣,✘,07-61-748851-12,✘,fmail.com,010-1184-8174
C0008,✘,✘,␣,✘,✘,DANG KA-ILA,2049-10-13,ZW5ZFVC,줄.,✘,✘,"그 외 기타 전문, 과학 및 기술 서비스업",bigpond.com,여자,✘,✔,d2o-0na1g4v,✘,✘,9553665006,1938년 10월 20일,018-726-861727,✘,짓는,␣,148-66-40854,대구광역시 서구 비산동 2010-2,✔,✘,✘,✘,✘,✘,ANCA01,✘,✘,✔,✔,방법으로,9330036752,1932/5/10,우크라이나,우민호,✘,␣,경기도 수원시 권선구 고산로5번길 17 (고색동),✔,47-72-087271-86,✘,ncsu.edu,010-5378-2482
C0009,✘,✘,␣,✘,✘,GAM SO-WAN,1939/6/8,ZNQ45VB,절충하다.,✘,✔,␣,peoplepc.com,␣,✘,✘,␣,✘,✘,1743484849,␣,707-837523-04966,✘,활동이,␣,520-14-00325,경상북도 구미시 형곡동 307-6,✘,✔,✔,✘,✘,✘,ANCA01,✔,✘,✘,✔,사변이,1288162438,1915.01.13,␣,손건윤,✔,␣,충청북도 음성군 음성읍 용산리 426-1,✘,07-81-252987-94,✘,kakao.com,010-4207-7126
