image,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,101,083,076,049,081,020,029,064,028,068,011,072,003,007,001,025,047,063,014,010,060,087,089,095,061,065,099,051,033,090,097,062,032,085,056,091,074,036,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
C0000,✘,✘,✘,␣,✘,418-01-21363,monash.edu,␣,✘,4,✔,✘,051-7795-2940,✘,✔,전북특별자치도 장수군 장계면 대곡리 798,✘,9190907091,jzk1vz31,✘,␣,설음식,IG40KNY,✘,✔,✔,✘,✘,두세헌,"뜻으로,",␣,✘,"영화, 비디오물 및 방송 프로그램 배급업",남건서,1940-06-10,␣,manghageona,✔,✘,충청남도 홍성군 구항면 내포로 671-10 (장양리),✔,amazon.com,MA IJABEL,␣,␣,␣,쿠웨이트,부문장,ANCA01,✘,투르크메니스탄,지아라,제려화,2007년 12월 25일,남자,✔,✘,␣,✘,adobe.com,주백준,✔,✘,✔,✘,✘,✔,✘,✔,✘,✔,형오규,␣,✘,u7lh6u4pch,✘,거름.,2019,✘,1,✘,␣,␣,✘,PAENG LEUM-EUM,✘,✔,␣,2026,043-6191-6472,␣,✘,010-8616-7830,✘,1962-12-19,✔,전라남도 보성군 조성면 신월리 394,␣,듣지,✘
C0001,✔,✔,✘,카카오뱅크,✔,358-96-93652,icloud.com,␣,✔,7,✘,✔,033-5285-1113,✘,✘,␣,✔,1372265279,qfpd4qbr9nw,✔,6410-95-017611,단어.,IMVNNRA,✘,✘,✘,✘,✘,피찬인,바뀌어,부채모양,✔,␣,도카이리,1992년 3월 23일,경상북도 경주시 봉황로 164 (성건동),deuleonada.,✘,✘,서울특별시 강서구 염창동 267-3 (천우맨션),✔,epub.com,WON LE-I,␣,689-992916-43,8,크로아티아,부장,ANCA01,✘,␣,현승리,제채효,2028년 1월 31일,여자,✘,✘,형제자매,✘,netsgo.com,감여경,✘,✔,✘,✔,✘,✘,✘,✘,✔,✘,␣,미쓰비시UFJ은행,✘,ya3vyjpfb.n93,✘,␣,2025,✘,␣,✘,21,4,✘,KIM GYEONGDAN,✔,✘,1955.3.5,2010,044-839-4129,노컷뉴스,✘,010-2422-6242,✘,␣,✔,서울특별시 성동구 성덕정길 136-14 (성수동2가),␣,거짓으로,✘
C0002,✘,✘,✔,␣,✘,␣,ktu.edu,ffbtfn7k,✔,␣,✘,✘,033-3250-3469,✘,✘,충청남도 금산군 추부면 자부리 236-1,✔,1237328474,nq2ufe0w6w,✘,136-65187804-47,␣,ICLP358,✘,✘,✘,✘,✘,고정래,준교하여,하나밖에,✘,연금 및 공제업,견서란,␣,␣,␣,✘,✔,␣,✔,dmu.ac.uk,␣,형상화한,531-79333754-94,4,␣,␣,ANCA01,✘,␣,␣,␣,2004.9.14,여자,✘,✘,␣,✘,myway.com,육내영,✔,✘,✘,✘,✔,✔,✔,✔,✔,✘,문헌이,한국산업은행,✘,f2xgmkv,✘,"할양,",2026,✘,17,✘,␣,7,✘,BONG DAN-EL,✘,✘,1928년 5월 15일,2015,␣,워커힐,✘,010-7450-8898,✘,␣,✔,␣,␣,거품이,✘
C0003,✔,✔,✔,한국수출입은행,✘,133-47-24589,outlook.com,j7446fuy,✘,29,✘,✔,064-3710-0604,✘,✘,␣,✘,9036468978,␣,✘,253-303916-637,무엇이든,IB2WY83,✘,✔,✘,✘,✘,복나르샤,␣,유명하다.,✘,␣,␣,1984.6.8,서울특별시 강북구 솔샘로 289-1 (미아동),jeogsilhi,✘,✔,␣,✘,alum.mit.edu,BAN SEONHYEOG,밀려난,␣,5,영국,이사,ANCA01,✘,에콰도르,고울림,남민제,2045-01-30,여자,✘,✘,모,✘,␣,시은효,✔,✘,✘,✘,✔,✘,✘,✘,✘,✘,설영로,우리은행,✘,owmf40q_17h7,✔,␣,2019,✘,␣,✔,18,5,✔,IN YUNSEUNG,✘,✔,2043.10.13,2010,033-2888-4014,␣,✘,010-7197-4109,✔,2009-07-23,✘,␣,␣,별염불,✘
C0004,✘,✘,✔,토스뱅크,✘,␣,cam.ac.uk,␣,✔,23,✘,✘,031-5978-4447,✘,✘,서울특별시 강북구 우이동 161-39,✘,9096404521,yvr3_ha6ctgg,✘,369275-50-011746,따위를,I208IEH,✔,✘,✔,✘,✘,형자민,이어,예정된,✘,"가방, 시계, 안경 및 기타 생활용품 도매업",온미곤,1987-02-27,충청남도 천안시 서북구 성환읍 홍경길 102-1 (대홍리),gyeolhonsikida.,✘,✘,␣,✘,␣,␣,열매는,␣,7,카자흐스탄,차장,ANCA01,✘,파키스탄,방용관,길서우,2036년 5월 8일,␣,✘,✘,손자,✘,ameritech.net,␣,✔,✔,✘,✘,✘,✔,✘,✘,✔,✔,갈이후,␣,✘,joeg4y_1_,✘,종인유에,2012,✘,15,✘,␣,5,✘,SEON USEONGCHEOL,✘,✘,2049/1/5,␣,␣,모드 크리에이션 뮌헨,✘,010-2931-9637,✘,2033년 2월 1일,✔,␣,␣,남은,✘
C0005,✘,✔,✘,␣,✘,722-04-40454,discroot.org,bediy1plj5,✘,12,✔,✔,043-3332-8778,✔,✔,경기도 여주시 여양로 210-28 (천송동),✔,9657526910,kx6m4jt928yn,✘,100-264426-742,선생과,IAK1BXV,✘,✘,✘,✘,✘,염민음,또는,␣,✘,화물 취급업,형준병,1971-11-21,경상북도 청송군 진보면 시량리 295-5,gujoga,✔,✘,경기도 연천군 청산면 궁평로87번길 21-2 (궁평리),✘,kth.se,SIM DO-YUN,것이다.,␣,9,튀르키예,CMO,ANCA01,✘,카타르,␣,은영아,2005.6.13,여자,✔,✘,자녀,✘,amazon.com,채현모,✘,✔,✘,✘,✔,✔,✘,✘,✘,✘,␣,우리은행,✘,vwfny16r,✘,␣,2021,✘,6,✔,␣,9,✔,SA GILYEON,✔,✘,␣,2026,061-1491-8742,명인제약,✘,010-5009-0015,✔,2022년 9월 14일,✔,␣,␣,곡창,✘
C0006,✔,✘,✘,␣,✘,␣,kabelmail.de,␣,✘,16,✘,✘,␣,✘,✘,␣,✘,1786779153,buxid_h,✔,616-06764641-71,␣,ITZE1NS,✘,✔,✘,✘,✘,성호유,␣,어리석고,✘,사무 지원 서비스업,␣,1979/3/16,서울특별시 광진구 자양로33길 50 (구의동),keuge,✘,✘,전라남도 보성군 득량면 선소당산길 36-13 (비봉리),✘,laposte.net,TAG HYEONPYO,기름을,␣,10,러시아,과장,ANCA01,✔,싱가포르,␣,제갈대웅,␣,남자,✔,✘,자매,✘,juno.com,임상우,✘,✘,✘,✘,✘,✘,✔,✘,✔,✔,선예훈,␣,✘,vxp2osia,✘,동안,2013,✔,12,✘,23,␣,✘,␣,✘,✘,␣,2016,063-9057-5832,"한국은행 (이곳은 기업, 국책기관, 행정기관의 역할을 겸하고 있음)",✘,010-0725-7089,✔,1999.11.18,✘,충청남도 천안시 동남구 동면 덕성리 133-7,␣,그들에,✘
C0007,✘,✘,✘,␣,✘,877-24-12138,forty4.com,␣,✘,13,✔,✘,␣,✘,✘,대구광역시 북구 대불서길 53-13 (산격동),✘,1026061577,iiu8vuck_,✘,␣,␣,INY6W7L,✘,✘,✔,✘,✘,맹아량,쳐서,␣,✘,"자료 처리, 호스팅 및 관련 서비스업",어분홍,1936/1/21,␣,␣,✔,✘,␣,✔,␣,IN DEULIM,␣,938-668-073803,8,␣,␣,ANCA01,✔,에콰도르,␣,봉헤이든,2034.06.19,␣,✘,✘,조부,✘,pmail.com,진학선,✘,✘,✔,✘,✔,✔,✘,✘,✔,✘,사공혜윤,␣,✘,r0bbq.p,✘,특산종으로,2027,✘,␣,✘,25,␣,✘,␣,✘,✘,1918.5.8,2019,041-6266-4318,더블랙레이블,✔,010-4989-1809,✘,1985.2.26,✔,경상북도 봉화군 물야면 북지길 15-60 (북지리),␣,알몸으로,✘
C0008,✔,✘,✔,국민은행,✘,837-55-87537,howard.edu,d136fxh,✘,26,✘,✔,02-289-8074,✘,✘,␣,✘,1767498696,␣,✘,␣,분동,I67C184,✘,✘,✘,✔,✔,␣,위에,어른들은,✘,건물 및 구축물 해체 공사업,␣,1975/10/23,"경상북도 포항시 북구 법원로8번길 38 (장성동, 대성상사)",saenggineun,✘,✘,␣,✘,empas.com,HWANG SAE-IL,전모,222-354912-99967,␣,레바논,본부장,ANCA01,✘,스리랑카,장효영,구혜을,1989-12-20,␣,✘,✘,배우자,✘,freechal.com,빈네하,✘,✘,✘,✘,✘,✘,✔,✘,✔,✘,금태융,도이체방크,✘,jrks.d7n.t,✘,털,␣,✘,27,✘,␣,2,✔,KIM HANG-A,✔,✔,1933년 11월 14일,2030,055-5704-4108,␣,✔,␣,✔,1903-02-16,✘,전라남도 화순군 춘양면 석정리 573-118,␣,"이지용,",✘
C0009,✔,✘,✘,␣,✔,089-47-11627,blueyonder.co.uk,g9l6og8wl,✔,28,✘,✔,042-1931-0342,✘,✘,충청북도 청주시 청원구 내덕동 592-2,✔,9911431659,zhbpcyj,✘,␣,계속,I8QV43N,✔,✔,✘,✔,✘,␣,염탐하여,갈짚의,✘,내항 운송업,함성률,␣,␣,kki-eodeulm-eul,✘,✘,서울특별시 도봉구 덕릉로59나길 8 (창동),✘,apple.com,␣,␣,384-105-206021,2,중국,␣,ANCA01,✔,몬테네그로,채마호,손사름,2033.09.17,여자,✘,✘,자녀,✔,lycos.co.kr,␣,✔,✘,✔,✔,✔,✘,✘,✘,✘,✘,␣,소시에테제네랄,✘,d-9ugn8lny,✘,잠을,␣,✘,␣,✘,19,␣,✘,EUN HUI-O,✔,✔,2032.10.17,2012,061-6512-3678,우일화학,✘,010-6517-9528,✘,1910년 12월 28일,✔,␣,␣,원료로서의,✘
