image,010,015,017,022,002,014,020,019,008,011,016,005,000,013,003,007,001,006,023,018,004,009,021,024,012
C0000,✘,4,␣,∅,8740000,21,␣,8,✘,17,␣,73.1,␣,7,␣,53.6,"56,340,000",␣,9768407648,12,␣,␣,✘,P57YI1B,✘
C0001,✘,␣,2027,∅,"45,890,000",13,이운정,24,✘,21,6920000,␣,5260000,9,74.3,97.8,33840000,53.2,9208586492,2,60.8,8,✔,P60ETUU,✘
C0002,✔,13,␣,∅,␣,␣,서문강아,17,✘,␣,"1,270,000",62.3,␣,2,87.2,98.3,"27,750,000",32.1,9365675132,␣,42.3,36,✔,P70RN3M,✔
C0003,✘,3,2014,∅,␣,␣,␣,19,✘,6,"6,750,000",49.1,"1,520,000",16,␣,96.8,"15,710,000",1.1,9697827183,␣,24.1,␣,✔,P3YVQU0,✘
C0004,✘,9,2025,∅,␣,12,␣,4,✘,12,␣,4.4,21250000,1,25.0,3.0,"7,820,000",88.0,1581980788,11,␣,16,✔,P66OHB3,✘
C0005,✘,4,␣,∅,"59,430,000",␣,신류은,1,✘,21,73250000,85.2,86580000,␣,␣,73.7,"8,190,000",45.7,9500388862,7,36.5,12,✔,PBX5YZE,✔
C0006,✘,32,␣,∅,␣,27,육란아,5,✘,23,"51,960,000",␣,␣,7,␣,22.7,"27,230,000",58.8,9786515231,10,39.3,␣,✘,PF9H10U,✘
C0007,✘,7,2028,∅,"4,280,000",7,␣,13,✘,31,␣,99.2,␣,27,63.7,␣,"37,240,000",␣,9774136887,9,38.8,31,✘,PU7HOMS,✘
C0008,✘,33,2028,∅,"73,320,000",7,␣,28,✘,35,12480000,79.4,␣,16,94.7,30.3,"5,480,000",55.4,1444468509,␣,7.5,␣,✔,PF7D3U8,✘
C0009,✘,5,2021,∅,"8,390,000",1,␣,25,✘,2,4860000,␣,"3,980,000",31,40.9,78.5,␣,86.5,9694071264,11,16.3,␣,✘,PFQ75N1,✘
C0010,✘,35,2015,∅,␣,14,␣,␣,✘,11,"65,160,000",50.1,"8,550,000",␣,73.1,62.7,"94,480,000",80.3,9999506670,5,3.1,22,✔,PH01MS9,✘
C0011,✘,3,2017,∅,␣,25,감세이디,␣,✔,␣,"1,980,000",4.1,"11,390,000",6,␣,␣,␣,␣,9013141572,␣,␣,13,✔,PRFS3ON,✔
C0012,✘,28,2018,∅,"95,160,000",17,황대상,6,✘,29,␣,21.3,"9,670,000",5,␣,20.0,␣,␣,1303403254,␣,71.4,9,✘,PSZAZ00,✘
C0013,✘,18,2021,∅,"9,810,000",26,␣,9,✘,26,"6,440,000",12.9,"78,890,000",17,77.9,62.6,51250000,9.6,1734065453,8,63.7,␣,✘,PYZ7JJT,✘
C0014,✘,2,␣,∅,␣,13,남송지,21,✔,29,9440000,21.1,"3,950,000",␣,77.0,␣,"34,990,000",70.4,1652320160,9,76.8,24,✔,PDKMJSI,✔
C0015,✔,17,␣,∅,"57,730,000",26,␣,15,✘,2,␣,16.8,"14,780,000",15,45.6,␣,␣,40.7,9611608274,1,␣,30,✔,P9VPXEL,✔
C0016,✘,␣,␣,∅,␣,21,황보세빈,25,✔,35,"11,640,000",0.3,␣,21,65.5,95.1,7990000,75.3,1062910440,8,8.9,␣,✘,P7AZFA1,✘
C0017,✔,␣,2018,∅,44810000,␣,설문지,8,✘,7,8170000,94.9,␣,28,50.2,31.6,␣,73.8,9869381834,␣,76.9,14,✘,PXL288M,✘
C0018,✔,10,␣,∅,"4,330,000",14,␣,18,✘,23,"27,660,000",73.2,25180000,25,␣,55.1,␣,21.0,9859216278,8,26.9,␣,✘,PNQ770Q,✔
C0019,✘,␣,2023,∅,"94,740,000",12,시성룡,28,✘,4,"61,120,000",22.0,"18,670,000",2,1.4,70.6,26410000,16.0,1566797596,2,35.1,␣,✔,PZXBUGM,✔
C0020,✔,12,␣,∅,"8,940,000",31,차오승,11,✘,34,"23,940,000",38.4,"4,690,000",9,␣,␣,"62,410,000",0.0,1142822493,9,83.8,26,✔,PKKXRDF,✔
C0021,✘,22,2013,∅,␣,17,문보영,␣,✘,␣,"6,120,000",␣,"4,240,000",␣,16.3,86.0,␣,23.7,1427514281,␣,␣,␣,✔,PYHE681,✘
C0022,✘,9,␣,∅,"52,660,000",␣,고희환,29,✘,␣,45330000,99.3,52860000,28,76.2,10.6,␣,88.8,9293594081,1,69.5,␣,✔,PLO2ID4,✘
C0023,✘,␣,2022,∅,74160000,22,␣,␣,✔,13,"19,260,000",␣,37710000,␣,45.6,17.7,"7,370,000",␣,1358824188,7,13.8,21,✔,PA4SQSO,✘
C0024,✘,13,2024,∅,␣,33,맹태휘,11,✘,14,"74,410,000",49.2,6480000,7,36.5,94.6,"8,930,000",12.8,1193985006,␣,␣,33,✘,P6V99ZM,✘
C0025,✔,34,2010,∅,␣,31,위화란,25,✘,36,"53,490,000",0.3,␣,15,0.7,48.1,"6,490,000",57.2,1456910685,␣,31.4,␣,✔,P4IN0WA,✘
C0026,✔,22,2020,∅,␣,31,상하련,␣,✘,7,"7,380,000",69.0,"68,380,000",17,86.2,20.3,␣,74.0,1477576906,12,79.1,11,✘,P7G0L87,✘
C0027,✘,23,2017,∅,"71,760,000",3,␣,8,✘,␣,␣,89.3,2890000,7,␣,23.0,63780000,58.9,1588341308,4,84.0,31,✔,PV9XFPF,✘
C0028,✘,17,2025,∅,␣,34,음담연,7,✘,28,43860000,98.2,18590000,␣,78.7,␣,"29,410,000",79.3,1872492699,5,64.3,18,✔,P38Y0XK,✘
C0029,✘,23,2017,∅,␣,11,도경석,12,✘,33,6840000,␣,"89,930,000",20,58.8,33.8,␣,␣,1629620816,9,␣,15,✘,P0VKYJH,✘
C0030,✔,31,␣,∅,86310000,11,사노라,24,✔,␣,"59,560,000",6.6,"6,830,000",4,␣,58.2,"8,570,000",94.9,1788613919,11,55.3,16,✔,P1JSWHG,✘
C0031,✘,␣,2015,∅,"19,980,000",11,천인혜,␣,✔,30,␣,69.7,"5,450,000",32,␣,90.4,"6,490,000",7.2,1182031604,2,15.7,7,✔,PK55PJ0,✔
C0032,✘,7,␣,∅,␣,␣,왕건하,22,✘,29,"4,530,000",␣,␣,␣,98.2,95.0,␣,␣,9933004756,␣,76.2,25,✘,PGRPGUG,✘
C0033,✔,␣,2025,∅,␣,␣,상예림,3,✘,30,33340000,␣,"2,650,000",␣,38.8,51.2,"36,850,000",␣,9253273692,4,␣,13,✔,PPUUSC1,✔
C0034,✘,5,2016,∅,"36,180,000",␣,강노하,8,✘,2,␣,58.3,"6,970,000",␣,52.5,␣,9440000,72.6,1141048264,5,␣,␣,✔,PV0TFG4,✘
C0035,✘,␣,2012,∅,6650000,30,␣,␣,✘,30,␣,␣,"35,310,000",␣,7.0,51.2,"2,170,000",␣,9541335510,2,70.1,␣,✔,PWAZMUS,✔
C0036,✘,27,2025,∅,36880000,35,맹예린,13,✘,␣,␣,␣,65230000,30,96.8,24.1,51120000,␣,9517333726,12,61.4,␣,✘,PLMVYR6,✘
C0037,✔,5,␣,∅,"4,650,000",␣,피야라,21,✘,36,"97,160,000",98.7,"2,730,000",27,66.4,44.4,"46,820,000",53.1,9244870029,12,72.5,20,✘,PGYD6WS,✘
C0038,✘,31,␣,∅,"46,110,000",19,류다예나,15,✔,␣,␣,74.6,␣,␣,13.8,77.9,"91,750,000",74.2,1779341550,7,38.6,33,✘,PPJXQC9,✘
C0039,✔,18,2017,∅,"77,710,000",19,임류인,11,✘,␣,␣,77.0,"7,270,000",29,␣,50.4,"96,590,000",85.6,9057364828,10,0.8,␣,✔,P7KPT42,✔
C0040,✘,2,2025,∅,"7,220,000",23,␣,10,✘,26,␣,␣,"66,520,000",␣,59.7,57.8,"66,770,000",49.5,1676297864,4,␣,␣,✔,P5BZKBQ,✔
D0000,✘,12,2024,∅,"48,440,000",␣,도남지,␣,✘,14,␣,88.1,"92,860,000",30,0.8,41.0,"57,530,000",␣,␣,␣,␣,32,✔,␣,✔
D0001,✘,␣,␣,∅,"6,380,000",15,조라안,22,✔,26,43840000,␣,"8,930,000",32,␣,6.4,"1,860,000",43.3,␣,4,15.6,␣,✘,PFN0HHE,✘
