image,005,000,003,007,001,006,002,004,009,008
D0000,␣,✘,␣,SP00NAC020,✘,✔,2017,17,E8WK0J0,9446226668
D0001,당의산,✘,␣,SP00NAC020,✘,✘,2015,11,ETBMS8F,␣
D0002,␣,✘,4,SP00NAC020,✔,✔,2034,20,␣,1285032121
D0003,편건찬,✘,2,SP00NAC020,✘,✘,2040,9,ENZW8TJ,␣
D0004,␣,✘,5,SP00NAC020,✘,✔,2017,24,ENJW2C3,1804118024
D0005,현승렬,✔,7,SP00NAC020,✔,✔,2037,14,E8WQUBV,9955534919
D0006,␣,✔,8,SP00NAC020,✔,✔,␣,6,␣,1266295163
D0007,여재연,✔,11,SP00NAC020,✘,✔,␣,8,EX9FTXH,9781604380
D0008,고원원,✘,␣,SP00NAC020,✔,✔,2018,14,EAGJE42,1397798705
D0009,␣,✘,␣,SP00NAC020,✘,✘,␣,16,EP0PSLE,␣
D0010,경성운,✔,12,SP00NAC020,✘,✘,2006,30,␣,␣
D0011,라영현,✘,2,SP00NAC020,✔,✔,␣,16,␣,1565997256
D0012,문차령,✘,␣,SP00NAC020,✘,✘,␣,9,E58P4Q7,1068603082
D0013,␣,✘,4,SP00NAC020,✘,✘,2035,12,EMGS33B,1626781233
D0014,명근화,✘,␣,SP00NAC020,✘,✔,2022,9,␣,␣
D0015,표소헌,✘,5,SP00NAC020,✘,✘,2024,2,␣,9077400189
E0000,␣,✘,2,SP00NAC020,✘,✔,2026,11,␣,1106847713
E0001,남장환,✔,␣,SP00NAC020,✘,✔,2022,18,A76N4U7,␣
F0000,␣,✘,3,SP00NAC020,✘,✘,2032,30,AVKNLMS,1727302281
F0001,선효원,✔,␣,SP00NAC020,✘,✔,2022,␣,AE3GDRW,␣
