image,010,015,017,022,002,014,020,019,008,011,016,005,000,013,003,007,001,006,018,004,009,021,012
A0000,미리내승마클럽,교육서비스,␣,␣,최성훈,서비스업,∅,해당 사업장은 프리미엄 프로그램 인기와 신규 고객 유치해서 운영상태 양호,강서연,1101140025715,개업,2025.4.12,민김지,서울특별시 강남구 테헤란로 123,✔,디 올뉴 그랜저,✔,주식회사 케이자동차,24,2025.4.12,␣,␣,2004.03.15
A0001,개인택시,개인택시 운송,␣,␣,배수진,운송업,∅,해당 사업장은 심야 시간대 수요 증가와 플랫폼 연계해서 운영상태 양호,곽광도,1143220032038,사업장이전,2025.1.29,서박연,경기도 성남시 분당구 정자동 456,✔,G803,✔,주식회사 미소자동차,12,2025.1.29,␣,␣,2005.11.28
A0002,매직온,온라인 쇼핑몰,␣,␣,이현우,전자상거래업,∅,해당 사업장은 온라인 마케팅 강화와 신규 상품 출시해서 운영상태 양호,김윤경,1146340035081,사업재개,2025-2-5,지이훈,부산광역시 해운대구 마린시티 1로 789,✔,그랜져HG,✔,(주)더드림카,9,2025-2-5,␣,␣,2006.07.04
A0003,주식회사 진보모피,제품 제조,␣,␣,한지민,제조업,∅,해당 사업장은 해외 시장 진출과 프리미엄 라인 판매 증가해서 운영상태 양호,김하경,1146410000716,사업자 주소 변경,2025.3.18,수최아,대전광역시 서구 둔산로 1011,✔,GV70,✔,(주)한누리모터스,9,2025.3.18,␣,␣,2007.05.10
A0004,(주)엑소후레쉬,식품 제조,␣,␣,박준영,제조업,∅,해당 사업장은 대형 마트 납품 증가와 신제품 개발해서 운영상태 양호,강민우,1152110040944,재발급,2025.1.15,예정진,인천광역시 부평구 부평대로 234,✔,LANDROVER 4.4 SDV8,✔,주식회사 더카프라자,4,2025.1.15,␣,␣,2008.12.24
A0005,남산기업(주),일반 건설,␣,␣,김민지,건설업,∅,해당 사업장은 수주 계약 증가와 건설 경기 회복해서 운영상태 양호,류홍승,1154110025017,사업확장,2025.2.22,지강우,광주광역시 북구 용봉동 345,✔,GV70,✔,주식회사 바른손,25,2025.2.22,␣,␣,2009.08.16
A0006,대라중기,건설기계 수리,␣,␣,서예진,서비스,∅,해당 사업장은 건설 현장 증가와 수리 서비스 수요 증가해서 운영상태 양호,최정희,1301110011691,사업분할,2025-03-09,서윤현,울산광역시 남구 삼산로 678,✔,JEEP 2.4,✔,신화,11,2025-03-09,␣,␣,2010.02.28
A0007,서울금형,금형 제조,␣,␣,유재석,제조업,∅,해당 사업장은 자동차 부품 주문 증가와 신규 고객 확보해서 운영상태 양호,박건영,1342110132243,개업,2025.01.03,하장늘,강원도 춘천시 퇴계로 901,✔,TOYOTA 프리우스,✔,더마니카,19,2025.01.03,␣,␣,2011.09.03
A0008,장미꽂나라,도소매업,␣,␣,고현정,도소매업,∅,해당 사업장은 온라인 판매 채널 확대와 기념일 수요 증가해서 운영상태 양호,김인원,1347110003791,사업장이전,2025.02.11,지송훈,경기도 안산시 단원구 고잔동 1213,✔,K8,✔,해피카,22,2025.02.11,␣,␣,2012.06.21
A0009,무교동낙지,낙지 전문점,␣,␣,정우성,음식점업,∅,해당 사업장은 배달 서비스 확대와 단골 고객 증가해서 운영상태 양호,안광희,1501110025200,사업재개,2025-03-26,수배진,경기도 김포시 통진읍 1415,✔,디 올뉴그랜져,✔,성곡점기아오토큐(주),9,2025-03-26,␣,␣,2013.1.1
A0010,제일특수강,특수강 제조,␣,␣,손예진,제조업,∅,해당 사업장은 조선 및 자동차 산업 회복과 수요 증가해서 운영상태 양호,김미래,1601110091803,사업자 주소 변경,2025.01.30,민권서,전라북도 전주시 완산구 효자동 1617,✔,더 뉴그랜져IG,✔,미미카,3,2025.01.30,␣,␣,2014.10.31
A0011,이원메디텍,의료기기 제조,␣,␣,장동건,제조업,∅,해당 사업장은 해외 수출 증가와 신규 의료기기 출시해서 운영상태 양호,김희정,1717110051399,재발급,2025-02-08,예조나,충청남도 천안시 서북구 성정동 1819,✔,디 올뉴그랜져,✔,사과나무자동차,22,2025-02-08,␣,␣,2015.04.17
A0012,반야정밀,정밀 기계 부품 제조,␣,␣,김태희,제조업,∅,해당 사업장은 반도체 산업 성장과 정밀 부품 수요 증가해서 운영상태 양호,임태범,1717110059666,사업확장,2025.03.15,준임서,경상북도 포항시 남구 대송면 2021,✔,K8,✔,주식회사 예일자동차,5,2025-03-15,␣,␣,2016.08.08
A0013,포엠,의류 판매,␣,␣,이민호,도소매업,∅,해당 사업장은 SNS 마케팅 강화와 신규 디자인 출시해서 운영상태 양호,박성환,1801110308866,사업분할,2025.01.20,서한준,제주특별자치도 제주시 노형동 2223,✔,K8,✔,(주)CTRM,19,2025.01.20,␣,␣,2017.06.12
A0014,신덕계전,"전기, 전자 부품 제조",␣,␣,수지,제조업,∅,해당 사업장은 전력 수요 증가와 신규 사업 수주해서 운영상태 양호,박성환,1801210008548,개업,2025.02.17,지서연,세종특별자치시 조치원읍 2425,✔,디 올뉴그랜져,✔,대한렌트카 후평영업소,25,2025.02.17,␣,␣,2018.01.20
A0015,제민한의원,한의원,␣,␣,송중기,서비스업,∅,해당 사업장은 건강 보험 적용 확대와 환자 증가해서 운영상태 양호,장호용,1812110023536,사업장이전,2025.03.04,예신지,충청북도 청주시 흥덕구 오송읍 2627,✔,디 올뉴그랜져,✔,(유)형통모터스,4,2025.03.04,␣,␣,2019.12.31
A0016,갤러리아과자점,제과점,␣,␣,유아인,음식점업,∅,해당 사업장은 신제품 출시와 선물 수요 증가해서 운영상태 양호,이철희,1901110003141,사업재개,2025.01.07,현고우,전라남도 순천시 해룡면 2829,✔,VOLVO B6 AWD,✔,성원모터스,18,2025.01.07,␣,␣,␣
A0017,프리스타일,의류 판매,␣,␣,김혜수,도소매업,∅,해당 사업장은 온라인 판매 채널 확대와 신규 고객 유치해서 운영상태 양호,윤재석,1942110221177,사업자 주소 변경,2025-02-28,수문현,경상남도 창원시 성산구 상남동 3031,✔,LANDROVER2,✔,김도현모터스,20,2025-02-28,␣,␣,2021.10.19
A0018,D.Y 홀딩스,투자 및 경영 컨설팅,␣,␣,차승원,서비스업,∅,해당 사업장은 투자 포트폴리오 다각화와 투자 수익 증가해서 운영상태 양호,강석환,2011110009343,재발급,2025.03.21,민이준,강원도 강릉시 경포동 3233,✔,PORSCHE3,✔,자동차 친구,6,2025.03.21,␣,␣,2022.05.09
A0019,하나웰빙하우스,건강 관련 서비스,␣,␣,공효진,서비스업,∅,해당 사업장은 건강 검진 프로그램 인기와 신규 고객 유치해서 운영상태 양호,김인수,2013110022367,사업확장,2025.01.11,지김우,경기도 용인시 수지구 3435,✔,G802,✔,오토마켓 주식회사,21,2025.01.11,␣,␣,2023.02.14
A0020,피앤지,화장품 제조,␣,␣,조인성,제조업,∅,해당 사업장은 프리미엄 화장품 판매 증가와 해외 시장 확대해서 운영상태 양호,김동일,2045110000580,사업분할,2025.02.02,서박준,경상북도 김천시 지좌동 3637,✔,AUDI 35 TDI,✔,한국타이어　태백점,16,2025.02.02,␣,␣,2024.07.27
A0021,구은희 화장품,화장품 제조,␣,␣,전지현,제조업,∅,해당 사업장은 온라인 판매 채널 확대와 신제품 출시해서 운영상태 양호,장민제,2045110000902,개업,2025.03.28,수최현,전라북도 익산시 모현동 3839,✔,기아 더 뉴모닝 가솔린,✔,계룡상사,6,2025.03.28,␣,␣,2004.03.07
A0022,종합란제리,도소매업,␣,␣,원빈,도소매업,∅,해당 사업장은 신규 디자인 출시와 온라인 판매 증가해서 운영상태 양호,김경태,2046110036814,사업장이전,2025.01.24,민정지,충청남도 아산시 배방읍 4041,✔,BMW X3 20d xDrive,✔,차왕모터스,19,2025.01.24,␣,␣,2005.09.11
A0023,현대슈퍼,슈퍼마켓,␣,␣,이병헌,도소매업,∅,해당 사업장은 신선 식품 판매 증가와 고객 유치해서 운영상태 양호,김희석,2056110002434,사업재개,2025.02.19,예강진,경기도 평택시 용이동 4243,✔,K9,✔,주식회사 세용스토리,13,2025.02.19,␣,␣,2006.11.22
A0024,김서영 마산 아구찜 해물탕,음식점업,␣,␣,송강호,음식점업,∅,해당 사업장은 배달 서비스 확대와 단골 고객 증가해서 운영상태 양호,진준호,2062110018256,사업자 주소 변경,2025-03-12,지윤훈,경상남도 진주시 판문동 4445,✔,더 뉴카니발,✔,주식회사 천일모터스,16,2025-03-12,␣,␣,2007.01.30
A0025,이보영의 토킹클럽 송촌학원,교육 서비스업,␣,␣,최민식,교육 서비스업,∅,해당 사업장은 수강생 증가와 신규 프로그램 개발해서 운영상태 양호,박상준,2146140003120,재발급,2025.01.01,수장아,전라남도 여수시 소호동 4647,✔,아이오닉6,✔,진솔모터스,3,2025.01.01,␣,␣,2008.07.15
A0026,김환태의원,의원,␣,␣,한석규,의료업,∅,해당 사업장은 환자 증가와 신규 의료 서비스 도입해서 운영상태 양호,김학재,2149140002689,사업확장,2025.02.06,민송서,충청북도 제천시 봉양읍 4849,✔,K7,✔,칠성모터스,23,2025.02.06,␣,␣,2009.03.01
A0027,현대상회,백화점,␣,␣,심은하,도소매업,∅,해당 사업장은 신규 상품 입점과 고객 유치해서 운영상태 양호,권혁정,5080519634,사업분할,2025-03-07,예배나,경상북도 안동시 풍천면 5051,✔,신형 쏘나타 하이브리드,✔,리더스모터스,9,2025-03-07,␣,␣,2010.08.25
A0028,사임당화장품부천지사,화장품 판매,␣,␣,안성기,도소매업,∅,해당 사업장은 신제품 출시와 고객 맞춤형 서비스 제공해서 운영상태 양호,함천식,1068167777,사업자 주소 변경,2025-01-18,준권서,강원도 원주시 단구동 5253,✔,봉고Ⅲ,✔,라인모터스,15,2025-01-18,␣,␣,2011.10.13
A0029,승인개별중기,개별 건설업,␣,␣,문소리,건설업,∅,해당 사업장은 수주 계약 증가와 건설 경기 회복해서 운영상태 양호,장태혁,3051023964,재발급,2025.02.14,서조준,경기도 이천시 증포동 5455,✔,FORD 2,✔,창원중고차 카옥션마트,24,2025.02.14,␣,␣,2012.04.26
C0000,만발,␣,␣,PWTQ2XR,형이렌,영화 및 비디오물 상영업,∅,거쳐,호의정,607-89-07650,␣,␣,␣,␣,✘,토레스 아반떼,✘,"뜻으로,",4,1971.06.21,"전북특별자치도 고창군 고창읍 보릿골로 126-6 (읍내리, 숯불갈비)",1226393574,1926.2.26
C0001,해방촌닭,기타 무점포 소매업,당류와 산소의,PUU9VJ2,백은초,기타 전문 서비스업,∅,곤충의,권대교,628-72-43725,원의 비서,1953-11-17,승영석,␣,✘,캐스퍼 CR-V,✘,자손이나,␣,1947.08.22,충청북도 충주시 앙성면 모점리 226-4,9857060800,1994/11/11
C0002,버터핑거팬케익스(강남역점),주거용 건물 건설업,헤적01,PY3BN84,반준아,␣,∅,대하여 강력한,빈셉,338-51-68313,마지막 황제(180,1988-03-17,␣,전북특별자치도 장수군 장계면 장계신기길 51 (송천리),✔,A3 팰리세이드,✘,노동조합,␣,1916.6.10,경상남도 진주시 판문동 231-4,1723453619,2046.4.6
