image,015,002,014,008,011,005,000,003,007,001,013,006,004,009,012,010
A0000,␣,T1Z2X7V,␣,12,이서준,2497cc,옥재재,12,01,1981.11.24.,∅,2025,디올뉴싼타페,옥재재,✔,✔
A0001,␣,T1B5Q9R,␣,27,김지안,1599cc,왕진나,24,3,1981.12.11,∅,2025,현대자동차베르나장애용4도어가솔린,왕진나,✔,✔
A0002,␣,T1H8J3K,␣,05,박서연,2497cc,민솔나,36,05,1981.12.27,∅,2025,쏘렌토,민솔나,✔,✔
A0003,␣,T1Y4C6P,␣,18,최예나,2477cc,명라채,48,7,1982.1.3,∅,2025,봉고,명라채,✔,✔
A0004,␣,T1D7G1N,␣,11,정우진,3470cc,임윤라,60,9,1982.1.19,∅,2025,카니발,임윤라,✔,✔
A0005,␣,T1F9L5M,␣,24,강수아,전기차,진도준,12,11,1982.02.11,∅,2025,EV5,진도준,✔,✔
A0006,␣,T1S2W8X,␣,08,윤지훈,2497cc,변시빛,24,02,1982.03.01,∅,2025,G80,변시빛,✔,✔
A0007,␣,T1R6T4Y,␣,21,장하윤,2199cc,변영서,36,04,1982.03.17,∅,2025,스타리아투어러,변영서,✔,✔
A0008,␣,T1V3B7Z,␣,29,임시우,2497cc,임현빛,48,06,1982.04.04,∅,2025,디 올 뉴 싼타페,임현빛,✔,✔
A0009,␣,T1N1P2Q,␣,15,한아린,2497cc,지수하,60,08,1982.04.20,∅,2025,디 올 뉴 싼타페,지수하,✔,✔
A0010,␣,T1K5J8L,␣,03,서준서,1598cc,하남하,12,10,1989.11.22,∅,2025,더뉴아반떼 CN7,하남하,✔,✔
A0011,␣,T1M9H4C,␣,30,신지우,1598cc,현슬서,24,12,1989.02.07,∅,2025,더뉴 아반떼 CN7,현슬서,✔,✔
A0012,␣,T1X7D2G,␣,6,권도윤,2497cc,탁아성,36,1,1989.02.23,∅,2025,포터Ⅱ,탁아성,✔,✔
A0013,␣,T1Q3F6B,␣,19,조예진,2497cc,남궁진,48,03,1989.03.12,∅,2025,GV80,남궁진,✔,✔
A0014,␣,T1W5R1S,␣,26,문우현,2497cc,지슬호,60,05,1989.03.28,∅,2025,GV70,지슬호,✔,✔
A0015,␣,T1E8Y9T,␣,08,송수빈,3778cc,민진빛,12,07,1989.04.14,∅,2025,디올뉴 팰리세이드 7인승,민진빛,✔,✔
A0016,␣,T1U2I4P,␣,22,이지민,2497cc,연솔하,24,09,1989.05.01,∅,2025,디올뉴싼타페,연솔하,✔,✔
A0017,␣,T1O6A3V,␣,07,김하늘,2497cc,안솔윤,36,11,1989.05.17,∅,2025,포터Ⅱ,안솔윤,✔,✔
A0018,␣,T1P1S7N,␣,25,박선우,2497cc,류영솔,48,02,1989.06.07,∅,2025,디올 뉴 싼타페,류영솔,✔,✔
A0019,␣,T1L4K2H,␣,08,최서아,1999cc,백시우,60,04,1989.06.23,∅,2025,쏘나타 디 엣지 HEV,백시우,✔,✔
A0020,␣,T1G9D5J,␣,14,정현우,1580cc,장우영,12,06,1989.07.09,∅,2025,THE 니로,장우영,✔,✔
A0021,␣,T1C3B8F,␣,28,강민지,1598cc,진시채,24,08,1989.07.25,∅,2025,The new 스포티지,진시채,✔,✔
A0022,␣,T1Z7X1W,␣,15,윤도윤,2393cc,천나연,36,10,1989.08.11,∅,2025,디올뉴 그랜져 HEV,천나연,✔,✔
A0023,␣,T1V5N4R,␣,11,배하늘,2497cc,하은라,48,12,1989.08.27,∅,2025,포터Ⅱ,하은라,✔,✔
A0024,␣,T1Y2M6Q,␣,23,송지훈,3778cc,채채서,60,01,1989.09.03,∅,2025,디올뉴 팰리세이드 7인승,채채서,✔,✔
A0025,␣,T1H6J9L,␣,31,김도윤,998cc,지빛별,12,03,1989.09.19,∅,2025,레이,지빛별,✔,✔
A0026,␣,T1B4F2S,␣,12,이수아,(전기차),안초유,24,5,1989.10.05,∅,2025,EV6,안초유,✔,✔
A0027,␣,T1R8T5D,␣,29,박시우,2497cc,문서라,36,7,1989.10.21,∅,2025,G80,문서라,✔,✔
A0028,␣,T1A1W3P,␣,05,최수연,(전기차),명우하,48,09,1989.11.07,∅,2025,EV3,명우하,✔,✔
A0029,␣,T1S9C7K,␣,18,정우현,2497cc,차예현,60,11,1989.11.23,∅,2025,GV70,차예현,✔,✔
C0000,SI8493S,7W9OSF,9690166512,30,성예함,␣,서문세비,35,5,2023/11/26,∅,2025,E 클래스 시빅,박민들레,✔,✘
D0000,IND181T,XNSXKY,1424673797,␣,소평강,␣,염선률,29,7,␣,∅,2001,i30 이쿼녹스,전의신,✔,✔
D0001,IB6EKO1,3WH6ND,1624285285,29,류소니,8918cc,문규안,7,9,2008년 6월 6일,∅,2034,포르쉐 A4,␣,✔,✔
D0002,␣,␣,␣,25,␣,9107cc,신감찬,29,10,␣,∅,␣,스파크 말리부,견다해,✔,✘
D0003,␣,N3GQO9,9735210467,9,모비은,6470cc,사공광윤,29,9,2011년 5월 6일,∅,2020,도요타 베뉴,함권율,✘,✘
D0004,I4P7WMV,K10XOS,1323111704,7,피수안,7936cc,권형정,␣,10,␣,∅,␣,␣,␣,✔,✔
D0005,␣,5RYGW8,1100371000,9,윤이샘,␣,채참이,6,␣,␣,∅,␣,X3 캐스퍼,신세상,✘,✔
D0006,␣,SF3LRL,␣,␣,전유매,␣,최래언,32,11,2030/9/23,∅,2012,GLC Q3,엄재평,✔,✔
D0007,I9OTUT8,6YESA8,9056695743,9,␣,␣,나천학,18,2,1957년 3월 24일,∅,2037,␣,차나호,✘,✔
D0008,I1GQWZL,F02YHV,1181604312,␣,설가율,3249cc,상춘희,35,5,1970.3.10,∅,␣,␣,선우령,✔,✔
D0009,IJHVG5S,␣,9351778846,11,박혜경,5835cc,방지음,29,4,1962-05-20,∅,2005,아우디 C 클래스,은두찬,✘,✘
D0010,IITTUG6,7RHNUJ,␣,13,기휘주,8315cc,마올리버,4,2,1979년 3월 27일,∅,2014,␣,황유나리,✔,✘
D0011,IIBWXSK,5THF5S,␣,4,인동미,1740cc,임고은빛,36,6,1906-07-15,∅,2003,무쏘 G90,␣,✔,✘
D0012,IVPS8LP,␣,1799359505,19,원순하,3312cc,␣,36,11,1986-05-29,∅,2033,아베오 타호,봉준건,✔,✔
D0013,I9E13LR,5YEX26,␣,23,␣,531cc,피나림,3,2,␣,∅,2040,GV70 임팔라,제다화,✔,✔
D0014,ITMY100,AEHQQX,1657119157,␣,인혜름,4765cc,노애솔,␣,12,2027.05.13,∅,␣,A 클래스 GLE,이의혁,✘,✘
D0015,IS8ANUJ,6FUH6E,␣,15,길노을,6961cc,␣,␣,␣,1945.9.11,∅,2007,스타리아쉐보레 QM6,사공은연,✔,✔
D0016,I144OI9,␣,9374867354,31,국솔미,511cc,기배진,35,2,1939.02.22,∅,␣,Q3 파일럿,염리주,✔,✔
D0017,IHIXM1N,3B0CE7,1018336700,29,␣,1863cc,␣,29,12,1984/9/15,∅,2037,코롤라 SM7,␣,✘,✘
E0000,␣,␣,␣,30,견기용,␣,사공담아,␣,4,2042년 1월 25일,∅,2010,QM3 S 클래스,갈애솔,✘,✘
E0001,␣,410AOW,␣,␣,최용야,9041cc,강비,29,3,1904/6/10,∅,␣,␣,경산해,✔,✘
E0002,IPQ3RFS,G90WNE,9486875012,25,금예성,4286cc,황보다위,20,4,1941/9/22,∅,2039,Q3 이쿼녹스,오자헌,✔,✘
F0000,IG2BQQ1,␣,␣,26,␣,8323cc,␣,␣,␣,2023-02-27,∅,␣,␣,봉이제,✔,✘
F0001,I8BW5W1,␣,␣,11,음채련,␣,원연중,2,10,1933.07.27,∅,2009,SM3 GV60,서문상욱,✘,✘
