image,015,017,022,033,002,041,032,040,036,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
A0000,김민준,␣,✘,✘,␣,␣,✔,␣,코나,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD345678,"36,670,000","14,668,000",␣,␣,✘,␣,김창옥,␣,␣,36,T1K68U4,✘,✘,␣,✔,T1C95JM,✘,✔,␣,9103291531,✘,␣,01012348697,␣,이시우네,␣,1992-05-12,✘
A0001,이서연,␣,✘,✔,␣,␣,✘,␣,디 올 뉴 그랜저,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD765432,"53,320,000","21,328,000",␣,␣,✘,␣,␣,␣,␣,36,T1KDI0D,✘,✔,␣,✘,␣,✘,✔,␣,9092815740,✘,␣,␣,␣,명문건축,␣,1987-11-24,✘
A0002,박도현,␣,✘,✘,␣,␣,✔,␣,K8,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD234567,"43,299,752","17,319,901",␣,␣,✘,␣,␣,␣,␣,36,T1JVRHX,✘,✘,␣,✔,␣,✘,✔,␣,9583760235,✘,␣,␣,␣,은광전기조명,␣,2001.03.08,✘
A0003,최지우,␣,✘,✔,␣,␣,✘,␣,더뉴카니발,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD876543,"54,414,750","21,765,900",␣,␣,✘,␣,␣,␣,␣,36,T1G0JTU,✘,✔,␣,✘,␣,✘,✔,␣,9483300074,✘,␣,␣,␣,청도체육관,␣,1990-09-10,✘
A0004,정우진,␣,✘,✘,␣,␣,✔,␣,G80,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD123456,"71,350,000","28,540,000",␣,␣,✘,␣,␣,␣,␣,36,T1IL27L,✘,✘,␣,✔,␣,✘,✔,␣,9387398583,✘,␣,␣,␣,계명피아노교습소,␣,1998-05-22,✘
A0005,강수아,␣,✘,✔,␣,1300만원,✘,␣,싼타페,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD543210,"49,780,000","19,912,000",␣,␣,✘,␣,␣,␣,␣,36,T1FLDC9,✘,✔,␣,✘,␣,✘,✔,␣,9192606431,✘,␣,␣,␣,(주)네트인정보기술,␣,1984-11-03,✘
A0006,윤지훈,␣,✘,✘,␣,"1,400만",✔,␣,G90,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD987654,"122,033,134","48,813,254",␣,␣,✘,␣,␣,␣,␣,36,T1FX0HD,✘,✘,␣,✔,␣,✘,✔,␣,9593319835,✘,␣,␣,␣,주식회사 더스쿠프,␣,1999.1.18,✘
A0007,장하윤,␣,✘,✔,␣,"1,500만",✘,␣,팰리세이드,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD321098,"54,580,000","21,832,000",␣,␣,✘,␣,␣,␣,␣,36,T1KU2GT,✘,✔,␣,✘,␣,✘,✔,␣,9093015180,✘,␣,␣,␣,캐리어티에스(주),␣,1994.6.29,✘
A0008,임시우,␣,✘,✘,␣,"1,600만",✔,␣,쏘나타,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD654321,"36,620,000","14,648,000",␣,␣,✘,␣,␣,␣,␣,36,T1M3637,✘,✘,␣,✔,␣,✘,✔,␣,9493404934,✘,␣,␣,␣,에오스,␣,1996.4.12,✘
A0009,한아린,␣,✘,✔,␣,"1,700만",✘,␣,셀토스,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD765432,"28,450,000","11,380,000",␣,␣,✘,␣,␣,␣,␣,36,T1LWXS9,✘,✔,␣,✘,␣,✘,✔,␣,9893350008,✘,␣,␣,␣,(주)두레원미래,␣,1988.8.5,✘
A0010,서준서,␣,✘,✘,␣,␣,✔,␣,팰리세이드,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD109876,"62,030,000","24,812,000",␣,␣,✘,␣,␣,␣,␣,36,T1I0TAE,✘,✘,␣,✔,␣,✘,✔,␣,9500198375,✘,␣,␣,␣,NONAME,␣,1993-07-15,✘
A0011,신지우,␣,✘,✔,␣,␣,✘,␣,쏘렌토,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD432109,"48,751,441","19,500,576",␣,␣,✘,␣,␣,␣,␣,36,T1GBIKF,✘,✔,␣,✘,␣,✘,✔,␣,9393440603,✘,␣,␣,␣,(주)디엠산업,␣,1986-12-24,✘
