image,033,035,034,002,032,030,036,029,028,005,000,003,025,026,001,031,027,023,038,039,004,024,100,102,037,101
C0000,✘,✔,✔,✔,✘,␣,✔,✘,사치온,✘,✔,✘,23,남강운,✘,✔,✘,2023,␣,✘,✘,␣,SP00OAE025,SFVE3F6,✘,1529930708
C0001,✘,✔,✘,✘,✘,명은섭,✘,✘,어인아,✘,✘,✘,5,주은하수,✘,✔,✘,␣,␣,✘,✔,3,SP00OAE025,SGPR4IS,✘,1942408863
C0002,✘,✘,✘,✘,✔,장제영,✘,✔,목혜향,✘,✔,✘,5,반한서,✔,✔,✘,2022,서문노하,✘,✘,8,SP00OAE025,S21RM1C,✘,1611029772
C0003,✔,✔,✘,✘,✘,석미숙,✘,✘,손리즈,✘,✔,✘,16,가하균,✔,✘,✔,2023,함보승,✔,✔,7,SP00OAE025,SQTZKOI,✘,1534445196
C0004,✘,✘,✘,✔,✘,선우천명,✘,✔,␣,✔,✔,✘,␣,␣,✔,✘,✘,2023,␣,✔,✔,8,SP00OAE025,SL9HGOT,✘,9000975661
C0005,✔,✘,✘,✘,✘,이안토니,✘,✔,␣,✔,✘,✘,29,␣,✘,✘,✔,␣,송리노,✘,✔,2,SP00OAE025,SNWGE36,✘,1460412883
D0000,✘,✔,✘,✔,✔,노태라,✘,✘,␣,✔,✘,✔,24,손도을,✔,✘,✔,2022,염준제,✘,✘,8,SP00OAE025,␣,✘,␣
D0001,✘,✘,✔,✘,✔,남궁우현,✔,✘,류민빈,✘,✘,✘,26,␣,✔,✔,✘,2008,태레미,✘,✘,6,SP00OAE025,HILPE3G,✘,9223235022
D0002,✔,✔,✔,✘,✔,반애린,✘,✘,팽순희,✔,✔,✘,26,␣,✘,✘,✘,2029,태가봄,✘,✔,12,SP00OAE025,HHA7V9R,✔,␣
D0003,✔,✘,✔,✔,✘,␣,✘,✘,␣,✘,✘,✘,␣,인루벤,✔,✔,✔,␣,감지화,✔,✘,3,SP00OAE025,HM5KT6B,✔,9901477343
E0000,✔,✔,✔,✔,✘,형호명,✔,✔,차영율,✔,✘,✔,22,김채린,✘,✔,✔,2033,반병하,✘,✔,6,SP00OAE025,UO0N8LR,✘,␣
