image,015,017,022,033,051,002,041,032,056,040,050,036,043,019,008,059,052,016,013,026,027,055,006,023,038,039,018,042,009,021,024,045,058,044,037,035,057,049,034,053,054,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010,060
A0000,7.2,␣,␣,이백삼십오만,␣,디 올뉴 그랜저,✘,✘,나보람,✔,✘,✔,2025,␣,삼천사백팔십만,␣,␣,24,␣,␣,10.2,␣,이천삼백오십만,␣,✘,✘,␣,␣,"34,800,000",␣,␣,15,∅,5,✘,✔,✔,✔,"2,350,000",␣,␣,␣,␣,✔,✘,김민준,"23,500,000",12 가 3456,현대,2023,"23,500,000",␣,␣,✔,✔,✘,ABC123XYZ7890123,␣,␣,이천삼백오십만,␣
A0001,12.8,␣,␣,삼백십만,␣,G80,✘,✘,␣,✔,✘,✘,2025,␣,사천사백오십만,␣,␣,12,␣,␣,15.8,␣,삼천백만,␣,✘,✘,␣,␣,"44,500,000",␣,␣,10,∅,02,✔,✔,✘,✔,"3,100,000",␣,␣,␣,␣,✘,✘,이서연,"31,000,000",345 나 7890,제네시스,2021,"31,000,000",␣,␣,✔,✔,✘,DEF456UVW0987654,␣,␣,삼천백만,␣
A0002,5.1,␣,␣,이백칠십일만,␣,그랜져HG,✘,✘,차은우,✔,✘,✘,2025,␣,천구백만,␣,␣,36,␣,␣,8.1,␣,천구백만,␣,✔,✘,␣,␣,"10,900,000",␣,␣,15,∅,01,✘,✔,✔,✔,"207,100",␣,␣,␣,␣,✘,✘,박도현,"10,900,000",67가 1234,현대,2015,"10,900,000",␣,␣,✔,✔,✘,GHI789RST2345678,␣,␣,천구백만,␣
A0003,15.5,␣,␣,천칠백만,␣,GV70,✘,✘,강다니엘,✔,✘,✔,2025,␣,육천구십만,␣,␣,24,␣,␣,18.5,␣,삼천사백만,␣,✘,✘,␣,␣,60900000,␣,␣,01,∅,09,✘,✔,✔,✔,17000000,␣,␣,␣,␣,✘,✘,최지우,34000000,890다 5678,제네시스,2023,"34,000,000",␣,␣,✔,✔,✘,JKL012OPQ3456789,␣,␣,삼천사백만,␣
A0004,9.9,␣,␣,사백만,␣,LANDROVER 4.4 SDV8,✘,✘,손나은,✔,✘,✘,2025,␣,사천일백만,␣,␣,12,␣,␣,12.9,␣,사천만,␣,✘,✘,␣,␣,41000000,␣,␣,15,∅,11,✔,✔,✔,✔,4000000,␣,␣,␣,␣,✘,✘,정현우,40000000,123라 9012,LANDROVER,2016,40000000,␣,␣,✔,✔,✘,MNO345LMN5678901,␣,␣,사천만,␣
A0005,3.8,␣,␣,이백사만,␣,GV70,✘,✘,␣,✔,✘,✘,2025,␣,오천칠백만,␣,␣,36,␣,␣,6.8,␣,천칠백만,␣,✔,✘,␣,␣,"57,000,000",␣,␣,5,∅,4,✘,✔,✘,✔,"2,040,000",␣,␣,␣,␣,✘,✘,윤수아,"17,000,000",45나 3456,제네시스,2024,"17,000,000",␣,␣,✔,✔,✔,PQR678EFG7890123,␣,␣,천칠백만,␣
A0006,17.1,␣,␣,이백오십만,␣,JEEP 2.4,✘,✘,␣,✔,✘,✔,2025,␣,이천오백만,␣,␣,24,␣,␣,20.1,␣,이천오십만,␣,✘,✘,␣,␣,"25,000,000",␣,␣,1,∅,3,✘,✔,✘,✔,"2,050,000",␣,␣,␣,␣,✘,✘,장우진,"20,500,000",678마 7890,JEEP,2021,"20,500,000",␣,␣,✔,✔,✘,STU901HIJ9012345,␣,␣,이천오십만,␣
A0007,␣,␣,␣,이백육십칠만,␣,프리우스,✘,✘,김선호,✔,✘,✘,2025,␣,천오백구십구만,␣,␣,␣,␣,␣,9.4,␣,천오백구십만,␣,✘,✘,6.4,␣,"15,990,000",␣,␣,20,∅,10,✔,✔,✔,✔,"2,670,000",␣,␣,␣,12,✘,✘,송하윤,"15,900,000",901 거 1234,TOYOTA,2017,"15,900,000",␣,␣,✔,✔,✘,VWX234KLM1234567,␣,␣,천오백구십만,␣
A0008,11.3,␣,␣,팔십만팔천육백구십육,␣,K8,✘,✘,박보검,✔,✘,✘,2025,␣,삼천팔백구십만,␣,␣,36,␣,␣,14.3,␣,일천팔백육십만,␣,✔,✘,␣,␣,"38,900,000",␣,␣,08,∅,07,✘,✔,✔,✔,"808,696",␣,␣,␣,␣,✘,✘,강지훈,"18,600,000",1234 너 5678,기아,2024,"18,600,000",␣,␣,✔,✔,✘,YZA567NOP3456789,␣,일천팔백육십만,일천팔백육십만,␣
A0009,4.7,␣,␣,구십일만삼천사십삼원,␣,디 올뉴그랜져,✘,✘,배수지,✔,✘,✔,2025,␣,사천삼백만,␣,␣,24,␣,␣,7.7,␣,이천백만,␣,✘,✘,␣,␣,"43,000,000",␣,␣,12,∅,01,✘,✔,✔,✔,"913,043",␣,␣,␣,␣,✘,✘,한서준,"21,000,000",56 다 9012,현대,2023,"21,000,000",␣,␣,✔,✔,✘,BCD890QRS5678901,␣,␣,이천백만,␣
A0010,14.9,␣,␣,␣,␣,더 뉴그랜져IG,✘,✘,류준열,✔,✘,✘,2025,␣,삼천육백삼십만,␣,␣,12,␣,␣,17.9,␣,천 이백만,␣,✘,✘,␣,␣,"36,300,000",␣,␣,10,∅,5,✔,✔,✔,✔,␣,␣,␣,␣,␣,✘,✘,임준서,"12,000,000",789라 3456,현대,2022,"12,000,000",␣,␣,✔,✔,✘,EFG123TUV7890123,␣,␣,천 이백만,␣
A0011,8.6,␣,␣,백이십칠만칠천칠백,␣,더 올뉴그랜져,✘,✘,정소민,✔,✘,✘,2025,␣,사천사백구십만,␣,␣,36,␣,␣,11.6,␣,이천삼백만,␣,✔,✘,␣,␣,"44,900,000",␣,␣,25,∅,2,✘,✔,✔,✔,"1,277,778",␣,␣,␣,␣,✔,✔,서예진,"23,000,000",012마 7890,현대,2024,"23,000,000",␣,␣,✔,✔,✘,HIJ456WXY9012345,␣,␣,이천삼백만,␣
A0012,16.2,␣,␣,백오십만,␣,K8,✘,✘,␣,✔,✘,✘,2025,␣,삼천팔백칠십만,␣,␣,24,␣,␣,19.2,␣,천팔백만,␣,✔,✘,␣,␣,3870000,␣,␣,18,∅,8,✘,✔,✘,✔,1500000,␣,변우석,␣,␣,✘,✘,신동욱,18 000 000,234거 1234,기아,2024,18 000 000,␣,␣,✘,✔,✘,KLM789ABC1234567,␣,␣,천팔백만,␣
A0013,5.9,␣,␣,백이십삼만육천오백육십,␣,K8,✘,✘,김고은,✔,✘,✘,2025,␣,삼천구백오십만,␣,␣,12,␣,␣,8.9,␣,이천삼백만,␣,✘,✘,␣,␣,"39,500,000",␣,␣,3,∅,12,✔,✔,✔,✔,"1,236,560",␣,␣,␣,␣,✘,✘,권보람,"23,000,000",567너 5678,기아,2025,"23,000,000",␣,␣,✔,✔,✘,NOP012DEF3456789,␣,␣,이천삼백만,␣
A0014,10.1,␣,␣,이백오십만,␣,디 올뉴그랜져,✘,✘,남주혁,✔,✘,✘,2025,␣,사천만,␣,␣,36,␣,␣,13.1,␣,이천만,␣,✔,✔,␣,␣,"40,000,000",␣,␣,15,∅,6,✘,✔,✔,✔,"2,500,000",␣,␣,␣,␣,✘,✘,조현우,"20,000,000",890다 9012,현대,2024,"20,000,000",␣,␣,✔,✔,✘,QRS345GHI5678901,␣,␣,이천만,␣
A0015,13.7,␣,␣,백십오만,␣,디 올뉴그랜져,✘,✘,아이린,✔,✘,✘,2025,␣,사천육백팔십만,␣,␣,24,␣,␣,16.7,␣,이천삼백만,␣,✘,✔,␣,␣,"46,800,000",␣,␣,20,∅,8,✘,✘,✔,✔,"1,150,000",␣,␣,␣,␣,✔,✔,(주)미래솔루션,"23,000,000",123 라 3456,현대,2024,"23,000,000",␣,␣,✔,✔,✘,TUV678JKL7890123,␣,␣,이천삼백만,␣
