image,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,068,011,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,034,053,054,030,046,005,000,031,048,066,004,012,027
C0000,✘,✔,✘,✘,감희설,␣,1966년 7월 8일,✔,✘,␣,✔,✘,BAN SONG-YEON,✘,✘,␣,CFO,84.2%,✘,✘,✔,음경택,HH3BF8J,✘,✔,✔,✘,✘,왕동수,21,✘,✘,✔,2016,✔,과테말라,사실이나,1,되는,2043년 11월 25일,SEO MUNHYELIN,0.5%,민상비,1038216389,✔,✘,16.4%,214157,1982.11.16,노르웨이,✘,✘,␣,77.1%,␣,레바논,굵은,명성리,SON HONGCHAN,✔,결정된다는 이론이다,✘,✔,✘,DO JE-YUL,∅,✘,✘,✔
C0001,✘,✔,✔,✔,태오른,␣,1980/11/23,✘,✘,소리들과,✔,✘,JWA SIN-YU,✘,✘,싱가포르,차장,15.2%,✔,✔,✔,␣,HBEN92H,✔,✘,✘,✘,✔,␣,␣,✔,✘,✘,␣,✘,인도네시아,␣,7,일.,␣,BAG GWANGLOG,65.8%,␣,1879345630,✘,✔,8.9%,아래네,2034-07-07,␣,✘,✘,2036.8.3,69.2%,␣,아랍에미리트,뒤엎다4의,부현아,CHA EUN-UG,✔,있는,✘,✘,✘,I SEOHEON,∅,✘,✘,✘
C0002,✘,✔,✘,✘,성은균,진집을,␣,✔,✘,살펴서,✘,✘,SEON IHYEOG,✘,✔,파라과이,전무,97.8%,✘,✘,✘,␣,HUET0KT,✔,✘,✔,✘,✘,곽영제,␣,✘,✔,✘,␣,✘,과테말라,␣,9,놀리는,␣,YEOM JUN-WI,19.8%,제갈선한,9335244118,✔,✔,56.3%,이,1906.11.15,캄보디아,✘,✔,1953/11/30,74.8%,␣,␣,␣,사공찬민,␣,✔,하다,✔,✘,✔,GYEONG GILAM,∅,✔,✘,✘
C0003,✔,✘,✘,✘,␣,귀족의,␣,✔,✘,"증권 시장에서,",✘,✔,BAEG JUN-YEOL,✘,✘,슬로베니아,연구원,97.4%,✔,✘,✔,설의,HRD670W,✔,✔,✘,✘,✘,␣,19,✔,✘,✘,␣,✘,튀르키예,␣,10,그,1915.5.2,YUN GEONBEOM,27.8%,간새론,9684711568,✘,✘,37.9%,중국의,1934.5.14,이란,✔,✔,1977.2.4,␣,차건찬,이스라엘,내층부. 전자,␣,MOG HYEONPYO,✔,생사를,✘,✘,✘,PAENG JEJUNG,∅,✔,✘,✔
C0004,✘,✔,✘,✘,최시강,독일,1920년 2월 11일,✔,✘,주로 얼굴이나,✔,✘,SON DUSEON,✘,✘,프랑스,회장,15.8%,✘,✘,✘,김양재,HRSW7NS,✘,✔,✘,✘,✘,추희미,30,✘,✘,✘,2012,✘,요르단,8월을,5,커다란,1995/2/4,EUM YUHAN,␣,음슬유,1024229765,✔,✘,33.1%,군기감으로,␣,니카라과,✘,✘,1975.05.11,80.7%,␣,␣,태교하다 아이를,경기예,GANG SEOHYANG,✘,뎅그렁보다,✘,✘,✔,PI GANG-YEON,∅,✘,✘,✘
C0005,✘,✘,✘,✘,␣,보기 좋게,1902.2.9,✘,✘,모양.,✘,✔,DONG BINSEO,✘,✘,라오스,사원,␣,✘,✘,✘,␣,HDO2FUQ,✘,✘,✔,✘,✘,␣,2,✘,✔,✔,2014,✘,␣,더하여,␣,속이지,1956.12.30,GA TAEGEOM,44.2%,가경인,9163944942,✘,✘,98.5%,때에,␣,과테말라,✘,✔,␣,␣,␣,이스라엘,센,목희본,␣,✔,␣,✘,✘,✘,NO SEONGSIM,∅,✔,✔,✘
C0006,✘,✘,✘,✔,강경율,뜻과,1962-09-28,✘,✘,이행이 확실하지,✔,✔,CHAE CHOLONG,✔,✔,핀란드,␣,0.5%,✘,✘,✔,민마하,HBUXPAB,✘,✘,✘,✘,✘,허상재,23,✔,✔,✘,␣,✘,␣,암범01.,␣,끝에,␣,GYEON MUHYEON,␣,염지혜,1517140082,✘,✘,25.3%,있다.,␣,␣,✘,✘,1932.1.22,16.0%,차제서,␣,␣,␣,GWON SEUNG-WON,✔,입원했다. 상황이,✔,✘,✘,␣,∅,✘,✔,✘
C0007,✘,✔,✔,✔,태오른,␣,1980/11/23,✔,✘,소리들과,✔,✘,JWA SIN-YU,✘,✘,싱가포르,차장,15.2%,✔,✔,✔,␣,HHU71BF,✔,✘,✘,✘,✔,␣,␣,✔,✘,✘,␣,✘,인도네시아,␣,7,일.,␣,BAG GWANGLOG,65.8%,␣,1542582486,✘,✔,8.9%,아래에,2034-07-07,␣,✘,✘,2036.8.3,69.2%,␣,아랍에미리트,뒤엎다4의,부현아,CHA EUN-UG,✔,있는,✘,✘,✘,I SEOHEON,∅,✘,✘,✘
C0008,✘,✔,✔,✔,원명서,어린잎은,␣,✘,✔,␣,✘,✘,␣,✔,✘,아일랜드,CFO,␣,✔,✔,✘,␣,HW5UHQ0,✔,✘,✔,✘,✔,심루다,␣,✘,✘,✘,2026,✔,그리스,대하여,5,␣,␣,GAM LI-WON,␣,엄대니,9136792033,✘,✘,␣,혼자,1940년 9월 22일,␣,✔,✔,␣,74.5%,구모리,페루,내의,범한성,GYEONG HYEGEUM,✘,슬픈 사연을,✔,✔,✘,␣,∅,✘,✘,✘
C0009,✔,✔,✘,✘,서수현,단판걸이로,␣,✘,✔,␣,✘,✔,YE MINHEUM,✘,✔,파나마,부회장,18.4%,✘,✔,✘,문재욱,H0PGCYH,✘,✔,✘,✘,✘,␣,␣,✔,✘,✘,␣,✔,몬테네그로,특수,10,이끌어,2035-09-15,DAN JINGEON,16.3%,육예전,9391062886,✔,✘,3.3%,␣,1940/6/28,레바논,✔,✘,2007년 4월 13일,56.0%,연강수,키르기스스탄,성분과,성두홍,␣,✘,민역 백성이,✔,✘,✘,MYEONG MUHYEONG,∅,✘,✘,✘
