image,015,017,022,033,002,041,032,040,036,043,019,008,016,026,027,006,023,038,039,018,042,009,021,024,044,037,035,034,030,020,029,028,005,000,003,007,001,025,031,004,014,010
A0000,✘,✘,✘,✘,✘,✔,✔,이지혜,␣,␣,✘,✘,✘,✘,✔,✘,✘,5,15,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
A0001,✘,✘,✔,✔,✔,✔,✘,박서준,␣,␣,✘,✘,✘,✘,✔,✔,✘,06,09,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✘,✔,✔,✔,✘,✘,␣
A0002,✘,✘,✘,✘,✘,✔,✔,김민지,␣,␣,✘,✔,✘,✔,✘,✘,✔,06,23,✘,∅,✘,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,␣
A0003,✘,✘,✘,✘,✘,✔,✔,최현우,␣,␣,✘,✘,✘,✘,✔,✘,✘,7,13,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
A0004,✘,✘,✔,✔,✔,✔,✘,정수아,␣,␣,✘,✘,✘,✘,✔,✘,✘,07,27,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✔,✔,✔,✔,✘,✘,␣
A0005,✘,✘,✘,✘,✘,✔,✔,강지훈,␣,␣,✘,✘,✘,✔,✘,✘,✔,08,09,✘,∅,✔,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,1
A0006,✘,✘,✘,✘,✘,✔,✔,윤서연,␣,␣,✘,✘,✘,✘,✔,✘,✘,8,23,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
A0007,✘,✘,✔,✔,✔,✔,✘,장동건,␣,␣,✘,✘,✘,✘,✔,✔,✘,9,5,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✘,✔,✔,✔,✘,✘,␣
A0008,✘,✘,✘,✘,✘,✔,✔,송하늘,␣,␣,✘,✔,✘,✘,✔,✘,✔,9,19,✘,∅,✘,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,␣
A0009,✘,✘,✘,✘,✘,✔,✔,한지민,␣,␣,✘,✘,✘,✘,✔,✘,✘,10,08,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
A0010,✘,✘,✔,✔,✔,✔,✘,임준서,␣,␣,✘,✘,✘,✘,✔,✘,✘,10,22,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✔,✔,✔,✔,✘,✘,␣
A0011,✘,✘,✘,✘,✘,✔,✔,서예진,␣,␣,✘,✘,✘,✔,✘,✘,✔,11,5,✘,∅,✔,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,1
A0012,✘,✘,✘,✘,✘,✔,✔,신동욱,␣,␣,✘,✘,✘,✘,✔,✘,✘,11,19,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
A0013,✘,✘,✔,✔,✔,✔,✘,권보람,␣,␣,✘,✘,✘,✘,✔,✔,✘,12,8,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✘,✔,✔,✔,✘,✘,␣
A0014,✘,✘,✘,✘,✘,✔,✔,조현우,␣,␣,✘,✔,✘,✔,✘,✘,✔,12,22,✘,∅,✘,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,␣
A0015,✘,✘,✘,✘,✘,✔,✔,미래기획,␣,␣,✘,✘,✘,✘,✔,✘,✘,1,2,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
A0016,✘,✘,✔,✔,✔,✔,✘,한빛개발건설,␣,␣,✘,✘,✘,✘,✔,✘,✘,1,16,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✔,✔,✔,✔,✘,✘,␣
A0017,✘,✘,✘,✘,✘,✔,✔,새롬정보통신,␣,␣,✘,✘,✘,✔,✘,✘,✔,2,2,✘,∅,✔,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,1
A0018,✘,✘,✘,✘,✘,✔,✘,영진무역상사,␣,␣,✘,✘,✘,✘,✔,✘,✘,2,16,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
