image,061,065,017,051,022,002,062,056,050,019,059,052,016,067,055,006,023,018,021,058,057,069,049,053,070,054,020,064,068,005,000,003,007,001,066,048,063,004,060
A0000,␣,␣,✔,이지혜,✘,✘,✘,␣,15,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,05,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0001,␣,␣,✔,박서준,✘,✘,✘,␣,09,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,06,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0002,␣,␣,✔,김민지,✘,✘,✘,␣,23,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,06,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0003,␣,␣,✔,최현우,✘,✘,✘,␣,13,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,7,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0004,␣,␣,✔,정수아,✘,✘,✘,␣,27,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,07,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0005,␣,␣,✔,강지훈,✘,✘,✘,␣,09,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,08,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0006,␣,␣,✔,윤서연,✘,✘,✘,␣,23,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,8,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0007,␣,␣,✔,장동건,✘,✘,✘,␣,5,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,9,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0008,␣,␣,✔,송하늘,✘,✘,✘,␣,19,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,9,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0009,␣,␣,✔,한지민,✘,✘,✘,␣,08,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,10,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0010,␣,␣,✔,임준서,✘,✘,✘,␣,22,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,10,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0011,␣,␣,✔,서예진,✘,✘,✘,␣,05,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,11,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0012,␣,␣,✔,신동욱,✘,✘,✘,␣,19,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,11,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0013,␣,␣,✔,권보람,✘,✘,✘,␣,8,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,12,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0014,␣,␣,✔,조현우,✘,✘,✘,␣,22,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,12,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
A0015,␣,␣,✔,미래기획,✘,✘,✘,강민준,2,✔,␣,✔,✘,✘,2,✘,✘,✘,✘,␣,✔,␣,1,2025,␣,1,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
A0016,␣,␣,✔,한빛개발건설,✘,✘,✘,김서연,16,✔,␣,✔,✘,✘,16,✘,✘,✘,✘,␣,✔,␣,1,2025,␣,1,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
A0017,␣,␣,✔,새롬정보통신,✘,✘,✘,박지훈,2,✔,␣,✔,✘,✘,2,✘,✘,✘,✘,␣,✔,␣,2,2025,␣,2,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
A0018,␣,␣,✔,영진무역상사,✘,✘,✘,이하윤,16,✔,␣,✔,✘,✘,16,✘,✘,✘,✘,␣,✔,␣,2,2025,␣,2,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
