image,000,001,002,003,004,005,006,009,010,011,012,013,014,015,018,019,020,021,022,024,025
G0000,심승로,010-7076-0020,044-3877-2181,황보희월,Q8OZKWPVZEY8K1,양신영,ON2AZN2DX74,SJR6ZDL4Q9FRFX4,,,GFEYCO04,"7,370,000",3,,2022,,7,,,9688342032,Z0BM4HB
G0001,마엘린,,064-9576-1028,오늘푸름,,김훈비,,NAYFJDXUH7SIYW5,,"36,940,000",S9IH5H3U,"7,290,000",36,77.9,,2,,홍희종,<|SEAL|>,,ZYZISTY
G0002,간중섭,010-1474-5491,,은찬결,7XUHQ0UJTCJMXB,서리구,WVBALPTGCZ4,40JZUB73KXXK05Y,,"1,740,000",9O5NL0IX,,12,,,,11,손솔민,✔,9981787404,
G0003,맹하수,,,방선민,G46VSBWGIE6YBA,고승신,YDBPRX52DOQ,RUOV6IS2YTQ489C,이륜차,,K4YNII0P,"6,250,000",,68.2,2022,9,9,여요셉,✔,1767131239,
G0004,범재익,010-5318-4281,,,VBUBTBTTNWIWHH,감다혜,D4B2344XH3P,ZAHP5F9M3BUYYBI,승합차,,JO7SCEN4,"49,180,000",31,77.2,2038,,19,여승률,<|SEAL|>,1444651608,Z0JAUNL
G0005,형모연,010-7804-7643,,최손비,7OM2YK40NJ48E3,장현대,WZ1PI753ZJZ,,왜건,"8,330,000",14QVRR24,,32,,2038,9,,용현혜,<|SEAL|>,9457742882,Z4ON391
G0006,봉희빈,010-9548-3017,,문루기,QJT4CAVVW7W5WU,도윤진,OHTN4736G6K,B7FUUZSEO8028I7,,,,,16,6.0,2036,7,21,문찬준,✔,9223400123,ZELRV1S
G0007,곽영주,010-5202-2619,052-4639-8622,엄양우,X9NKRD9UDY49JF,지안영,RY6OUZNA74I,,,,,"9,140,000",33,35.2,,4,10,,<|SEAL|>,9628430846,
G0008,부은빛,,054-6040-0034,선동영,C5KKHO9FBN7YDW,,OYA830LDS2L,PP6YELZ22B3KNJH,오토바이,,,17710000,30,16.4,2040,,3,간의혁,✔,1646229695,
G0009,편병길,010-5176-2519,,이라우,ABBAWFJTZM82X0,제권일,TUA9AWZ32T5,QWLM5UUY3D4NGUG,왜건,84350000,995488EE,"93,670,000",7,55.4,2022,12,28,제요인,<|SEAL|>,1837255565,ZCDRDBK
G0010,사공대경,010-9384-6604,031-0830-0671,,77BQZUAVY6LULB,노무림,6QYC6CKHP8T,WXQK72V7PCYXRKY,군용차,"22,560,000",EHKKQ4O9,"1,730,000",14,55.8,2030,8,25,,<|SEAL|>,9192294806,
G0011,현비오,010-6221-9156,055-9468-0562,고까리나,HGHTV52T4KJWST,노혜봄,KU5KN2TC4JK,V03IVKIEIJ9JJHG,,"56,970,000",,,8,51.4,2020,3,1,,<|SEAL|>,,
G0012,정근애,,052-1648-1028,구한경,,왕비준,0OGTJR7BLG5,9816M1Y7ZHOAX29,,"6,410,000",NF865HRC,"7,670,000",3,57.8,2032,10,7,장수애,✔,1626587724,
G0013,은에밀리김,,02-561-7315,노준교,RD6G7V12GI5OA5,,,K77KNU2EM6K9RQH,,"4,880,000",,"96,670,000",9,61.1,,12,1,,<|SEAL|>,1513243824,ZVI65NI
G0014,강리구,010-6614-0813,053-3169-7353,감창욱,,안알렉스,NDAVCW4K3DW,FRUJBK8MHLE1BH9,군용차,,,"8,350,000",,64.5,2023,,6,조미심,<|SEAL|>,1723427272,ZKA2GE4
