image,000,001,002,004,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,027,028,029,030,031,032,033,034,035,036,037,038,040,041,042,043,044,045,046,047,048,049,050,051,053,054,100,101,102,200,201,202
G0000,1878009035,인정혜,,남자,충청북도 단양군 단양읍 별곡10길 5-1,경기도 화성시 팔탄면 율암리 283-4,010-3676-7580,02-852-0606,,,,,,,,,wkwwtq2qyr7a,gawab.com,,695-34770879-44,제주은행,,✔,,,,,13,✔,,,,개미집,,침대 및 내장 가구 제조업,,,,,✔,,✔,,,,9452780882,EEU52YC,2026,4,11,2031,11,17
G0001,,박미기,SON YOSEONG,여자,경상남도 창원시 마산회원구 내서읍 중리 884-3,경상남도 창원시 의창구 봉곡동 23-12,,044-672-3762,,foxmail.com,,,,,✔,,tk2zv3pw6,,✔,0815-56-966528,중국공상은행,,✔,,✔,,,6,,,✔,,보노보노,,일반 중등 교육기관,,✔,,,,,,✔,,✔,9266838203,EBCBCPP,2024,,28,,6,12
G0002,1114738328,남궁지몽,BANG HANCHAN,,경기도 안양시 만안구 안양동 824-27,,010-2984-7187,054-2653-1355,,kyonggi.ac.kr,,,xvq-.tglphs4-,fau.org,,,,kyonggi.ac.kr,✔,,,✔,,,,,✔,25,,,✔,,,116-88-59889,,032-9696-8291,✔,✔,경기도 광주시 회덕동 111-39,✔,,,,✔,,1910091237,EL1YOLE,2001,6,15,2034,12,10
G0003,1505084755,박덕순,SANG GYUHEON,여자,부산광역시 사상구 사상로137번길 16),경상북도 김천시 모암동 128-17,,061-4904-4082,,ncsu.edu,,✔,n1wcg3b8y9-p,london.com,✔,✔,,,✔,980-956613-15,,,,✔,✔,✔,,,,,✔,,아이티엠반도체,268-08-63209,,,,,경기도 양평군 서종면 벌마당길 14-1,✔,✔,,✔,,✔,1057837822,E214FJL,2010,,24,2016,11,20
G0004,,,JIN JE-INA,,충청북도 진천군 덕산읍 산수리 14,전북특별자치도 익산시 동산동 1059-2,010-1774-6042,042-1544-9789,,,✔,✔,,,✔,,,,✔,110-004895-559,미쓰비시UFJ은행,✔,,,,,✔,24,,,,,,234-80-03545,비알코올 음료점업,032-4857-0535,,✔,세종특별자치시 연서면 가마골길 73-2,✔,,✔,,✔,,,ECSSOL0,2026,,,2034,,21
G0005,9044680563,인차린,HAN HOLAN,,강원특별자치도 동해시 감추6길 17,경기도 화성시 향남읍 행정죽전로2길 24-65,010-0240-3110,,,yahoo.com,,,pq796dzrq5k6,korea.kr,✔,,,hanafos.com,✔,089-415-083810,ANZ은행,,✔,,✔,,,13,,,,,테팔,031-14-16528,"냉각, 공기 조화, 여과, 증류 및 가스 발생기 제조업",042-7939-5661,,,,,,,,,,9433513205,EF9NNQV,2023,,21,2011,6,20
G0006,9335198953,,DO JAEBONG,여자,서울특별시 성북구 장위동 234-64,대구광역시 동구 방촌동 1072-52,010-7605-0909,032-1902-3063,,netian.com,,,w70-a4lak8ap,alum.mit.edu,,,sao7grt,laposte.net,✔,350-036102-69530,HSBC,✔,,,✔,,,20,,,,,제주은행,,"종이 원지, 판지, 종이상자 도매업",032-8170-5769,,,,,,✔,✔,,,1162110512,,2035,1,25,2034,9,21
G0007,9970969264,추유중,,여자,,강원특별자치도 춘천시 후석로 75,,,,epost.de,,✔,ppf1wfo,mailinator.com,,,n7j65ljk6-,netsgo.com,✔,559-067515-18,,,,,,,✔,17,✔,,,,돈화문칼국수,551-77-58410,사무 및 회화용품 제조업,033-9596-5617,,,전북특별자치도 고창군 신림면 성남안길 11-15,,,✔,,✔,,9841168962,,2020,10,25,,4,20
G0008,1635306870,,,여자,경기도 용인시 처인구 양지면 추계리 49-1,충청남도 공주시 계룡면 하대리 1171,010-6163-1155,042-2580-8028,x3va8yce._,freenetname.co.uk,✔,,eoxdyog89-6,,,,s3j4ilbt,fastmail.com,,028-958505-36264,한국은행,,,,✔,✔,✔,,,,✔,✔,,225-60-78051,비알코올 음료점업,031-6410-2977,,✔,경상북도 청도군 화양읍 청화3길 20-19,✔,,,,✔,,1308796940,,2004,,8,,,8
G0009,1207494295,,BAG JIPYEONG,여자,경상남도 창원시 마산합포구 동서북3길 5,,010-6996-0839,,y3fejfo_7ly,disroot.org,,,er_p4sdb848,daum.net,✔,✔,,,,,수협은행,,✔,,,,,,,,,,현대사료,,"금속 단조, 압형 및 분말 야금제품 제조업",,,,,,,✔,✔,,,1420814927,,2032,,,2035,,
