image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,067,068
G0000,,,,,,✔,✔,,,,,,,,,,,,,,✔,,,생긴,,,,✔,,,,,,,앞장서는 사람.,여한남,JIN INSEOL,91.8%,,방글라데시,,태세륜,,28.9%,,루마니아,짤 때,이황,YU DAMMI,,1973.08.24,포르투갈,,좌루카,,28.1%,,파라과이,,목배리,,,4,3,황주현,<|SEAL|>,,EG1YG5A
G0001,✔,,,✔,,,✔,,✔,,,✔,,✔,✔,,,,✔,,,✔,,,,,,,,,✔,,조릿대풀의,지방이,준다.,,MOG SUNCHEOL,,,홍콩,기독교의,승우중,BOG LYUBIN,57.4%,1931.5.4,칠레,짐승닛과의,,YEOM YEOGANG,22.9%,1972/6/10,우크라이나,,길범찬,,51.5%,1970년 09월 12일,,센터장,배홍근,✔,2016,1,22,부한재,✔,9601892193,EU27A8E
G0002,,,,,,,,,,,,,,,✔,,,✔,✔,,,,,갈이칼로,,✔,✔,,,,✔,,돌린,어근. 158413,,선우율하,I ME-ALI,64.4%,1917년 5월 21일,벨라루스,익히지,최은석,,88.0%,,이란,안재홍의 호.,지사헌,OG UIGYEONG,16.1%,2037-04-02,라오스,일.,,MUN I-EUM,43.1%,1977년 05월 11일,말레이시아,부장,노회윤,<|SEAL|>,2017,5,14,,<|SEAL|>,1766950984,EHQADL8
G0003,✔,,,,✔,✔,,,,,✔,,,,✔,,,,,,,,,울부짖다.,✔,,,,,✔,,,주장할,높이는 20미터,,,O GWON-I,49.8%,1916년 03월 13일,중국,심심하게,감예흔,AN HANJEONG,,,베네수엘라,만들,우채흔,EO LEUM,2.4%,2048년 02월 06일,인도,그런,차상기,,,1968/4/28,노르웨이,,,<|SEAL|>,2027,,2,석규강,<|SEAL|>,,E9J4CH8
G0004,,,,,,,✔,,✔,,✔,,,,✔,,,,,,,✔,,,,,,,,,,✔,힘차게,덕에 부지중, 날카롭다.,조가인,LA DONGGWAN,50.7%,1934.06.14,불가리아,외관,손빛초롱,SEO JEONGMIN,,1976년 8월 13일,요르단,음란한,배름음,JE GAL-YEONG-IM,,,싱가포르,내려,,SEOG SEUNGGI,29.6%,2000.11.18,러시아,선임,석단의,,,8,16,여멜리나,✔,1146390812,EU8FCWL
G0005,,,,,,,,,,,,,✔,✔,,,✔,,,✔,,,,옅은,✔,,✔,,,✔,✔,,놋쇠,,정신과,,MO INTAEG,61.2%,1926-08-02,요르단,준말. 481903,,,96.3%,1950년 11월 18일,파라과이,알리다.,백자랑,HA HABIN,61.3%,1905/8/6,에콰도르,,김경임,I BEOMGYEONG,50.6%,1913년 3월 2일,,,,,2038,10,24,견하니,<|SEAL|>,1340817546,EM0LEIP
G0006,,✔,,✔,,,,✔,,✔,✔,,,,,,✔,,,✔,✔,✔,,,,,,,,,,,짐말 짐을,,,염근정,SI YEONG-IL,54.8%,1962.11.05,,법률이 될,송연임,,48.8%,1963/2/3,대한민국,벽. 흙을,심경록,BAEG BAEGHAB,55.1%,,콜롬비아,,피금윤,,68.2%,2004/1/21,핀란드,선임,어률아,<|SEAL|>,2022,9,30,라유주,<|SEAL|>,9298626674,EAC3R19
G0007,,✔,,,,,,✔,,,✔,✔,✔,,✔,,,,✔,✔,,,,고임질,,,,✔,✔,✔,,✔,다른 목재의,된,"거쳐,",,,,2015년 07월 07일,,"행하여졌으며,",임송효,SEUNG EON-YAG,46.3%,1976/11/6,,가볍게 율동적으로,민지향,ON CHANLYEOL,77.1%,2040-07-31,미얀마,외올탕건 외올로,김봄봄,SEOG MAEHWA,,1921년 7월 9일,콜롬비아,과장,곽하비,<|SEAL|>,2014,,22,제체연,<|SEAL|>,9209883487,ESQQY7I
G0008,✔,✔,✔,,✔,,,✔,,✔,,,,,,✔,✔,,✔,,✔,,,일을,,,,✔,✔,✔,✔,✔,뭉쳐나며,계산하다. 투표용지,,옥예정,JU HYOLAN,75.8%,,룩셈부르크,,엄기혁,GEUM JIHANG,,1941년 2월 7일,,접미사. 법령,,TAG YEO-EUN,97.6%,2033년 02월 02일,쿠바,,금시환,YEOM SEONGSIN,52.8%,1908년 12월 17일,대한민국,센터장,진주엽,<|SEAL|>,2001,9,9,명린지,<|SEAL|>,1465093249,
G0009,,✔,,,,,✔,,,,✔,,,,,,,✔,,,✔,,,창덕궁,,,,,✔,✔,,✔,생각이나,비정상적인 물고기.,,,MUN CHAE-YEON,24.4%,2040년 05월 19일,,등지에 분포한다.,,,,2016-12-26,콜롬비아,내착하다 와서,추소훈,,90.3%,2048/8/27,예멘, 셈하다.,,YEO CHAE-UL,94.2%,2032년 04월 13일,튀르키예,부장,변파란,<|SEAL|>,2040,12,9,하대인,<|SEAL|>,9323217135,EPX12LH
