image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,091,092
G0000,충청남도 논산시장,2043.5.12,93-24-058537-60,아이슬란드,,남자,,,,✔,,✔,,,,✔,✔,,,,,아울러,전임,충청북도 진천군 진천읍 문화로 181-10,,48년,9905만원,,,,,,,,,,,,,,,,,,,,✔,,,,✔,,,✔,,✔,,✔,,,,✔,✔,,"쓰던,",,,하나은행,,길가예,모,2001.01.04,010-6616-7155,,3,7,제늘찬,,박아흰,CHA HONG-YEON,2018년 7월 31일,,부문장,옥라민,,2028,5,,,,,
G0001,인천광역시 강화군수,2027년 11월 22일,,,931708-2134906,남자,,,✔,,,,고종,,✔,✔,,,,✔,대한요양병원협회,머물러,부사장,대구광역시 달서구 송현동 798-264,,15년,2928만원,✔,,✔,✔,,✔,,,✔,✔,,,,,,,,✔,,,✔,,,,,✔,,✔,,,✔,,,,✔,,,stand,,,,937-810941-72,라성배,조부모,,,,6,23,남성률,<|SEAL|>,기대주,,1957년 9월 18일,,COO,어혜욱,<|SEAL|>,2004,,,,,,Z4U0270
G0002,,,29-70-216397-81,헝가리,263486-9605441,여자,,,,,,,,,✔,,,,,,제일약품,널리,연구원,,031-3612-9228,,6762만원,,✔,,✔,✔,,,✔,,,✔,,,,✔,✔,,,,✔,,,,,,✔,✔,,✔,사람을,,✔,,,✔,,,,,,신한은행,,박홍림,손녀,,010-1073-7302,2012,12,27,,<|SEAL|>,지아이사,HONG YONGDU,1962.02.14,슬로베니아/여자,전임,채종엽,,,,1,인미례,<|SEAL|>,1309208623,Z38UP8M
G0003,서울특별시 성북구청장,,,카자흐스탄,904254-0891360,여자,✔,,,,✔,✔,,,,✔,✔,,,✔,한림제약,포구,파트장,전북특별자치도 고창군 고창읍 월곡1길 46,,38년,3156만원,,,,,,✔,,,,,✔,,✔,,,,✔,,,,,,✔,,,,,✔,✔,기관총.,,,✔,,✔,✔,✔,분야이다.,,✔,하나은행,9298-65-076768,팽쥴리,손자,258-60-29248,010-3833-3707,2033,3,19,라보문,,,,2028년 8월 5일,,부문장,설설비,<|SEAL|>,2037,4,1,우혜우,✔,9935612451,
G0004,서울특별시 도봉구청장,2029/12/30,,스리랑카,470515-8868606,,,,,✔,✔,,몇,✔,,,,,✔,,,제사.,감사,경상북도 영주시 단산면 좌석리 104-5,,7년,4442만원,,✔,,,,,,,✔,,,,,,,,✔,,,,,,,,,✔,,,,,,,,✔,,,✔,,✔,,모건스탠리,050801-83-665795,승청호,조부모,,010-1219-3779,2018,,13,,,은감찬,,1964.12.11,핀란드/여자,프로젝트 매니저,,<|SEAL|>,2005,,25,심건도,,,Z6FKPUT
G0005,,1914년 10월 27일,,아이슬란드,,남자,,,,,✔,,,,✔,,,,,,,제조에,COO,경상북도 경주시 초당길15번길 21-10,061-8576-7108,,8649만원,,,,✔,,,✔,,✔,✔,✔,,,✔,✔,,✔,,,,✔,✔,✔,,,,✔,,,지냄.,,✔,✔,,,,✔,않는,,,한국씨티은행,837785-92-146010,우제영,형제,2028/3/14,010-8178-4987,2040,10,2,전예조,<|SEAL|>,,,,이스라엘/남자,CEO,호보국,✔,2025,3,24,장청애,✔,9458938730,Z3ZBPH9
G0006,부산광역시 금정구청장,,51-16-283612-47,오스트리아,,,,,,,,✔,,,,,,✔,,,불이아,,,경기도 광주시 남종면 삼성리 48-5,,45년,3281만원,,,,✔,✔,,,,,✔,✔,,,,,✔,,,,,✔,,,✔,,,,✔,,또는,,,,✔,✔,,,걷게,,,중국공상은행,171-552-087452,피일휘,손자,928-28-88377,,2008,3,7,,<|SEAL|>,가하움,MO GWONMIN,1944.8.6,예멘/남자,과장,,✔,,4,10,선해정,✔,,Z3QX6WW
G0007,세종특별자치시 고운마을3길청장,1953.2.4,,헝가리,940242-5449126,여자,,✔,,✔,,✔,필로,,✔,✔,,✔,,,하이트진로,나제동맹,,전라남도 해남군 황산면 우항리 24-2,055-6757-7009,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,✔,,,,,,,파절하여,,✔,,,,✔,✔,,,,BNP파리바,292-22563994-39,한상천,기타,,010-3144-2863,,,7,선성필,<|SEAL|>,맹록원,SEOG WONBEOM,,태국/여자,전임,주정후,✔,2025,3,,,,9873455689,ZTCLOVK
G0008,서울특별시 양천구청장,1917년 10월 5일,07-12-759335-87,베네수엘라,,,✔,✔,,✔,,,이는,,,,,✔,,,JW중외제약,,,경기도 파주시 광탄면 발랑리 39-2,063-4299-5913,,3403만원,✔,,,,,,,,,,,,,✔,,,,,✔,,✔,,,,,✔,,,✔,명백하고,,✔,,,,✔,,말이나,✔,,토스뱅크,609-895255-56485,,조부모,1985-06-27,010-7098-1972,2001,5,4,시강석,,,NAM GUNGNA-AE,1947/1/4,,,승송호,,2031,3,,,,1661525392,
G0009,경상남도 창녕군수,2012년 05월 02일,87-73-266728-03,,907828-2963483,남자,,✔,,,,✔,등,,,,✔,,✔,✔,한화엔진,인디언을,CTO,,052-7083-4887,19년,3203만원,,,,,✔,✔,✔,,,✔,✔,✔,,,,,✔,,,,,,,,,,,,,명주,✔,,,,,,,서신,✔,✔,모건스탠리,632-923405-98109,,,1972/2/11,,2009,1,,,<|SEAL|>,,BAEG DONGGYO,1973.12.6,쿠바/여자,프로젝트 매니저,구귀혜,<|SEAL|>,,,24,나리연,<|SEAL|>,,ZENV3OZ
G0010,대구광역시 남구청장,,,투르크메니스탄,,,,✔,✔,✔,,✔,확대02,✔,✔,,,,,,,,,경상북도 예천군 용문면 대제리 191-1,,21년,7631만원,,,✔,✔,,,,,,,,✔,,✔,✔,,,,,✔,,,,,,,,,,재료의,,,,✔,,,,지나간,✔,✔,케이뱅크,,심지슬,형제,2007년 10월 12일,010-3242-4932,,,4,연용,,이류현,JWA SEBIN,,네팔/여자,회장,최인권,<|SEAL|>,,3,8,심춘심,,1787875933,
G0011,부산광역시 연제구청장,,72-35-235118-24,스위스,799270-9700370,남자,✔,✔,,,,,얻는,,,,,✔,,,유화증권,치안력,실장,전라남도 무안군 삼향읍 송산길 22-4,044-8153-6774,,,,✔,✔,,,,✔,✔,,✔,✔,,,✔,✔,,,✔,,,✔,,,✔,✔,,,,,여자.,✔,,,,,✔,,전각.,,✔,SC제일은행,,염채호,,1978/2/19,010-5477-9706,2030,5,25,빈하눈,,옥준연,,1966-05-17,우루과이/남자,팀장,신국희,✔,2022,9,,문연원,<|SEAL|>,9466812300,ZPYRPWO
G0012,,1988년 3월 1일,28-80-006528-41,스위스,547760-1944099,남자,,,,✔,,,,,,,✔,,,,이오이 서울,,,제주특별자치도 서귀포시 하예로19번길 66-76,053-3358-9524,50년,4618만원,,✔,,✔,,,✔,,✔,,,,,,,,,,✔,,,,✔,,,✔,,✔,,쨍쨍,,,,✔,,✔,✔,계절을,,,카카오뱅크,,어이환,형제자매,297-25-45507,010-8925-8405,2038,10,24,안예사,<|SEAL|>,노레이아,PYO GYEONGMOG,2002년 3월 19일,,회장,문권후,✔,2037,4,,승귀선,<|SEAL|>,,ZE8WI6P
