image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,053,054
G0000,갈릴리,SM6,옥색,9,,조수 간만의,✔,,,✔,,✔,,,3,"4,620,000","23,560,000","5,150,000",,69.5,18,3,"66,710,000",35,,"12,470,000",,,86.2,"93,660,000",5.3,,14.7,53690000,"89,120,000",,25.6,,,,"9,330,000",✔,,✔,,"98,690,000",✔,,,,,,1278158193,SL3VF3G
G0001,유대니,스타리아쉐보레,,1,"5,750,000",,,,,✔,,✔,,,,"77,740,000",51320000,"2,420,000",,6.1,27,20,11540000,8,24,"7,650,000",✔,,22.4,"5,860,000",2.6,"5,610,000",84.8,"64,610,000","1,970,000",10.3,32.3,,,,,,,,,"55,160,000",,,,✔,"22,960,000", 서까래.,9606079356,SJKC1SE
G0002,명상학,코란도,남색,1,"22,810,000",,✔,,,,,,✔,,20,"1,290,000","81,520,000",,"17,540,000",35.5,20,25,"96,830,000",19,18,,,,90.0,,,67570000,69.9,"6,530,000","71,650,000",16.8,,542696km,8048만원,,,,,✔,,"3,860,000",,,,✔,"35,180,000",했다면 부처님이,1172048220,S1NDDVH
G0003,진소기,파나메라,자주색,4,,,,✔,✔,,,,✔,✔,24,"2,190,000",4240000,"4,310,000","19,910,000",81.4,,2,,6,32,"63,720,000",,✔,64.5,"32,660,000",92.2,,23.7,"2,420,000","98,680,000",82.7,80.1,"476,000km",2910만원,,8920000,,,,,"1,370,000",✔,✔,,✔,,중심 사상.,1335062702,
G0004,,,,,"98,480,000",안전을 해치지,✔,✔,✔,✔,✔,,,,33,"1,950,000",,,,90.0,5,,,,,12380000,,,,"7,630,000",18.6,"7,670,000",50.5,"59,390,000","42,110,000",3.2,54.7,"385,000km",2632만원,,"26,680,000",,✔,,✔,"5,820,000",,✔,,,"9,110,000",,,
G0005,,,,8,"2,160,000",,,✔,,✔,,,✔,,,,"47,480,000","5,490,000",2840000,70.5,29,30,,10,33,"21,760,000",✔,,22.7,"55,330,000",35.9,,7.9,,,,,"775,570km",6190만원,✔,"14,370,000",,,,✔,"2,480,000",,,✔,,"2,670,000",손으로,,
G0006,,하이랜더,흑색,,,이론. 빛이,,✔,,,,,,,25,,"98,620,000",,"21,870,000",,12,4,"31,780,000",25,26,,,✔,,,87.2,,,"8,270,000",9970000,55.1,46.5,"508,860km",6343만원,✔,,,✔,,✔,"8,370,000",,,,✔,"34,940,000",급해서 한곳에,9152630834,SRU6ORZ
G0007,표선영,CR-V,금색,6,"47,590,000",전 용어.,✔,✔,✔,,,,✔,✔,1,"9,640,000","9,950,000",48730000,"34,580,000",27.3,,36,,11,1,,,,60.7,,59.8,,98.9,"67,340,000","2,140,000",,82.3,,1557만원,✔,,,,,✔,6360000,✔,✔,,,"4,930,000",말이다. ,,SMB31Q9
G0008,함예환,아반떼,카키색,1,"3,720,000",하면서 물고기를,,,,,✔,✔,,,12,"2,830,000",,,"6,940,000",95.4,12,25,"7,940,000",6,35,"97,410,000",✔,,,"6,870,000",52.1,"99,740,000",42.1,"77,570,000","17,270,000",58.7,,"119,000km",1686만원,,"58,390,000",✔,✔,,✔,,,,,✔,"99,150,000",개화를 실속,9850100880,S8NOO9M
G0009,,카이엔,연두색,9,"9,180,000",,,✔,,,,,✔,,19,,,"29,810,000","34,730,000",34.9,21,33,,30,25,"5,320,000",,,,"69,440,000",69.8,,15.2,"93,120,000","84,270,000",91.4,,"281,600km",9777만원,,,✔,,,,"32,550,000",,,✔,,,만든,,
G0010,동샤론,벨로스터,호박색,,"75,360,000",쪽으로,,,✔,,,,,,12,"47,680,000","53,420,000","9,760,000",,16.3,12,,"39,730,000",18,34,"88,720,000",,,16.1,,10.3,"97,810,000",,"18,830,000","3,920,000",27.2,2.6,460000km,7177만원,,"9,430,000",,,,,,✔,,✔,,"93,280,000",없이 메진의,1660721253,S8VQGSL
G0011,고오스틴,,,,"2,530,000",소홀히 대접하다.,✔,,,,✔,✔,,✔,32,,"88,150,000","6,670,000","1,910,000",1.0,35,,,11,,"5,640,000",,,,31840000,63.8,,53.2,5180000,,,31.4,"913,800km",3064만원,✔,,,✔,✔,✔,"53,950,000",,✔,,,"1,860,000",,1140074504,SK8T42H
G0012,봉그림,GLC,금색,,"99,570,000",접하여 있는,,,,,✔,✔,,✔,27,"93,610,000",6350000,,"89,730,000",60.3,35,,,5,32,36210000,,,,,96.5,"97,940,000",54.6,"3,120,000","58,220,000",25.5,36.0,"541,600km",1533만원,✔,,,✔,,✔,,,,✔,,"26,870,000",총회에서 선언이,,
G0013,,,검은색,0,"4,130,000",곡의 하나.,✔,✔,✔,,✔,,✔,,30,"41,270,000","8,650,000",33380000,"25,920,000",88.7,11,,,3,13,,✔,✔,4.7,"1,450,000",99.6,,,51520000,"8,290,000",43.3,71.9,478000km,1182만원,,"63,170,000",,,,,,,,✔,,"26,370,000",이르는 말이다.,1703585613,SLM37QA
G0014,성가나자,현대,백색,5,"53,190,000",성분들이 서로,✔,✔,,,,✔,✔,,32,95390000,"41,230,000","86,380,000","91,180,000",,17,29,,12,29,"13,460,000",✔,,81.2,"3,430,000",1.2,,,"7,390,000",,78.8,,894000km,6671만원,✔,,,✔,,✔,"4,720,000",✔,,✔,✔,"3,760,000",,9915515947,SW4PFDL
G0015,지채적,스타리아쉐보레,하늘색,6,"89,190,000",생각되었다.,,,,,,,,,7,"3,250,000","4,990,000","63,830,000","7,690,000",,,,,17,21,"2,640,000",,,37.7,"4,150,000",54.3,"65,240,000",51.2,"1,310,000","2,570,000",,6.7,"889,920km",1817만원,✔,"5,350,000",✔,✔,,,"96,150,000",✔,,,,"77,870,000",한 뒤,,
G0016,민려원,캠리,청색,5,"13,140,000",타고난 천성.,,,✔,,,✔,,✔,34,"8,250,000","4,820,000","6,620,000","45,580,000",40.7,24,,,9,2,"38,650,000",,✔,,,,,65.6,,"19,520,000",96.6,,"819,000km",6332만원,,,,✔,✔,,,✔,,✔,,19520000,,9492836019,SE846FF
G0017,서조묘,,귤색,1,"77,850,000",수신 장치에,✔,✔,,,✔,,,,,,"2,490,000","34,730,000","5,780,000",84.5,20,,,,30,9650000,,,90.3,"15,270,000",31.8,"45,950,000",,82130000,"6,940,000",51.7,,,4266만원,✔,,,,,,"86,260,000",✔,,,,29150000,화서로 가지와,1972199622,SMVK5SM
