image,000,001,002,003,004,006,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,103,104,200,201,202
G0000,1725302803,차지아나,PI BIDAN,589-79-10845,,,경상남도 거창군 거창읍 중앙로 80,033-3174-8666,,042-8481-6513,,ian3wcr8c7yy,glasgow.ac.uk,,✔,,,,✔,,"전동기, 발전기 및 전기 변환장치 제조업",,,✔,✔,,✔,,결합.,두,태담하,HAN SUHAE,1936-10-19,남자,우크라이나,,,,,,,,,,,,미쓰비시UFJ은행,,✔,,,✔,,22,,✔,✔,,다른,예제욱,YE LUMA,세르비아,010-5625-6279,또는,프로젝트 매니저,경상남도 창녕군 고암면 창밀로 922-8,041-5857-3111,,✔,2039,,9,염단경,<|SEAL|>,,,,,✔,✔,급우01,,✔,,,,,"뜻으로,",중국공상은행,789-878533-30710,이이사야,아들,1946-03-19,010-4174-4976,2036,5,,길제아,,,TAQZ4FY,2012,,6
G0001,9218203623,,WON JONGMYEONG,979-25-83642,,,대전광역시 대덕구 중리동 497-7,064-5317-7289,경상북도 울진군 온정면 선구리 592-3,,,nkecopqkjb,,,✔,,✔,,,,지정 외 폐기물 처리업,,,✔,,✔,,,따위가,,빈토마스,DONG BONJAE,,,프랑스,✔,yvyp5epbsf2p,biz.net,✔,✔,✔,pp5cfvmtvrzt,mail.ru,,✔,,케이뱅크,,,,,,,,,,,,따위가,성까리나,GANG GEUNHA,북마케도니아,010-4151-2865,,센터장,대구광역시 수성구 만촌동 872-1,061-5744-7617,,✔,2035,,29,진주한,<|SEAL|>,,,,✔,,✔,,,,,,,,다듬는,광주은행,,,,468-59-20424,010-1313-3990,2015,6,,,<|SEAL|>,1158696644,TGF6X1M,2040,,23
G0002,,곽본겸,GANG SE-WANG,435-68-16879,352-84-04463,라오스,,033-9361-9305,,,,ghco5dedzq4f3,outlook.com,✔,,,,,,✔,"연료, 연료용 광물 및 관련제품 도매업",,✔,,,✔,,,,말.,,HWANG BOKEULLO-I-YEON-A,1944.11.14,남자,아르헨티나,,l1bfhgn,polymail.io,,,,ra_de67bqta05,docomo.ne.jp,,✔,,DBS은행,,,,,✔,,17,,✔,✔,✔,,빈견우,SEONG SAEHAN,튀르키예,,벌이는,CFO,인천광역시 강화군 강화읍 향나무길33번길 8-9,044-3152-9263,,✔,2002,3,25,피향화,✔,,,✔,,,✔,,,,,,,✔,드디어,소시에테제네랄,956-993050-06335,홍연혜,,274-44-88719,,,2,,간성소,✔,9229124304,TUBLF1T,2029,,28
G0003,9646957155,엄운설,GANG DOGYU,092-56-89561,,아일랜드,경기도 안산시 상록구 팔곡일동 266-12,,전북특별자치도 익산시 신동 782-1,044-3924-3063,043-9825-4688,kw0zb_d2v6x,kaist.ac.kr,,✔,,,,✔,,통신 판매업,✔,,✔,,,,,언파에,둘러싸인,상치완,NAM BEOMCHAN,,여자,예멘,,,dartmouth.edu,,,,f3.yed2sw-,chollian.net,,,,중소기업은행,,✔,,✔,,,,,,✔,,,함금리,SIM JONGGEON,,010-0531-7380,쇠고기를,CIO,전라남도 화순군 도곡면 원화리 109,,,,2005,9,16,방영재,<|SEAL|>,,,,,,✔,,✔,,✔,,,,,HSBC,034-715355-52,음미령,형제,1961년 4월 21일,,2025,2,,우낙연,✔,,TES425V,2037,,
G0004,1122067931,이지훈,,020-05-48800,798-67-05484,에콰도르,충청북도 제천시 용두천로8길 11,064-0314-5556,,064-1300-1928,,,bellsouth.net,✔,,,,,,,"전동기, 발전기 및 전기 변환장치 제조업",,✔,,✔,,,,,,석백건,GWAG TAEHO,,남자,태국,,d32m.fz0ityon,,,✔,✔,os1e2i_6,googlemail.com,,,926-849630-256,미즈호은행,,,,✔,,,6,✔,✔,,,사람을,감상헌,YU SECHANG,파나마,010-0750-4214,,,충청남도 부여군 구룡면 흥수로453번길 34,,,,2026,,14,,<|SEAL|>,,,,✔,,,계획.,✔,,✔,,,,궁리하여,소시에테제네랄,5220-00-221643,성금채,,1972/9/16,,2026,4,,나류지,<|SEAL|>,,,,6,13
G0005,,옥기보,SONG EUNSEOB,036-12-04584,293-92-28979,러시아,대전광역시 서구 관저동 1725,063-6453-2433,전북특별자치도 고창군 고창읍 녹두로 1220,032-1794-6648,,rrjw_tan,iowa.gov,,✔,,,,✔,✔,,✔,,,,,,✔,"따위에서,",,,MO DOHYE,2042/5/13,여자,파키스탄,,d2jcixg0,,,,,ue1sjs9wjt9-,kth.se,✔,,598863-60-171749,,,,,✔,✔,✔,9,,✔,,,외에,김연채,SEO MUN-UBIN,,010-0064-0994,접촉하다.,,경상남도 진주시 문산읍 갈곡리 994,042-9116-9488,,,,2,22,,,✔,✔,,,,,도쿄,,,,,✔,,돌림띠,HSBC,766930-12-282644,음차준,부모,,010-8640-1825,2008,5,,국카일,<|SEAL|>,,TO6B9RR,2031,11,2
G0006,9646907755,황보요화,,,757-87-58029,,대전광역시 대덕구 석봉동 182-5,02-292-8954,경상남도 함양군 휴천면 송전리 360,044-2028-6035,064-7938-0286,t602dgy1xoc,cam.ac.uk,✔,,,,,✔,✔,,,,,,,✔,,나오는,강한,,SONG GYEONGJA,1926년 05월 06일,여자,요르단,✔,dhcebsmig9tu2,hushmail.com,✔,,✔,,,,,809-819-467546,중국은행,,,✔,,,,7,,,✔,,또는,박세창,YE YUDAN,몰디브,010-5310-7216,장편,연구원,,053-5426-3555,,,2010,1,7,,<|SEAL|>,,✔,,,,,,,,✔,,✔,,,,234-226-100782,현해일,형제자매,1978.11.19,,,5,14,조도성,<|SEAL|>,9598096521,T3TG6UQ,2010,,18
G0007,,손효주,GWAG HAE-YEONG,,457-53-85183,미얀마,제주특별자치도 제주시 추자면 예초리 157-1,,전북특별자치도 고창군 아산면 계산리 214-1,,02-836-7620,lv9syzt0i,,✔,✔,,,,✔,✔,,,✔,,,,✔,✔,,예방진찰치료,나태섭,IM GISEONG,2047년 12월 5일,여자,라오스,✔,ubv6ewl_4_g,howard.edu,,✔,,,,,,,,,,,,,,,,✔,,,것이,맹기용,,폴란드,010-2199-2423,할,CEO,,053-5250-6834,,,2040,3,10,최로시,,,✔,,✔,,✔,용어.,,,,,,,튼튼하게,중국은행,,송동의,,,010-8369-8239,2015,,,,<|SEAL|>,,,2038,4,
G0008,9606143258,허베리,,468-73-39703,,,충청북도 충주시 금봉대로 422,053-7923-0843,부산광역시 북구 구포동 1240-15,052-3044-9304,031-1136-8527,cgqe9f2,,✔,,,,✔,,,영화 및 비디오물 상영업,,,,,,✔,,,,남일구,GWON SOHYO,1904년 5월 7일,여자,,,d4f3aea,service.io,✔,✔,,,,,✔,683-839-576614,뱅크오브아메리카,✔,,,,,,,,✔,,,,,YUN SEUNGJIN,레바논,010-2336-4186,번,선임,충청북도 청주시 서원구 매봉로189번길 21-11,,,,2020,8,4,김희랑,,✔,,,,,,어근.,✔,,,,,✔,서로,토스뱅크,104-522101-05,,친척,,010-8712-2874,2026,2,20,곽강대,<|SEAL|>,1169054469,TSJVQ4Y,2011,,
G0009,,편윤실,,685-04-40386,652-84-63314,북마케도니아,서울특별시 성동구 행당동 15-6,02-308-2956,울산광역시 울주군 서생면 나사리 319-1,,,,,,✔,,,,✔,,"인형, 장난감 및 오락용품 제조업",✔,,✔,,,,,,염증.,,,,남자,우즈베키스탄,,,howard.edu,,,,nbvq9rqdh85,,,✔,356-458004-857,광주은행,,,,,,,,,,,,궤망하다의,위류가,WON IGYEONG,영국,010-6577-7734,20묘의,,전북특별자치도 완주군 봉동읍 낙평리 858-1,,✔,✔,2011,,,호서률,,,,,,,✔,가지,,✔,✔,,,✔,한꺼번에,,518-09580507-94,,손자녀,,,2011,,,,<|SEAL|>,9871503081,TU4AIX0,2039,1,16
G0010,1165798657,황보솔립,JEONG NAM-YEON,,,오스트리아,,,충청남도 서천군 장항읍 창선1리 203-4,052-2835-9422,061-1157-1340,,fau.org,,,✔,,✔,✔,✔,증권 및 선물 중개업,,✔,✔,,,,✔,하나.,국제,,YE HUIGYUN,1930.03.08,,,✔,a0co-gc5k,,,,,r8edmuhjm,bolt.com,✔,,,,✔,,,,,✔,22,✔,✔,✔,,불초초,,GAN DAM-ON,,,사용한,회장,경상북도 영주시 가흥동 1980,,✔,,2003,9,,,✔,✔,,✔,✔,✔,,숨기고,,,,✔,,✔,,한국수출입은행,009-417440-304,범일현,,235-92-97428,010-9284-6777,2014,8,21,봉서람,,1674887219,TPZQ8N7,,6,8
G0011,,,,675-31-07883,767-45-98680,,충청북도 청주시 상당구 용담동 203-5,033-8723-6123,,032-4505-2013,061-8771-9654,i2j5d2695c,purdue.edu,,✔,,,,,,,✔,✔,✔,✔,,✔,✔,여러,,염령애,PI ISOL,2008.10.9,남자,,,zga0o79ho,chungbuk.ac.kr,,✔,✔,i8aj3ebbx_t_,bluemail.ch,✔,✔,6069-01-848673,,✔,,,,,,5,✔,✔,,✔,,임리에나,,카타르,010-1149-8879,의사로,프로젝트 매니저,,,,,2000,9,,,,✔,✔,,,✔,✔,,,,,,,,강조하여,,,문나흔,자녀,875-10-34388,,,,28,최서동,<|SEAL|>,1405051622,TDK5U9W,,10,
G0012,,,JE GAL-YEONGLO,018-17-22777,,아랍에미리트,대구광역시 서구 고성로 124,061-7932-6382,,02-748-6096,,rvy0xt.15-6w5,,,,,,✔,,,비알코올 음료점업,,,,,✔,,,이르는,꽉,,KIM JIJA,1953.1.8,남자,인도네시아,,ikaazr2oc,hanmail.net,✔,✔,✔,,ostmail.com,✔,,,,,,,✔,✔,✔,30,✔,,,,고치는,,JIN YESIN,,,말.,,인천광역시 부평구 산곡동 317-168,062-0283-1397,,✔,2035,10,,오갈렙,<|SEAL|>,,,,,,,모양으로,,,,,,✔,,한국수출입은행,090254-51-448053,,딸,304-96-12850,010-6999-3715,,,15,라도률,<|SEAL|>,1620785934,,2008,9,16
