image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,018,019
G0000,어별리,용평리조트,유위준,2004,8,6,사수한,<|SEAL|>,갈아시,,계약의 중요내용,설명을 듣고 이해,2008,1,,송원성,<|SEAL|>,9315265111,
G0001,두경화,태영건설,,,11,23,공선홍,<|SEAL|>,문고유,,계약의 중요내용,설명을 듣고 이해,2036,,13,공사우,<|SEAL|>,1617997674,AUJ8FA1
G0002,,런던 베이글 뮤지엄 도산점,남비은,,2,31,왕영식,,연노훈,핵심설명서,계약의 중요내용,설명을 듣고 이해,2006,3,4,지남규,✔,1571470603,A2VHGFG
G0003,,오후청,당해란,,4,,방병혁,,,핵심설명서,계약의 중요내용,,,1,31,구필경,<|SEAL|>,1182850778,AOUAU43
G0004,곽강찬,삼성화재,백사디아,2029,7,22,허원기,<|SEAL|>,송제임,핵심설명서,계약의 중요내용,,2010,8,,왕건훈,,1322255799,A71HC0Q
G0005,차현무,KX이노베이션,,2039,10,21,,✔,간아선,핵심설명서,계약의 중요내용,설명을 듣고 이해,2034,10,16,홍예본,<|SEAL|>,9288910543,
G0006,은황대,커먼그라운드,동두진,2024,9,,남궁가미,<|SEAL|>,방아나벨라,,계약의 중요내용,,2040,7,30,사상나,<|SEAL|>,,
G0007,황설해,,오정담,2014,7,3,원체원,<|SEAL|>,,핵심설명서,계약의 중요내용,설명을 듣고 이해,2029,,20,송새로운,<|SEAL|>,9223108341,A3ZHSA3
G0008,인병도,딜라이드보청기,,2003,10,,은윤위,<|SEAL|>,원천하,핵심설명서,,설명을 듣고 이해,2031,4,16,,,,A71THRO
G0009,금상백,고요서사,상례은,,,28,서크리스티안,<|SEAL|>,피재서,핵심설명서,,설명을 듣고 이해,,2,,온온하,<|SEAL|>,1971793809,AV08NQR
G0010,왕영채,워너뮤직코리아,,2010,5,18,옥해희,,,핵심설명서,,,,,4,승병제,<|SEAL|>,,ACLYIEO
G0011,권권민,갑을그룹,온유곤,2003,,,범설애,✔,장규식,핵심설명서,계약의 중요내용,,,7,,한민홍,,1108279679,AIKN5JZ
G0012,동다미로,닐슨미디어 코리아,,2018,7,27,,✔,주래윤,,계약의 중요내용,설명을 듣고 이해,2004,11,16,,<|SEAL|>,1938591237,AFTVROZ
G0013,,개화옥,라세문,2029,,,구슬라,,유설해,핵심설명서,계약의 중요내용,,,9,,남궁보림,<|SEAL|>,,AAWKBPP
G0014,범하노,에이치엘비생명과학,,2002,8,8,,<|SEAL|>,정인효,,,설명을 듣고 이해,2029,9,,용무성,<|SEAL|>,9234390466,AAKIFZO
G0015,상온설,수락산,어은희,2009,4,,팽훈희,<|SEAL|>,,핵심설명서,계약의 중요내용,,,1,2,권용기,<|SEAL|>,9346664604,ATZ11NR
G0016,,,,,1,18,,<|SEAL|>,,,계약의 중요내용,설명을 듣고 이해,2036,,,시형관,<|SEAL|>,1636425780,AWODCGA
G0017,,,국유솔,2012,9,,염재하,✔,설남혁,,계약의 중요내용,,2022,,,선우솔빈,<|SEAL|>,,
G0018,염행자,카카오프렌즈 강남 플래그십 스토어,,2013,,17,이도영,<|SEAL|>,간신겸,,계약의 중요내용,설명을 듣고 이해,2022,1,15,양비주안,<|SEAL|>,,
