image,000,001,002,003,004,006,008,009,010,011,012,013,014,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,065,066,067,072,073,074,075,076,091,092,093,094,095,096,098,099,100,101,102
G0000,9513101848,,mo-yang.,715-89-58215,588-47-33680,에콰도르,서울특별시 금천구 시흥동 796-31,053-0140-9656,강원특별자치도 횡성군 둔내면 둔방로9번길 9,,055-6802-4970,z5zsxvu5eh,,,EOM NEULSALANG,2001.12.28,남자,말레이시아,✔,etf5jj2yavu,imperial.ac.uk,,,✔,,mail.kr,,,445-658740-00185,부산은행,,,,,,,12,,,,,임피던스의,위나단,YUG YEONHAG,덴마크,010-0332-1536,점을,본부장,2011,3,,가영관,<|SEAL|>,중국공상은행,065-61255513-77,서문중건,딸,,010-7378-1970,1060123403,EVR8P72,2035,,31
G0001,1494294750,유나이티드제약,,806-51-30139,321-97-14545,,전북특별자치도 군산시 대야면 접산리 905-2,,전북특별자치도 익산시 용동면 화왕로 164-42,,061-7158-8567,,,금정헌,HWANG BOSEUNGHYEOG,2041.02.22,,,,kyaba649b5f,ameritech.net,✔,,,zmf5v-f8d,chosun.ac.kr,,,,국민은행,✔,✔,,✔,,,,,,,,"불이행,",어홍,,네팔,,,,2011,,,서문민회,<|SEAL|>,뱅크오브아메리카,415-65402483-54,백남희,부,056-29-83663,,9629073973,E6GXINA,2033,11,
G0002,1311468879,,,,445-99-41378,독일,전라남도 곡성군 곡성읍 신월길 17,064-8158-4439,경상남도 거창군 거창읍 창남2길 48,064-8787-7592,,ef2pycqnak_l6,monash.edu,팽미야,,,여자,네팔,✔,u46znrio,cyworld.com,,,,,glover.com,,✔,027-621-344433,중국공상은행,,,,,✔,,,✔,,,,,채재도,JE SEONGJAE,헝가리,010-7186-8293,따돌림을,파트장,2003,1,8,갈광혁,<|SEAL|>,,923-928089-53,봉혜겸,자매,939-87-87011,010-7431-4083,,,,4,18
G0003,9202831972,손맛김밥,,,457-25-27769,이탈리아,,043-9573-4211,,,051-6714-2775,,,,BAG SUN,,여자,,,gyjeulmk,freenet.de,,,,bk5won6,dmu.ac.uk,,,163465-92-330893,대구은행,,✔,,✔,,,16,,✔,✔,,"떡에,",구홍은,,이탈리아,,따위를,COO,2016,12,14,용조현,<|SEAL|>,중국공상은행,,,기타,,,1141870468,EFHUP8Q,2019,5,10
G0004,,,dopo.,010-39-99495,217-09-60927,동티모르,전라남도 영광군 염산면 천년로3길 45-2,031-7027-0549,대전광역시 동구 중교로 116,051-1028-0058,043-8768-5986,,,경홍아,PAENG NAGEUM,,남자,베트남,,,korea.ac.kr,,,,pdhzm75ql4,,✔,,415-590-830505,신한은행,,,,✔,,,12,,,,,나는,,OG CHAE-EUM,오만,010-7025-5009,빼뚤거리다의,연구원,2037,4,16,,✔,,,,조부모,090-15-81562,010-4258-6221,,E8VCDSO,2027,1,
G0005,,막내회센타,,,415-81-82027,이라크,,051-1659-4744,,055-6153-6186,042-4135-9879,n100nr.7uvwlz,kakao.com,가조현,GYEON NOBA,1951년 03월 05일,남자,,✔,w5glbjmnqhyz8,oakland.edu,✔,,,poncvwk,,✔,,,수협은행,,,,,,,23,✔,,,✔,본래는,명현조,YUG GIDONG,,,홀홀02,전임,2032,7,,금태미,✔,JP모건체이스,371-399-107598,용성나,손자,2012-03-22,,9664303547,,,1,
G0006,1777149550,JBJ95 COMPANY,,525-99-67808,253-72-63649,,,032-8713-4653,서울특별시 강북구 도봉로20가길 74,064-8674-2186,,gd5uiugh,gmx.us,선유엽,DANG DONG-IG,1952.8.22,여자,몬테네그로,,po_cnlcfdoa95,,,,✔,igw2nkxzh,,,,9687-30-542442,,✔,,,,,,,,,✔,,압력에서도,곽민근,U WANJIN,,010-5098-9988,시.,센터장,,10,24,,<|SEAL|>,모건스탠리,,금예올,형제자매,2015년 05월 14일,,9757117578,,2031,5,
G0007,9013479077,에듀스파,,652-46-51162,,우루과이,충청북도 진천군 진천읍 중앙동2길 18,,경상북도 김천시 남산동 40-4,,061-5882-3193,pj4b8l.mreoh7,postech.ac.kr,,,1993/6/15,,,✔,,mail.kr,,,,,orange.fr,✔,,438-253029-33397,전북은행,,,,,,✔,,✔,✔,✔,,역시,권규일,JWA YEONGGWANG,체코,010-4467-3623,크랭크업,,2016,7,28,천정금,,DBS은행,253193-39-156276,태여재,조부모,1981-12-25,,1805672530,EX52EUK,,,
G0008,,티몬,sasim-ina,,212-62-95667,,,041-9988-2719,경상남도 거창군 남하면 대곡길 49-6,041-7049-7640,041-5865-8012,nvz4y3hzc27wu,prodigy.net,김카일리,O DONGSEONG,2015.04.19,,페루,✔,wk6otnh3q2,hanmir.com,✔,✔,✔,,citizen.seoul.kr,,✔,184-02564174-03,ANZ은행,,,,✔,✔,,,✔,,,,변신술에,안명오,BAN SEUNGLO,,010-7645-0642,,,2026,4,,선우이로아,<|SEAL|>,,,손다설,손자,1952년 03월 04일,010-9182-0853,,,,,
G0009,9622559052,한일철강,geuneun,650-37-48465,638-20-50663,쿠바,,064-6741-3882,,053-4130-8621,,wo16wqoswh,live.com,반정필,TAG DAMHU,,,인도,,vot79yy5_z,,,✔,✔,un1wrm8muknjb,hunter.cuny.edu,✔,✔,,한국씨티은행,✔,,,,,✔,,,,,✔,,,GWON TAEMUN,,,작용에,CFO,2008,7,6,이성오,,JP모건체이스,,,부,,010-6986-5372,9367914479,E7IX0LX,,,10
