image,001,002,003,004,005,006,007,008,009,010,011,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,053,054,100,101
G0000,남궁채적,SONG SELOM,2005/9/17,남자,,,78-80-005091-93,브라질,경상남도 진주시 남성동 1-11,,,,✔,,icmail.net,,,dl.39zunc,london.com,,838491-75-009266,,✔,,,,,,,11,✔,✔,,,현대칼국수,,812-37-67302,자연과학 및 공학 융합 연구개발업,031-223-3011,,,서울특별시 송파구 마천동 136-11,,,,,,,1178284233,ELCVWYT,✔,✔
G0001,엄홍민,,1989.10.3,여자,서울특별시 동대문구청장,2030/6/10,26-16-270906-05,페루,경상북도 구미시 도개면 용산3길 136,경상북도 안동시 녹전면 구송리 548,010-6052-2489,,,,byu.edu,,,v49dn9xw.7v2u,cantab.net,✔,558-82296664-77,,,,,✔,,,,10,✔,✔,✔,✔,,1963.03.26,008-44-21867,,,,,,,,✔,,,✔,9495757992,,✔,✔
G0002,추여울,AN SUHAE,2032년 2월 8일,남자,서울특별시 양천구청장,2001년 02월 22일,,사우디아라비아,,경기도 화성시 비봉면 양노로109번길 22,,,,,protonmail.com,,✔,,glover.com,✔,000-17701991-68,한국은행,,✔,,,✔,✔,,21,,✔,,✔,AKOM (애니메이션 스튜디오),2050년 11월 03일,,지정 폐기물 처리업,052-117-7236,,✔,,,,,✔,,,1439485461,,,✔
G0003,하윤창,SIM CHANHAENG,1901.07.17,여자,충청남도 공주시장,1957.06.10,45-20-133674-20,니카라과,인천광역시 옹진군 백령면 연화리 355-1,경기도 용인시 수지구 신봉동 544-6,,,,kod-sn3lsklw,,,,lpd754dhhbh,iu.edu,✔,,하나은행,,,,,,,,4,,✔,,,연남 5701,1963.6.27,338-19-67272,,,,✔,,,,,,,,1189183940,EW8AYST,,
G0004,배공명,HAM JAEGSEUN,1912.5.8,남자,,1973.12.12,,,충청남도 아산시 신창면 서부남로667번길 140,경기도 가평군 가평읍 금대리 330-8,,,,vxxsp9vqc5,dreamwiz.com,,✔,ms300u2p29,,,388915-61-094517,DBS은행,✔,,,✔,,,,,,,,✔,,1977.07.13,374-62-92340,,062-6906-2974,,✔,,✔,,✔,,,,,EBX0HDC,,
G0005,권평,,1931-02-14,여자,,1949.10.19,,폴란드,광주광역시 동구 동명로25번길 10-10,경상남도 김해시 진영읍 죽곡리 671,010-0235-9136,✔,✔,,,,✔,cd8c35.ks,jredmail.com,,,중소기업은행,✔,,✔,,,,✔,,,✔,,,ㅎㄷ카페(홍대카페),,886-42-03176,선박 및 수상 부유 구조물 건조업,,,,경기도 안산시 단원구 첨단로 539),,,,✔,✔,,1284481374,,✔,
G0006,엄윤택,,1985/11/22,남자,서울특별시 송파구청장,1967.9.11,74-86-901624-15,일본,강원특별자치도 강릉시 강릉대로 151,충청북도 충주시 살미면 중원대로 2530-12,010-9270-1730,,,mcw1c4t,bellsouth.net,,✔,p6c8bu7bu,jredmail.com,,292-148-198804,미즈호은행,,,,✔,✔,,,29,✔,,,,중앙일보,1988-06-05,413-28-07410,,051-6645-2364,✔,,,✔,,,✔,,,9308164624,EQECCXV,✔,
G0007,당서렴,JI DAM-IN,1946.8.8,여자,대구광역시 동구청장,1913.10.27,21-20-949417-70,포르투갈,경상남도 창원시 진해구 경화동 1147-13,,,✔,,akuqlq97,okc.edu,✔,,bvdyt48,dartmouth.edu,,174340-70-660004,중국공상은행,,,,,✔,,,29,✔,✔,,,,,476-56-01888,목재 가구 제조업,,,✔,전북특별자치도 김제시 용지면 용수3길 13-11,,,,✔,,,1425384622,,✔,✔
G0008,채감사,HAM YEOHYANG,1911년 11월 2일,남자,서울특별시 중구청장,1970년 6월 12일,16-30-750918-51,튀르키예,,강원특별자치도 홍천군 서면 모곡리 275-6,010-8481-7094,,,,nate.com,✔,,g1hpm.z,,✔,671-594346-49195,부산은행,,✔,,,,,✔,5,,,,,금양인터내셔날,1915.2.5,,,,✔,,충청남도 보령시 천변남길 200-6,,,,,✔,✔,,EO9255F,✔,
G0009,,WON JIGON,2003-08-11,여자,인천광역시 미추홀구청장,1995/3/25,63-58-322858-52,쿠웨이트,,,010-4205-9265,,,tsy.voub9e4,berkeley.edu,,,sftimne81lf4,hanyang.ac.kr,,973-064790-163,중국은행,✔,,,,✔,,,7,,,,,,2002-01-19,874-45-11086,,062-2544-0557,,,,,,✔,,,,9535035677,E3XZUCN,,
