image,000,001,002,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,053,054,100,101,102
G0000,1445228686,당봄,BAN CHANGSEOG,,,2007년 04월 05일,,코스타리카,경상북도 안동시 송현동 103,충청남도 공주시 영명학당2길 31-1,010-9594-8668,,a_ia0ckt,purdue.edu,,,,,,,,dreamwiz.com,,,DBS은행,,,,✔,,,,16,✔,,,,한우리(본점),1964.10.22,,,055-3791-4407,,,경상북도 칠곡군 가산면 천평리 365-1,,,,✔,,,1501818486,HETPTL6,,6,15
G0001,9355537970,백택진,,남자,,1928.06.08,03-88-143002-31,,,서울특별시 용산구 효창원로 257-2,,,,hanmail.net,✔,,,cam.ac.uk,✔,,tpotov3pio,nate.com,✔,,DBS은행,,,,✔,,,,,,,,✔,경춘선숲길,2008/5/6,227-38-84510,,063-8655-9855,,✔,강원특별자치도 강릉시 송정동 39-4,✔,✔,,,,,1012196813,H6PLAWC,2039,9,22
G0002,1806346792,,,,부산광역시 동구청장,,90-03-256545-65,,서울특별시 성북구 정릉동 712-69,대전광역시 유성구 덕명동 594-1,010-6540-3666,052-5720-9542,,,✔,,,naver.com,✔,✔,,okc.edu,,733-577873-965,케이뱅크,✔,,,,,,,9,,,✔,,한국천연가스차량협회,,078-46-85267,,051-9109-6723,,,전라남도 장성군 황룡면 월평리 87-18,,,,✔,,,,,2021,7,25
G0003,9275535538,,SEOL SA-YAKA,남자,충청남도 청양군수,,77-42-748502-94,말레이시아,충청남도 논산시 가야곡면 삼전리 835,서울특별시 양천구 목동중앙남로14길 9-14,010-1840-5351,033-9724-8460,,gsu.edu,✔,,zmefka8,,,,l4tiyci,,,592-914224-04,대구은행,,,,,✔,✔,,,,✔,,,경동시장,1950-08-29,,인쇄회로기판 및 전자부품 실장기판 제조업,032-672-1373,,,경기도 가평군 북면 화악산로 620-14,✔,,,,,,9963848626,,2010,11,
G0004,9166066655,음예량,JEON SILANG,여자,세종특별자치시 집현동청장,1988년 10월 10일,,덴마크,,경기도 구리시 교문동 339-57,010-4951-2752,055-1887-5857,tq817rez283,aol.com,✔,✔,p-kt9eka_,airmail.net,,✔,ayqfq25,iowa.gov,,1547-08-561608,중국공상은행,,✔,,,✔,,,,✔,,,,해치홀,1955-01-01,301-22-31445,"날붙이, 수공구 및 일반 철물 제조업",02-188-8196,,,전북특별자치도 부안군 부안읍 동중리 321,,✔,,,,,9777581993,,2023,6,17
G0005,1149053531,,TAE HUIJA,,세종특별자치시 한솔동청장,2007년 5월 13일,04-02-697531-44,덴마크,충청남도 금산군 금성면 하류리 620-4,경상남도 함양군 안의면 안심길 8-11,010-8523-1817,,kn639chpqgiz,alumni.harvard.edu,✔,✔,,offmail.com,,,lfomilv,,,618-000666-06579,하나은행,✔,✔,,,✔,✔,✔,,,,,,쌍용정보통신,,928-13-16064,"컴퓨터 및 주변장치, 소프트웨어 도매업",042-5013-8728,,✔,,✔,✔,✔,,,,1578138431,HRCIV01,2035,11,22
G0006,,신희래,HA MYEONGSE,남자,세종특별자치시 바른7길청장,,95-94-030219-20,핀란드,,,010-9702-6199,,,japan.com,,✔,ulym-_zawnln,dmu.ac.uk,✔,,k8908d-ge22tj,javeriana.edu.co,✔,,소시에테제네랄,,,,,✔,,✔,,,✔,,,라본느타르트,1932.2.17,,예술학원,043-9022-1960,,,충청남도 논산시 부창로72번길 5-5,,,✔,✔,,,1482282959,HQC3LNO,,12,14
G0007,1480937215,서문만기,,남자,,1946-06-20,02-49-050592-06,,경기도 여주시 연양길 53,경상북도 의성군 춘산면 금오길 250,,033-1263-8800,z0rpqvr5dy2t_,,,,dvvujk8hx9bo,,✔,✔,zp7eq5lge-z,company.co.kr,,226-693585-286,,✔,,,✔,,✔,,6,,,,✔,빙그레,1928.12.03,215-42-94774,"철강 압연, 압출 및 연신제품 제조업",041-6626-9951,✔,,,,,✔,✔,✔,,,HT9RNIZ,2034,4,
G0008,1521638604,함상정,OG BIGANA,,충청북도 영동군수,1908년 03월 16일,76-98-765207-15,몬테네그로,서울특별시 금천구 독산동 881-26,경상북도 영덕군 남정면 원척리 183,,,,dr.com,✔,,w8sn0ya5te.c-,hanmail.net,,,yisz-onb-35j,,,902-823-545736,,,✔,,✔,,,✔,,,✔,✔,,한국외국기업협회,,,,032-2983-3140,✔,✔,,,,,✔,,✔,,,2000,10,31
G0009,1669939687,단루야,,남자,,1964.4.15,96-23-867729-95,오만,전북특별자치도 정읍시 이평면 장내리 787,경상남도 밀양시 상동면 상동로 210-126,010-5817-2454,051-8292-4002,t5adat8gb9,daum.net,✔,✔,k4phs9zv,,✔,,zathn6wyt-o-,netian.com,,567-618763-854,소시에테제네랄,✔,,,,✔,,,29,,✔,,,장수식당,2040/2/26,944-51-99221,,031-3257-0542,,✔,,,✔,,✔,✔,✔,1066925802,H4E7BHO,,11,
G0010,9999272963,연양혜,YEOM JIGWAN,여자,,2041.3.2,21-23-364746-26,,경기도 평택시 평택동 185-281,,010-3071-2473,062-4696-6374,fq2pbygz4b.n,istanbul.edu,,✔,u2hovnlj,kth.se,,,d7rzz17,liverpool.ac.uk,✔,556-965323-17469,,,,✔,,,✔,,23,,,✔,✔,사리원,1972.02.03,,종교 단체,063-9558-9431,✔,,,,,✔,,✔,,9539799631,,,,
