image,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,091,092
G0000,✔,✔,,,,✔,나누어,,,✔,✔,✔,✔,,꼬끼오,,회장,전라남도 완도군 완도읍 군내리 810-10,051-0806-6112,6,,,,,,,,,✔,✔,,✔,,,✔,✔,,✔,,✔,,✔,,✔,,,✔,,,,이른다.,,,,,,,✔,,,,토스뱅크,,원두희,,,010-2780-0059,2007,8,18,윤산다라,<|SEAL|>,,,1937년 5월 7일,북마케도니아/여자,CEO,허희훈,<|SEAL|>,,1,10,빈부빈,,9702205548,
G0001,,✔,,,,,백성에게,,,,,,,✔,대한타이어산업협회,허하여,,서울특별시 영등포구 문래동1가 79,064-7666-4053,10,1559,,✔,,,,✔,✔,✔,,,,,,,,✔,✔,✔,✔,✔,✔,,✔,,✔,,✔,,,,,,,✔,✔,✔,,제도를,,,,653728-06-168714,변세엽,자매,1963년 4월 1일,010-9279-4221,,1,,,✔,피홍석,I MANA,1917.6.12,,팀장,소첼시,,2016,3,31,남궁길은,✔,1379268297,T31Q11K
G0002,,✔,,,,,충돌할,,,,✔,,,✔,우리빛깔공방,우리나라,,경상남도 창원시 마산합포구 홍문동 2-6,053-1827-9895,,7527,,✔,,,✔,,,✔,✔,,,,,,✔,✔,✔,,,,✔,,,✔,,,,,,안에서,✔,,,,,,✔,하고,,✔,,4397-67-528016,,,234-61-80099,,2040,,,,✔,,YANG SEONGHO,2007.03.25,카자흐스탄/남자,,,<|SEAL|>,,2,3,양려화,<|SEAL|>,1248798149,T9RYRJ0
G0003,,✔,,,,,요격하다01,,,,,,,,[백년가게] 뚱뚱이할머니집,따위가,차장,경상북도 상주시 모서면 소정리 116-2,032-6245-1462,15,,✔,,,✔,,,✔,,,,✔,✔,,,,,✔,✔,,,,✔,,✔,,✔,,,✔,배.,,,,,,,,헴(heme,,,중소기업은행,4493-98-886047,좌성온,기타,081-51-95295,,2005,8,24,심순종,<|SEAL|>,소레은,IM GEONHU,1917.12.3,아프가니스탄/남자,CIO,음승태,<|SEAL|>,2009,8,21,서문혜윰,<|SEAL|>,1304416300,
G0004,✔,,,,✔,,길이나,,,,,✔,,,어린이대공원 꿈마루,일을,선임,대구광역시 북구 노원동3가 243-3,044-1025-8079,21,1484,,,,,✔,,,,,,,,✔,,,,,,,✔,,✔,,✔,✔,,,,✔,,,,✔,✔,,✔,,난,,,한국은행,074-177434-26662,,모,1959년 2월 10일,010-7031-3636,2007,11,11,염로훈,<|SEAL|>,사공효상,,2049년 03월 29일,폴란드/여자,,승규단,<|SEAL|>,2035,10,,승제중,,,T47QWE5
G0005,✔,,✔,✔,,,가공을,,,✔,,,✔,,능동미나리,가르쳐서,부문장,경상북도 영천시 금호읍 신월리 560,02-128-8266,10,4242,✔,,,,✔,,,✔,,,✔,,,,✔,,,✔,,,,,,,,✔,,,✔,알,,✔,,,,✔,✔,오,✔,✔,미쓰비시UFJ은행,296-85365972-63,하반지,아들,161-07-73325,010-5160-9564,,,1,,<|SEAL|>,맹소랑,HYEONG GIGWANG,1928년 3월 26일,,CIO,당데보라,✔,2039,3,7,,✔,,
G0006,,✔,,,,✔,남달리,,,,✔,✔,,,현진,지급하는,,경상북도 김천시 용두동 264,,,1061,,✔,,,,,,,,,,,,,✔,✔,✔,,,✔,,,✔,✔,,,✔,✔,✔,떡.,✔,,,,,,,,,✔,,802-030646-47694,,조부모,824-35-12689,,2016,,7,김라온제나,,,SON LIN-YEONG,1995.9.23,튀르키예/여자,과장,,<|SEAL|>,2016,7,28,,<|SEAL|>,1810133590,T32XWCC
G0007,,,,,,,만한,,✔,✔,,,✔,,미림분식,,회장,경상북도 칠곡군 북삼읍 율리 584,033-4192-1478,,,,✔,,,,,,✔,✔,✔,,,,,,,,,✔,,,✔,,,,,,✔,,,✔,,,,,,,지도,✔,,,,시배준,기타,2018/8/29,,2026,10,15,제다흔,<|SEAL|>,감재민,PYEON SELON,1970.9.18,파키스탄/여자,차장,,<|SEAL|>,2039,3,,,✔,9468229890,TILRXBB
G0008,,,✔,,✔,✔,관하여,✔,,,✔,,,,당고집,제물을,팀장,강원특별자치도 삼척시 노곡면 여삼리 92,,27,7310,✔,,,✔,✔,,,,,✔,,,,,✔,,✔,✔,,,,,✔,,,,,,✔,나를,,,✔,,,,,퇴적암이,,,,636762-00-545398,방영종,,1904.9.12,010-4012-4996,,,25,,<|SEAL|>,,,1944.04.20,벨라루스/남자,본부장,명까리나,,,,30,심정대,<|SEAL|>,9835522881,T4OTHOW
G0009,✔,,,✔,✔,,상대하여,✔,,,,,,,한익스프레스,영처02,이사,,055-5450-8555,26,7392,✔,,✔,,,✔,✔,,,,✔,✔,,,,✔,,,✔,✔,,✔,,,✔,,,✔,,단섬유의,✔,✔,,✔,,,,조선의,,,모건스탠리,922-689-972111,,기타,2016년 07월 14일,,,,,남석휘,<|SEAL|>,설봉근,SEOG YUGEUM,,세르비아/여자,부사장,,✔,2018,8,30,표온슬,✔,9873341186,T2K6FSZ
G0010,,,✔,,,✔,설움,✔,,,,,✔,,미도파꽃집,활쏘기를,파트장,경상북도 영덕군 영덕읍 남석리 39-5,054-4885-7053,24,,,,✔,,,✔,,,,,✔,,,,,✔,,,,,,,,,✔,,,,,많이,,✔,,,,,,,✔,✔,하나은행,,,배우자,,,2016,,5,감오림,✔,현례미,,,쿠바/남자,실장,편석우,<|SEAL|>,2035,12,,여완주,<|SEAL|>,,
G0011,,,,,✔,,왕이나,,,,,,,,SK지오센트릭,,부장,,054-2252-4943,,,✔,,,,✔,,,,,,,,,,,,✔,✔,,,,,,✔,✔,,,,,수는,,,✔,,,,,소리.,✔,,DBS은행,,갈상제,손자,,010-8304-7069,,11,9,,,시부희,,1993/8/1,,,,<|SEAL|>,2027,9,,형기루,,,TRT1QW2
G0012,,✔,✔,,✔,,봉급이나,,,,,✔,,✔,국제앰네스티 한국지부,출발하다.,CMO,경상북도 경주시 안강읍 부곡길 25-92,044-3709-3944,16,1351,✔,,,✔,,✔,,,,,,✔,✔,✔,,✔,✔,,✔,,,✔,,✔,,,✔,,✔,바람이,✔,,,,✔,,,따끈,,✔,전북은행,,갈유야,자매,667-52-65905,010-4844-4257,2023,,,염가솔,<|SEAL|>,맹루이스,,2027년 08월 18일,이탈리아/남자,CFO,서문규영,<|SEAL|>,,9,1,경미혜,✔,9349692780,T3KAW8A
G0013,,,,,,✔,,,,,✔,✔,,,금강공업,얘기할,전무,경기도 고양시 덕양구 신원로2길 38-15,,10,3295,✔,,,,✔,,,,,,✔,✔,✔,,,,,✔,,,,,✔,,,,✔,,,위한,,,,,,,,막힘없이,,✔,한국산업은행,,,,,010-7639-5570,2029,2,,호산우,<|SEAL|>,소윤종,NO USIM,2049년 12월 8일,,CTO,주사우,<|SEAL|>,2003,,19,진채민,,1820731760,TFW8FZC
G0014,,✔,✔,,✔,✔,서.,,,,✔,,,,영춘옥,오도록,,부산광역시 해운대구 반송동 62-115,,22,1069,,✔,,,,,✔,✔,,,✔,,✔,,✔,✔,✔,,,,,,,,,,,,,이를,,,,,✔,,✔,,✔,,NH농협은행,2026-20-865886,,손자,352-17-85626,010-6204-7708,,,,복채언,<|SEAL|>,왕서률,SI LA-I-EON,1924.10.16,,연구원,소반지,<|SEAL|>,2027,6,20,인택연,<|SEAL|>,,TM0UWAC
G0015,,,,,,,어머니가,,✔,✔,✔,,,✔,[백년가게] 프랑세즈과자점,사용한다.,,전북특별자치도 전주시 덕진구 하가1길 24-8,,17,,✔,,,,✔,✔,,,✔,,✔,,,,✔,✔,✔,✔,✔,✔,,,✔,,,,✔,,✔,재자가인의,,,,,,✔,,시금칫국,✔,,수협은행,5788-54-368505,,모,,010-0340-0213,2007,,,손효태,<|SEAL|>,온예주,HYEON SEONG-IM,1957년 01월 19일,브루나이/여자,회장,라원학,,2037,1,,오동효,<|SEAL|>,1744498800,TTXFTXY
G0016,,,,,✔,,잘칵거리어,✔,,✔,,,✔,,,이룬,상무,충청남도 아산시 영인면 고룡산로259번길 24-12,02-920-8304,,,✔,✔,,,,,✔,✔,✔,✔,,✔,✔,,✔,✔,,✔,,,,✔,,,✔,,✔,,✔,관산성,,,,✔,✔,,✔,넣고,✔,✔,,510775-56-101100,금린희,기타,1902년 11월 29일,010-3016-8829,2040,1,17,,,견빛하늘,,1910년 06월 29일,북마케도니아/여자,부장,,,,5,,위예언,<|SEAL|>,9908725723,TA6DRRM
G0017,,✔,,,,✔,이르는,✔,,✔,,,,,경은상사,,,울산광역시 남구 삼산동 171-3,,13,,,,,,,✔,,✔,,,,,,✔,,✔,,,,✔,,,,,✔,,✔,,,종중의,,,,✔,,,✔,몸을,,,,728574-91-647341,,,249-58-43887,,2011,7,,온용오,,신세흔,,1971.5.12,투르크메니스탄/여자,실장,,,,4,21,변대근,,,T1G47LT
G0018,✔,✔,,,,,위하여,,,,,,,,,스칠,감사,서울특별시 강북구 인수봉로72길 31-12,02-420-9197,,9542,,✔,,,✔,,,✔,,,✔,,✔,✔,,,✔,,✔,,✔,,✔,,,,✔,✔,,,✔,✔,,,,✔,,많은,,,수협은행,955-923243-99010,최화준,기타,,010-1733-5754,2000,6,12,,<|SEAL|>,,NAM GUNGBONSEOG,2037년 08월 07일,,COO,,<|SEAL|>,2014,3,8,원승욱,<|SEAL|>,1819101456,TNOWNAO
G0019,,✔,,,,,,,✔,✔,✔,✔,,✔,쿠오카 성수,주머니,팀장,전라남도 여수시 돌산읍 금봉리 578,,11,,,,,,,,✔,,✔,,✔,,,,,,,,,,,✔,,,,✔,,,,비율.,,,,,,,,,,,미즈호은행,9285-70-688385,,,969-22-61704,,2029,9,24,엄리배,<|SEAL|>,선래민,IM LYUHAN,1991.11.06,,전임,육윤근,<|SEAL|>,,5,,,<|SEAL|>,,TL120H3
G0020,,✔,,✔,,,가치가,,,,,,,,롯데월드 아이스링크,,,,031-7385-6957,11,,✔,,✔,,,✔,,,,,✔,,,,✔,✔,,,,,✔,✔,✔,,,✔,,,,중앙으로,✔,,,,,,,,✔,✔,한국산업은행,442-677428-06,장호산,모,359-06-68925,010-5880-8760,,1,1,,,,,,미얀마/여자,CIO,,✔,,,,복올리비아김,<|SEAL|>,1987471126,T8E9CVW
G0021,,,,,,✔,보겠나.,✔,,,✔,✔,,,우신USA,얼굴의,COO,대전광역시 서구 갈마동 367-28,043-8426-4673,20,,,✔,,,,✔,,✔,,,✔,,,,✔,,✔,✔,,,,✔,✔,,,✔,,,,9월에,✔,,,✔,,,✔,정기가,✔,✔,소시에테제네랄,179265-11-651013,피규정,형제,2043년 8월 18일,,,11,,,<|SEAL|>,봉성재,,1954-03-21,브라질/남자,,하경랑,<|SEAL|>,2013,7,15,,✔,9326104543,
