image,000,001,002,003,004,005,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,103,104
G0000,1565435684,위건홍,GWAG SUP,,779-18-96384,1921년 04월 19일,인도,경상북도 안동시 남후면 무릉리 507,055-9404-5619,전라남도 장성군 삼서면 수양리 638-2,043-8327-1989,043-284-8415,svrkja7vy,nctu.edu.tw,✔,,,,,,,구조용 금속제품 제조업,,,✔,,✔,✔,,,따위가,감태모,O HOSIN,1907.08.31,남자,,,,,,,,dgzjv-8i5hb_y,,,,,카카오뱅크,,,,,,,15,,,✔,,시킴.,,WANG SO-UI,니카라과,2046/10/12,,짜거나,부장,경상남도 밀양시 산외면 다원2길 72,033-9209-7729,,,2012,4,19,채연영,✔,,,✔,,✔,✔,어근.,✔,,✔,✔,,,여러,,344-920-252745,,형제자매,,010-2880-1232,2005,11,16,,✔,1902124712,
G0001,,,MIN MUGEUN,,223-87-70072,1954-08-02,에콰도르,전라남도 목포시 옥암동 1237-3,,,053-8624-4508,041-8076-5432,,icmail.net,✔,,,,,,✔,기술 및 직업 훈련학원,✔,,,✔,✔,✔,✔,,되는,,,1908년 9월 13일,여자,인도,,,,,✔,,vo_jq.79q1s,istanbul.edu,,,673-19618079-22,전북은행,,,✔,,,✔,1,,,✔,✔,,,SI LYEONGSEON,,1957.9.13,010-9955-3202,치료,대리,경기도 안성시 보개면 종합운동장로 184,043-7293-8371,,,,9,,,<|SEAL|>,,✔,✔,,,,,,✔,,,,✔,못하면서,한국씨티은행,884-023-837983,명이삭,조모,1910년 10월 27일,010-5660-2150,2010,6,,승제이슨,<|SEAL|>,9441360460,
G0002,9671474904,,,,535-91-71644,1977.4.19,알바니아,,054-9161-0442,,,02-195-6167,i60mw96fvn,nyu.edu,✔,,,,✔,,,펄프 제조업,,,,,✔,,✔,지낼,빠지는,,YANG GWONNEUNG,2024.03.27,남자,보스니아헤르체고비나,,ho6lnlfk0m705,japan.com,✔,,,w9k-_dt0kszc,hawaii.edu,,,278-315450-44599,소시에테제네랄,,,✔,,,,12,✔,,,,할,,JU MIGYEONG,,1950년 11월 10일,010-7961-6850,하다,CTO,전북특별자치도 전주시 덕진구 유제로 45-13,043-9247-4569,,✔,2039,,7,,<|SEAL|>,✔,✔,,✔,✔,,또는,✔,,,,✔,,승부를,제주은행,,천예리나,,1973.07.20,010-4387-4144,2003,,,윤경제,<|SEAL|>,1381429019,
G0003,,노열매,,861-60-21479,,,,인천광역시 강화군 양도면 삼흥리 541-3,041-9037-7354,경기도 남양주시 화도읍 북한강로 1417-13,043-8883-3576,,knzj0-m4gr8h,college.harvard.edu,,,,✔,,,,해수면 어업,✔,,✔,,,,,안근02,,,MYEONG INSEOB,2005년 08월 11일,남자,,✔,ody-bjbb_,fau.org,,,✔,mrsfg-0_bs,foxmail.com,,,,,✔,,,,✔,✔,22,,,,,추석에,제갈줄리아,GAM SYALLOS,요르단,1971년 07월 22일,,,실무자,강원특별자치도 속초시 교동 636-54,062-3928-6231,✔,,2001,3,,탁민진,<|SEAL|>,,,✔,,✔,,,,,,,✔,,,중국은행,,서문애원,배우자,1912.4.29,010-0275-1755,2022,10,2,간원설,<|SEAL|>,9685420005,SIYRI2T
G0004,1181995590,,,,380-18-34160,,브라질,강원특별자치도 삼척시 근덕면 용화길 28-17,,서울특별시 서초구 방배동 769-9,041-0405-2573,052-2928-6949,,,,✔,,✔,,,,그 외 기타 사업 지원 서비스업,,,✔,✔,✔,,✔,누런빛을,,온에스텔,SIN TAEG-YEON,,여자,대한민국,,e1xkel3p02.s3,,,✔,,,,,✔,767-602-483514,NH농협은행,✔,,,,,✔,,,✔,✔,,,황보율성,IM SEODAM,,1943.10.17,,,감사,충청남도 아산시 선장면 신성길 24,043-4328-9187,✔,✔,2000,,19,,<|SEAL|>,,,,,,,,,,,,✔,,위치하는,ANZ은행,701-228739-15,범흥주,친척,,010-1230-2323,,6,,서로을,<|SEAL|>,9765295305,SUOMSPV
G0005,1317956829,,,690-62-78042,314-94-27533,1911년 10월 12일,,강원특별자치도 철원군 갈말읍 명성로 20,052-7594-0865,경기도 오산시 금암동 494-4,041-1646-1960,054-4208-0832,,jourrapide.com,,,,,,,,자연과학 및 공학 융합 연구개발업,,✔,✔,,✔,,✔,향중부로,,남궁여나,HEO HO-IN,2043.4.27,여자,이란,,,,✔,,,cqsd21mpoyqvo,daum.net,,,,,,,,,,✔,10,,,,,하면서,,MOG GUG,레바논,1988/10/23,010-5584-0014,"중광단을,",실무자,경기도 포천시 소흘읍 초가팔로 49-54,,,✔,,2,14,선우소리엘,,,,✔,✔,✔,,브라반트에서,,,✔,✔,,,,신한은행,461-985172-43,피리리카,부,108-20-28957,010-7820-5095,2025,3,6,,✔,9841640917,SJ9O0EY
G0006,9563314511,서로빈,SON HYESONG,,032-53-73842,1990.01.23,,전북특별자치도 남원시 성황단길 59-13,055-7751-4273,강원특별자치도 횡성군 서원면 창촌리 207-1,043-4397-9203,,kzpb1nh,hanyang.ac.kr,✔,✔,,,,,✔,,✔,,✔,,,✔,,때,춘방.,단성음,YEO CHUNGSIN,1921.06.01,,,,,cantab.net,✔,,✔,,opera.com,,,,,,,✔,✔,,,30,,,✔,,되게,,,세르비아,1977년 5월 13일,,따위를,프로젝트 매니저,,,,✔,,2,10,사공단단,✔,,,,✔,✔,,,✔,,,,,,,수협은행,,서채연,배우자,013-22-70117,,2001,,25,구희헌,,,
G0007,9790395451,복송화,JO ELLISU-A,623-17-97372,251-79-68406,2045년 10월 21일,,충청남도 금산군 진산면 화엄로 503-3,02-114-0164,,,033-4392-7640,rh6s2z7rxl8g7,kth.se,,✔,✔,,,✔,,건축 및 조경 설계 서비스업,,✔,✔,,,,,,,조무관,EO CHAEHEUN,1923.09.24,여자,니카라과,,nas791r,,✔,,,lut.qq.jp7a,dr.com,,,,뱅크오브아메리카,✔,✔,✔,,,✔,20,,,,,리를,,BEOM YEONSEOG,네팔,1913년 7월 9일,,상태를,연구원,전라남도 완도군 군외면 청해진북로 556-77,02-517-9828,,✔,,7,2,서지남,<|SEAL|>,,,,,,,,,✔,✔,,,,,제주은행,3456-43-582088,,자매,1983년 06월 11일,010-3400-6959,,,,왕승미,✔,,S09U2SV
G0008,,모사라,JE GALJYOSEPIN,003-40-09991,,2013-10-06,,경상북도 봉화군 물야면 가평리 219,055-7435-9516,,,054-5746-1729,,me.com,✔,✔,,✔,✔,✔,,식료품 소매업,✔,,✔,,,,,골라,,예효제,HEO WONHUI,,남자,포르투갈,,wo69trk-_4z0,,✔,✔,,,myway.com,,,201-205-959017,,✔,,✔,,✔,✔,,,,✔,,소련의,길일라,,라오스,1938/12/22,,,,전라남도 강진군 병영면 중가길 16-1,,,,2032,8,29,함설빈,,,,,✔,,,"은어로,",,,,,,✔,평안북도,,889-847-974623,명재황,,2007.01.26,,2012,12,6,홍무진,,,SDS1FMT
G0009,1980816171,선우재나,,,134-86-55091,,,경기도 부천시 원미구 석천로16번길 63,044-9012-0589,,032-5323-1086,,,ibm.net,,✔,,,,✔,,일반 및 생활 숙박시설 운영업,✔,,✔,✔,✔,,✔,상으로,높이는,반석하,,,남자,인도,,vyig33dm_9,fantasymail.com,✔,,,,eml.cc,,,711-996032-77,,,✔,,,,,23,,,✔,,,,BAE GUHWAN,,,010-9742-5195,나타내는,,울산광역시 북구 새장터3길 14,042-0154-3229,,,2024,,,옥아침,<|SEAL|>,,✔,,,✔,✔,넉넉히,,✔,✔,✔,✔,✔,거국일치의,모건스탠리,004-185759-29,지륜호,,2004.6.26,010-9157-7445,2022,2,30,유영관,<|SEAL|>,,
