image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,060,061,065,066,068,069
G0000,위시지,1963-10-20,쿠웨이트,ON GEON-YEOB,010-6289-5783,,충청남도 공주시 반포면 왕흥장악로 829,064-5832-4746,,처치가,CIO,,전라남도 나주시 세지면 성산리 169-1,,,1927-12-11,대만,,,부,부산광역시 사상구 엄궁동 465-8,054-4747-3949,SK이터닉스,,CEO,8,,,,,프랑스,O SEUNGCHEON,010-6398-2109,조모,서울특별시 강서구 화곡동 904-13,033-2140-0703,,,실장,4,충청남도 서산시 인지면 둔당리 304-1,,"2,190,000",9,,✔,,✔,,,,,2015,12,2,,✔,표정인,<|SEAL|>,,,9603448136,LXACF00
G0001,옥광국,1911-02-26,이라크,,,,,031-6757-7796,,과달라하라0,,20,,041-2569-0473,석필,,스페인,GAN SEO-YO,010-5728-5068,손녀,전북특별자치도 완주군 고산면 오산리 735,032-2342-9506,심텍,방향족,부사장,30,인천광역시 남동구 남동대로370번길 85,052-5754-7377,,1930년 10월 07일,니카라과,TAG HOEMIN,,자녀,전라남도 완도군 청산면 도청3길 3-26,,,그가,CFO,22,,032-3105-3819,96480000,,,,✔,,,,,,2018,,13,,,,<|SEAL|>,목이온,<|SEAL|>,,LPGXYQW
G0002,,1967.2.16,브라질,,010-2114-7850,,인천광역시 강화군 선원면 창리 592-3,054-371-4949,교회오빠,참석하지,COO,31,대전광역시 동구 옥천로351번길 34,063-9054-0838,연영세,,카타르,GWAG BEOMGYO,010-8518-7644,,경기도 구리시 검배로 105,052-0921-6316,고려대학교,작은,부회장,16,충청남도 공주시 정안면 사현리 522-2,,,,쿠바,TAG PUL-IP,010-6874-5494,형제,,044-553-8523,코원시스템,남,전무,24,경기도 수원시 팔달구 팔달문로 180,051-1457-8525,"7,250,000",6,✔,,✔,✔,,,,✔,2022,,2,팽동아,<|SEAL|>,,<|SEAL|>,,<|SEAL|>,1621106328,
G0003,소휘민,1924.06.26,크로아티아,DANG LENI,010-5098-4970,,,043-2129-7502,태릉국제스케이트장,나이가,,31,전라남도 완도군 보길면 부황리 1-33,064-1691-3814,맹준화,1925.10.13,헝가리,JE GALHAENALI,010-5635-6038,부,경기도 이천시 마장면 작촌로 222-16,061-2392-8514,도림,피셔04,,6,경상남도 창원시 마산합포구 홍문동 2-6,033-5050-4713,,1904.8.14,칠레,GWON NAGYO,010-8639-3457,부,경상북도 포항시 북구 성실로 4-4,,대동문,할,본부장,9,서울특별시 성북구 안암동1가 1-1,062-9464-2912,"24,410,000",4,✔,✔,,,,,,✔,2029,,2,원현승,,부상인,✔,,<|SEAL|>,,LRT665A
G0004,원재열,2041-03-07,중국,HAM SI-ENA,,손자녀,대구광역시 동구 반야월로28길 53,,,기상,차장,21,경기도 시흥시 정왕동 2187-4,041-2080-4177,진준기,1938-05-22,체코,,010-8243-1030,,,064-5775-3388,에반스,양곡,연구원,,전북특별자치도 정읍시 태인면 정읍북로 1309-8,061-856-8539,,1992년 7월 11일,포르투갈,EO SEOHYEON,010-4676-6649,형제,충청남도 논산시 벌곡면 벌곡로 69-21,052-3324-3803,연합뉴스,,,2,,,,6,,,✔,,,✔,,,,,7,,,홍서원,✔,탁리엄,<|SEAL|>,9132526448,
G0005,,1957년 12월 30일,쿠바,I HONGGI,010-6081-3661,부모,충청북도 청주시 서원구 남이면 부용외천2길 45-33,062-4286-6900,,나도록,차장,30,경상북도 봉화군 법전면 갈방길 11-9,052-5139-3613,동다현,1939.06.24,니카라과,GA JANG-U,,,,043-6820-0113,시간을 들이다,,,18,,044-2706-4928,전지홍,,,BEOM MAJUN,010-5755-1247,모,인천광역시 남동구 논현남로26번길 15,053-6400-0897,,둘,연구원,9,충청북도 청주시 상당구 용암동 1661,031-8641-4560,,14,✔,✔,,,,✔,,,2009,,21,,✔,양종천,✔,,<|SEAL|>,,LFRKVLW
G0006,봉승재,,,HAM GYUTAE,010-2922-9006,,,032-7592-2582,LG생활건강,되풀이하는,CIO,6,세종특별자치시 전동면 동막골길 73-22,043-9791-9367,어다련,,,,010-2194-5178,,경상남도 창녕군 대지면 석리 354,,노랑통닭 서울상암점,,부사장,3,경상남도 창원시 의창구 동읍 남산리 146-138,051-2339-2490,온해현,1998.05.22,핀란드,,010-1612-6050,,경상북도 영주시 의상로 167-14,053-868-9049,,교통.,실장,,경기도 포천시 일동면 수입리 193,,"3,240,000",35,,,,,✔,✔,,,,10,13,,<|SEAL|>,송훈성,<|SEAL|>,염잔디,,1427468743,LUIEAYG
G0007,노마리안,1959/1/19,오스트리아,LYU LAN-I,010-5730-2225,,,,,흰색이다.,팀장,,전북특별자치도 고창군 아산면 반암리 331,052-8993-5444,오성유,1953/2/24,파나마,WI SEUNGDONG,010-4892-0129,손자,경기도 구리시 인창동 703,062-4764-0185,,,파트장,13,,,왕뉴리,2030/3/26,엘살바도르,YE BICHHANA,010-6406-5012,,경기도 의정부시 의정부동 413-6,033-3088-2701,수담한정식,뒤에,,26,충청남도 공주시 탄천면 광명길 290,,"29,260,000",20,,✔,,,,,,,,,6,도준환,<|SEAL|>,간본준,<|SEAL|>,심세라피나,<|SEAL|>,9095366695,L5TOYWN
G0008,모영신,1909.03.05,스페인,HONG AHUIN,010-3038-2700,,경기도 안산시 상록구 항가울로 51,055-9731-1778,미래의 시작,,상무,,전라남도 해남군 해남읍 내사길 506-1,053-3659-9427,제형직,1926년 11월 21일,노르웨이,,,친척,경상남도 사천시 축동면 화당산로 53-14,063-1335-7327,코스모화학,,,29,부산광역시 기장군 정관읍 산단3로 101-31),063-2066-6212,복동채,,보스니아헤르체고비나,SEO CHAEGYU,,모,,053-3598-7169,,책,,,,032-2669-5485,"79,790,000",5,,,✔,,,,,✔,2038,,8,예치후,<|SEAL|>,,<|SEAL|>,형한정,<|SEAL|>,9152860336,
G0009,기교리,2041년 09월 15일,동티모르,,010-2152-4450,,,062-0352-4368,,태도.,회장,5,경상북도 포항시 북구 중앙상가7길 17,051-8566-6269,,1942/4/6,,GUG MYEONGGYEONG,010-1306-8558,,,,,지혜.,선임,,부산광역시 서구 아미동2가 19-11,053-6416-7805,,1901.7.16,파나마,JWA MYEONGGWANG,010-8495-6693,부모,,044-3117-6492,한섬,있나?,COO,,경기도 부천시 원미구 부천로91번길 17,042-3225-0938,69570000,,✔,,,,,✔,,,2035,,7,,<|SEAL|>,최설린,<|SEAL|>,,<|SEAL|>,1918200917,LGNJ34V
