image,000,001,002,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,027,028,029,030,031,033,034
G0000,738-65-69904,,,,✔,났다.,✔,,✔,✔,,,✔,,,,,,2015,2,19,변세범,<|SEAL|>,,
G0001,,,✔,✔,✔,등산할,,,,,✔,,✔,,,,,침체되어,2004,,15,탁관중,✔,1107415867,Z5IBC8F
G0002,328-15-70617,,,,✔,자유롭게,✔,,,,,,,,,✔,,전하지,2021,12,,인승유,<|SEAL|>,9081567612,Z3TUN9T
G0003,694-35-28913,,✔,,,,,✔,✔,,,,,✔,,✔,,아니하게,2036,3,,태효설,,9874187335,ZC2464B
G0004,,,,✔,✔,비유적으로,✔,,,✔,✔,,✔,✔,,,,,,6,,,<|SEAL|>,,
G0005,680-65-50262,,,✔,,,,,✔,,,✔,✔,,,,✔,나무를,,8,,노광연,,9660989958,ZSRIQDY
G0006,,,,,✔,사건이나,✔,✔,,,,,,,,,,답하다.,2012,,24,,<|SEAL|>,9023850908,Z94UMTR
G0007,724-92-42496,✔,,,✔,큰,,,,,✔,✔,,✔,✔,,,물재01,2001,,24,왕솔인,✔,,Z4X6RFH
G0008,374-46-65359,,,,,나타나지,✔,✔,✔,,,✔,,✔,,,,,,1,4,,<|SEAL|>,9123964967,ZD6H62L
G0009,460-97-56029,,,,,육십갑자의,,✔,,,,,,✔,✔,,,의하여,2034,1,,금라준,,1901101759,ZLE76W9
G0010,315-15-39283,,,✔,✔,,✔,,✔,✔,✔,✔,,,,,✔,,2015,9,,여태원,✔,9927494830,
G0011,365-93-76121,,✔,,,뼈마디나,✔,,✔,✔,✔,,,,,,,관할,,2,8,견올리비아김,,1038654944,
G0012,242-90-41172,✔,,,,이것은,✔,,✔,,✔,,,✔,,,,이른다.,2037,,,빈케라,,9834158795,ZKBVNNG
G0013,145-18-96883,✔,,,✔,각,,,✔,,,,,,,,,,,,29,부순련,<|SEAL|>,1313940556,ZFE5WN7
G0014,361-05-18128,,,,,구성원,,,,✔,✔,,✔,,✔,,,모양으로,2013,9,,,,,
G0015,603-33-08751,,✔,,,,✔,,,,,,,✔,✔,✔,✔,,,8,3,송조애,<|SEAL|>,1833764055,ZZ3DX3G
G0016,991-61-47735,,✔,,,원산털진드기,,✔,,,,,✔,,,,,넓힘.,2008,5,,,<|SEAL|>,9716770940,
G0017,218-75-47365,,,,✔,모두,,,,✔,,,✔,,✔,,,,2006,,29,부장훈,,9312683248,ZO5XPY6
