image,000,001,002,003,004,005,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,103,104
G0000,9303685953,봉예루,SO NOHA,518-78-42802,056-12-07183,,미국,강원특별자치도 화천군 화천읍 대이리 360-3,051-4329-4082,경상남도 밀양시 상동면 안인로 310-49,055-3441-7337,042-9365-7461,rreh5vc2b53l,,,,,,✔,✔,✔,,,,,✔,✔,,✔,듯이,통합되어,예창혜,,1995/1/22,,,,i2axdlbn,ostmail.com,,,,jw_runm_,buffalo.edu,✔,,894-052-759067,,,,,✔,,,18,,,,,먼저,연영호,IM HANSEO,우즈베키스탄,1997-04-15,010-6972-7391,,,,✔,2024,2,1,차국선,<|SEAL|>,✔,,,✔,,,이황이라고,,✔,,,✔,,비유적으로,부산은행,,팽닻별,자매,,010-3548-5753,2035,1,20,,<|SEAL|>,,P45ZNGU
G0001,9609725018,변사애,U NAG-WON,244-61-71595,736-53-09033,1995.3.1,시리아,강원특별자치도 양구군 양구읍 공리 205-3,051-5926-8774,,02-933-4243,031-2653-7989,,foxmail.com,,,,,,,✔,그 외 기타 사업 지원 서비스업,✔,,✔,,,,,,,선태오,,1958년 2월 9일,여자,인도네시아,,xst7r00f,,,,,mtk-zm.2o1y_j,orange.fr,,,795-09308249-17,,✔,,,✔,✔,,17,,,✔,,,,,포르투갈,1980-11-29,,이르는,대리,,,,10,15,,,✔,,,,,,내밀고,,,,,,✔,종일,한국씨티은행,516-246530-439,,,,010-9956-6451,2039,10,13,성다빈,<|SEAL|>,,PHRLZEV
G0002,9452893047,은체희,BANG SEUNGSEOG,851-48-41590,111-77-50205,1966.02.18,,경상북도 영천시 작산동 147,,충청북도 청주시 청원구 외남로104번길 6-2,,052-9663-1409,q2_szlj8av5yy,dartmouth.edu,,,,,,,,그 외 기타 정보 서비스업,,✔,,✔,✔,,,민가,한량이,,SON SEONGPIL,1989.12.02,,과테말라,✔,m-yap7yg9q1,hanyang.ac.kr,,✔,,,buffalo.edu,✔,✔,,,,,,✔,,✔,,,,,✔,,,SEO MUNJEGANG,브라질,2029.03.03,,팔고,주임,✔,✔,2020,9,,탁난주,<|SEAL|>,✔,,,,✔,,검은색의,✔,✔,,,,,거행하는,카카오뱅크,336-486983-469,성우지,딸,1982년 9월 23일,010-0385-1107,2040,,,,<|SEAL|>,,PHB928L
G0003,,도명애,AN YEOHAE,664-93-57910,281-20-19724,1996-07-29,베네수엘라,,,,064-2410-8643,054-8718-4336,xuncsgeaf5vt,,,✔,✔,✔,,,✔,농업 및 임업용 기계 제조업,,,,,,,,벗.,지도하였다.,주은산,GYEON DAL-I,2035.01.06,남자,엘살바도르,,qyd5wwmx3vb,,,,✔,,bigpond.com,,,518-257943-36014,중국공상은행,,,✔,,,,10,,,,,거두어들이다,범혜아,,,1937/5/21,010-0125-3446,순차적으로,부문장,,,,12,11,두새민,✔,,✔,,,,,"많고,",✔,,,,✔,✔,작으며,신한은행,998155-84-158642,곽효일,,803-35-11611,010-3897-5577,,10,23,조송아,,,
G0004,1835610743,여류호,CHU GANGSEON,,,1981년 1월 24일,,,031-9672-0443,,051-5679-8908,033-1776-1548,khur7k31-6,,✔,,✔,✔,✔,✔,,손해 및 보증보험업,✔,,✔,✔,,,,논개를,,은성철,NA YUNGEON,2048/1/12,남자,키르기스스탄,,pxqs3d7,laposte.net,✔,,,zxi96-gcd0,lavabit.com,✔,,311-425511-812,NH농협은행,,,,,,,19,,,,,,,I GWANG-IN,,1970.12.19,010-8169-7327,부임하여,,✔,✔,2030,10,24,홍엘리수아,<|SEAL|>,✔,,,✔,,,,,,,✔,✔,✔,,DBS은행,4248-08-158746,견회민,자매,210-03-70974,010-1062-9831,,7,,,<|SEAL|>,9454449104,
G0005,,갈시나,GIL YEBI,719-63-66483,445-12-59637,1935년 6월 24일,노르웨이,울산광역시 중구 곽남13길 28-1,,경상남도 진주시 금산면 중천리 275-4,055-4676-6206,,rppc3-v_qmw1,site.co,,,✔,,,,,주거용 건물 건설업,,✔,,,,✔,,,간함.,사율경,YEOM SUGANG,1917-11-13,,,✔,u6un.t_6,ktu.edu,✔,,,o-rhkox4,citizen.seoul.kr,,✔,,하나은행,,,✔,,,,,✔,,,,하는,피항,GI GYEO-UL,캄보디아,1946-10-28,010-4165-6020,"중심으로,",,,,,,5,,,,,,,,✔,신선.,,✔,✔,,,,,,400-93807969-21,단가별,기타,1961.12.18,010-9345-5608,2013,,,황보길우,<|SEAL|>,9789481650,PERDDH6
G0006,9493451046,양무엘,,,883-53-68986,1925년 5월 9일,니카라과,경상북도 안동시 태화동 694-90,062-4001-0513,충청북도 청주시 청원구 사천동 401-15,033-3906-9085,033-9453-4066,,,✔,,✔,,✔,,,,✔,,,,,,✔,하다,나타내는,하윤검,GO I-ANG,2002.9.23,,레바논,,fhp6zjr7_t,freenet.de,,,,,,,,535-571889-905,미즈호은행,,,,✔,,,6,,,,,,빈의성,CHU GEONHO,,1968/8/26,010-2210-0350,,센터장,✔,,,12,29,노건주,<|SEAL|>,,✔,,,,,못자리.,,,✔,,,,,한국수출입은행,,,손자녀,1918-07-01,010-9849-0947,2037,7,,심은희,<|SEAL|>,9444636770,P9T4GN0
G0007,1690471259,갈인빈,PI I-AEN,,089-14-62822,,캄보디아,충청남도 아산시 문화로 285,044-2321-1534,서울특별시 동대문구 전농로20다길 11-2,052-5314-2771,031-3276-2128,pjv6y6g,bolt.com,,,,,✔,,,건설장비 운영업,,,,,,,✔,,,,JIN JIN-YEOL,1981.06.01,,카자흐스탄,✔,,gmail.com,✔,,,ali.j0k67s,bigpond.com,,,622-02736907-00,전북은행,,,,✔,,,20,,✔,✔,,재수,제갈상용,DONG CHEONLI,오만,1919-05-03,010-9079-6074,이르는,인턴,,,2035,12,,홍연홍,<|SEAL|>,,,,✔,,,자연가열,✔,✔,✔,,,✔,신라,BNP파리바,,,딸,369-49-27157,,2033,,12,천로빈,<|SEAL|>,9518617501,
G0008,1500916006,현수휘,GAM HYEONGGUG,,874-71-99939,1913년 02월 11일,보스니아헤르체고비나,,,경기도 남양주시 수동면 내방리 151-58,055-5300-0150,043-4820-2752,rf3r.ga,gsu.edu,,,,,,,,,✔,✔,,✔,✔,✔,✔,랴오중카이.,,송재우,,1918년 07월 28일,남자,스페인,,tq6p79o_hagy,kookmin.ac.kr,,,✔,setd9olq8igzd,me.com,,,420-816069-93,,,,,✔,✔,,,✔,,,✔,,심영채,BOG HYANGJING,네팔,2011-01-31,010-2593-0649,,이사,✔,,2039,10,5,승혜순,<|SEAL|>,✔,,,,,,부골01,,,,✔,,✔,처자식을,중국은행,,강경혁,자매,1999.6.7,010-1817-3840,2034,,29,,<|SEAL|>,9522532514,
G0009,9423715625,,YEOM HAGYUN,894-92-67380,,1988년 11월 26일,필리핀,전라남도 광양시 광양읍 목성리 979-2,062-3098-9050,충청남도 예산군 봉산면 마교리 298,052-9201-0051,02-751-1001,,mail.jason.pe.kr,✔,,,,,,,증권 및 선물 중개업,✔,,✔,✔,,✔,,하던,율법을,진기진,,2039.7.1,남자,,✔,,dreamwiz.com,,,✔,,alum.mit.edu,,,375-417397-786,,,,,,✔,,4,,,,,,노사이,,파라과이,1918.06.11,,기다린다는,,✔,,2026,,13,위보우,<|SEAL|>,,,,,,,,,,,✔,,,,,,표파랑,조부,1963년 10월 20일,010-4056-7919,2023,,18,,<|SEAL|>,,
G0010,9383442232,함유월,EUN DANHAE,178-87-26068,434-84-47393,1934.12.11,베네수엘라,서울특별시 서초구 마방로4길 15-78,054-3578-1628,,042-1371-1475,032-3361-4894,nnl5nskgyi,lsu.edu,✔,✔,,,,,✔,"부동산 중개, 자문 및 감정 평가업",,,✔,✔,,✔,✔,복금하다,,상연슬,JI HYOHYEON,1985년 7월 23일,여자,,,zda2m_j20,muni.cz,,,,sxed8llaqisk,,✔,,427023-80-683128,중국교통은행,,,✔,,,,9,,✔,✔,,오래된,당두원,,,,,도둑인가?,,✔,✔,2014,8,,이후율,✔,,,,,,,,✔,✔,,,,✔,,SC제일은행,,간진리,,884-95-00597,010-5395-1669,,7,28,,<|SEAL|>,,PGDKYF9
