image,000,001,002,003,005,006,007,008,009,010,011,012,013,016,017,023,027,028,035,037,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,056,057
G0000,육덕용,1948-05-08,064-6018-4487,,,,,,,<|SEAL|>,,,21,✔,,"4,940,000",69.9,3,,"32,510,000",석사름,제공받고,설명듣고 이해하였음,27,12,,승이담,<|SEAL|>,데로 다니는,,모양으로,지수.,,마차준,✔,,
G0001,,387-66-35441,,044-7242-5378,전북특별자치도 부안군 주산면 사산리 867-16,,✔,ANZ은행,봉윤일,<|SEAL|>,501-953924-635,2,,✔,✔,"64,820,000",55.4,,,"55,750,000",,제공받고,설명듣고 이해하였음,19,7,25,,✔,,,,일품,,신주솔,✔,9193440587,ZNJZULE
G0002,,2017년 07월 08일,033-7662-4229,02-310-8516,충청남도 서천군 화양면 화한로170번길 73,✔,,,,,578-87369948-77,2,,✔,,"2,860,000",,34,17.6,,고나권,제공받고,설명듣고 이해하였음,,,19,허하른,,양주,1984/11/11,559076,그런,ITMQA7IRP5LV,송윌로우,<|SEAL|>,9988593673,ZU6FZ4D
G0003,인산우,,044-2775-1853,062-3473-8981,,,,BNP파리바,,,,8,14,✔,,"71,810,000",,1,57.2,,구효채,,설명듣고 이해하였음,05,1,10,음한일,<|SEAL|>,꿰어 쓸,2042-12-21,직선으로,,,현마누엘,,1276289052,Z13JCKE
G0004,서대니얼,575-54-96221,041-0856-9161,,경상남도 진주시 금곡면 무선산로464번길 38-1,✔,✔,,,<|SEAL|>,,7,5,,✔,"25,170,000",51.5,,45.5,,,제공받고,설명듣고 이해하였음,,7,,하창은,<|SEAL|>,,,,없앰.,,,✔,9714685032,ZRRD7SS
G0005,호희령,178-28-39931,044-3786-9936,052-6996-2416,강원특별자치도 횡성군 공근면 항재로행정4길 30,,✔,한국수출입은행,금필립,<|SEAL|>,541-539556-312,10,,,,"44,560,000",28.4,30,,,,제공받고,,15,2,23,,<|SEAL|>,,1994-03-29,,갓,56MJQV15U85Z,,<|SEAL|>,1178982408,Z6HVF35
G0006,염규상,,041-7894-3975,,서울특별시 광진구 긴고랑로39길 44,✔,,모건스탠리,엄리나,✔,537-181-676943,12,13,✔,✔,"7,730,000",23.1,18,,8670000,사청음,,설명듣고 이해하였음,,2,25,위찬인,<|SEAL|>,남이나 다른,1900-07-17,가열하여,,9MMU9UR8T67B,음송유,,,
G0007,,2013/5/7,031-961-4823,044-8055-3382,경기도 수원시 장안구 장안로320번길 29,,,중국교통은행,,<|SEAL|>,924-522670-579,12,6,,,"5,290,000",89.8,21,53.1,"3,390,000",온대익,제공받고,설명듣고 이해하였음,,6,,반하론,,금서01,1905/1/14,썼다.,웃지도,VQB63UFNLU1R,,✔,9437047282,
G0008,,735-94-39590,054-9378-8267,053-8764-9803,강원특별자치도 강릉시 율곡로 2742,,✔,HSBC,,<|SEAL|>,776-463-781546,,,,✔,"87,460,000",,,,,박알리샤,제공받고,,32,8,,당레이아,,좌우에 있는,1975년 3월 30일,,,,엄해천,<|SEAL|>,1143667899,Z5JDMCU
G0009,,,052-9237-7243,063-8077-3537,,,,,우본하,✔,,7,17,,,"32,160,000",91.7,35,,"15,980,000",노진율,제공받고,설명듣고 이해하였음,,12,,박영욱,<|SEAL|>,,1941.03.27,,,,서문규학,<|SEAL|>,,ZQE6DQ7
G0010,사공찬아,,041-7760-8075,061-6468-2575,경기도 시흥시 군서마을로 82-1,,,광주은행,홍겸주,<|SEAL|>,,4,,,,"9,730,000",,,87.6,"1,970,000",선마희,,설명듣고 이해하였음,19,,17,오유우타,<|SEAL|>,관한,,빛을,얼굴을,VXKFPVCVVBYD,반호신,,,ZLHZA5E
G0011,엄채랑,,,054-6115-0089,,✔,,JP모건체이스,우아려,<|SEAL|>,637-538-729381,11,25,,,"3,690,000",99.9,10,62.0,"23,930,000",지상문,제공받고,설명듣고 이해하였음,,9,,도응찬,✔,은난초,,,,YS6TIQSV3RXI,반해은,<|SEAL|>,1918013568,Z5AQBPH
G0012,,1977.10.4,042-1605-3004,,경기도 용인시 처인구 남사읍 아곡리 232-4,✔,,,남궁조야,,,10,3,,,"64,660,000",23.3,,,"1,390,000",,제공받고,,33,5,,,<|SEAL|>,수령이,1966-01-10,많은,물이못나게,N6OYI4M89ROG,,✔,9828117387,ZF5EFHH
G0013,제갈윤율,,041-6697-7878,032-9879-2472,,,,,,<|SEAL|>,,5,,,,"68,430,000",21.6,,29.5,1980000,채리예,제공받고,설명듣고 이해하였음,21,12,23,,<|SEAL|>,전쟁이나 살상,1936년 4월 20일,,,GO3RP1AKLHOV,,,9134965841,Z3V1AJN
G0014,갈범건,311-94-19010,042-5370-8100,053-3688-7130,경상남도 하동군 진교면 월운리 1051-2,,,,원젤라,,001-795236-01492,2,9,,,,1.0,,14.2,"79,980,000",,제공받고,설명듣고 이해하였음,25,5,10,사공이연,<|SEAL|>,일. 죄인을,,여러,,3GEB9P50CV20,오헌희,,1408553223,ZK7QK74
G0015,견경실,,063-8996-5006,043-8747-1328,,,,부산은행,,<|SEAL|>,,,20,,,"38,790,000",,18,71.0,,,제공받고,설명듣고 이해하였음,,,1,문희태,✔,용기는 없는,1995년 02월 18일,,말.,QPCOW7SHO663,제률리,<|SEAL|>,1193853301,ZEMREPA
G0016,박한조,215-95-72984,061-9556-1542,,대구광역시 달성군 다사읍 죽곡리 824-4,,,,,<|SEAL|>,604429-07-361591,,1,,,"9,960,000",,,95.7,"77,860,000",심위서,제공받고,설명듣고 이해하였음,,,2,채민오,<|SEAL|>,물드는,,"아버지,",어근.,BN6GRL3TP2UM,황정관,<|SEAL|>,9986539843,
G0017,형시음,,061-9521-8682,061-4538-5240,,,✔,NH농협은행,범은겸,<|SEAL|>,,,8,,✔,8320000,16.3,28,2.1,"91,770,000",장의미,제공받고,설명듣고 이해하였음,03,11,,원리엘,<|SEAL|>,,,,말.,,당별하,,1207331788,
G0018,양나야,765-12-97526,,,경기도 동두천시 송내동 582-12,,,토스뱅크,옥예량,<|SEAL|>,915-001758-25,7,31,,✔,"42,380,000",,24,63.9,"91,840,000",,제공받고,설명듣고 이해하였음,12,,,소리쿠,,노드리듯.,,졸때기.,니야야학파,8XMKIGD1O6IS,사학철,<|SEAL|>,,ZLSRUOK
G0019,용균태,744-03-15924,,051-2118-5893,,,,,표지야,<|SEAL|>,4957-45-580782,,2,,,"3,540,000",43.9,1,,"6,460,000",엄바른,제공받고,,26,,1,서문일화,✔,재어,1924.12.20,비표준어이고,엮는목,862II5PUDCOU,남알리시아,<|SEAL|>,9344304336,ZBTZOT5
G0020,백아키나,666-45-53951,,,,✔,,,최하성,✔,,,8,,✔,53450000,,7,28.2,"76,970,000",유광명,제공받고,설명듣고 이해하였음,07,,24,,,,,않겠다고,,,,✔,9178254450,Z9I3JTB
G0021,예미도리,110-09-53426,,,경상북도 성주군 수륜면 계정2길 77-20,,,,,<|SEAL|>,986-052-221904,,,✔,,"67,570,000",63.4,12,39.1,"5,480,000",봉창수,제공받고,,16,,,,<|SEAL|>,,1944.02.08,전쟁,경분04,VU5M8GKR3BSC,시남결,<|SEAL|>,9464080161,Z6UMPRV
